	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2123 2335 -212>,  	 F2 --   1/4th.(167) <      > 	V177 - M111	=+66  %+37  	q=+10  %+6  	 1.022(93)<-----%37   %6

printNotes: i=  2-<2519 2533 -14>,  	 G2 --   1/8th.( 84) <      > 	V 76 - M 84	= -8  %-11  	q= -8  %-11  	 0.435(93)
printNotes: i=  3-<2700 2692   8>,  	Ak2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(93)
printNotes: i=  4-<2300 2533 -233>,  	 G2 --     half(223) <      > 	V211 - M167	=+44  %+21  	q=-12  %-6  	 1.219(93)<-----%21   %6

printNotes: i=  5-<2666 2692 -26>,  	Ak2 --  1/16th.( 42) <      > 	V 39 - M 56	=-17  %-44  	q= -3  %-8  	 0.221(93)<-----%44   %8

printNotes: i=  6-<2536 2533   3>,  	 G2 --   1/8th.( 84) <      > 	V 90 - M111	=-21  %-23  	q= +6  %+7  	 0.517(93)<-----%23   %7



silence
printNotes: i=  7-<  94   40  54>,  	Slc --   1/4th.(167) <      > 	V163 - M111	=+52  %+32  	q= -4  %-2  	 0.940(93)<-----%32   %2

printNotes: i=  8-<2230 2335 -105>,  	 F2 --  1/4th..(195) <      > 	V207 - M167	=+40  %+19  	q=+12  %+6  	 1.196(93)<-----%19   %6

printNotes: i=  9-<2628 2692 -64>,  	Ak2 --  1/16th.( 42) <      > 	V 43 - M 56	=-13  %-30  	q= +1  %+2  	 0.244(93)<-----%30   %2

printNotes: i= 10-<2525 2533  -8>,  	 G2 --   1/4th.(167) <-1*sela> 	V142 - M167	=-25  %-18  	q=-25  %-18  	 0.819(93)
printNotes: i= 11-<2653 2692 -39>,  	Ak2 --   1/16th( 28) <      > 	V 26 - M 56	=-30  %-115  	q= -2  %-8  	 0.145(93)<-----%115   %8

printNotes: i= 12-<1791 2335 -544>,  	 F2 --   1/4th.(167) <      > 	V169 - M111	=+58  %+34  	q= +2  %+1  	 0.975(93)<-----%34   %1

printNotes: i= 13-<2638 2692 -54>,  	Ak2 -- 1/16th..( 49) <      > 	V 51 - M 56	= -5  %-10  	q= +2  %+4  	 0.290(93)<-----%10   %4

printNotes: i= 14-<2559 2533  26>,  	 G2 --   1/8th.( 84) <      > 	V 78 - M 56	=+22  %+28  	q= -6  %-8  	 0.447(93)<-----%28   %8

printNotes: i= 15-<2583 2533  50>,  	 G2 --   1/4th.(167) <      > 	V167 - M167	=  +  %+0  	q=  +  %+0  	 0.964(93)<-- same note


silence
