	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1971 2331 -360>,  	 F2 --    1/8th( 59) <      > 	V 60 - M 30	=+30  %+50  	q= +1  %+2  	 0.342(87)<-----%50   %2

printNotes: i=  2-<2962 3017 -55>,  	 C3 -- 1/16th..( 52) <      > 	V 54 - M 59	= -5  %-9  	q= +2  %+4  	 0.308(87)<-----%9   %4

printNotes: i=  3-<2825 2823   2>,  	Bb2 --   1/4th.(178) <      > 	V189 - M178	=+11  %+6  	q=+11  %+6  	 1.091(87)
printNotes: i=  4-<3020 3017   3>,  	 C3 --   1/8th.( 89) <      > 	V 76 - M 59	=+17  %+22  	q=-13  %-17  	 0.435(87)<-----%22   %17

printNotes: i=  5-<2828 2823   5>,  	Bb2 --   1/4th.(178) <-1*sela> 	V157 - M148	= +9  %+6  	q=-21  %-13  	 0.906(87)
printNotes: i=  6-<3000 3017 -17>,  	 C3 --  1/16th.( 45) <      > 	V 46 - M 59	=-13  %-28  	q= +1  %+2  	 0.261(87)<-----%28   %2

printNotes: i=  7-<2820 2823  -3>,  	Bb2 --   1/8th.( 89) <      > 	V 84 - M 59	=+25  %+30  	q= -5  %-6  	 0.482(87)<-----%30   %6

printNotes: i=  8-<3012 3017  -5>,  	 C3 --    1/8th( 59) <      > 	V 61 - M 59	= +2  %+3  	q= +2  %+3  	 0.348(87)
printNotes: i=  9-<2852 2823  29>,  	Bb2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(87)<-----%11   %4

printNotes: i= 10-<2642 2660 -18>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(87)<-----%20   %4

printNotes: i= 11-<2505 2531 -26>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(87)<-----%67   %17

printNotes: i= 12-<2663 2660   3>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 15	= +8  %+35  	q= +1  %+4  	 0.128(87)<-----%35   %4

