	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1107 1817 -710>,  	 C2 -- 1/16th..( 55) <      > 	V 58 - M 47	=+11  %+19  	q= +3  %+5  	 0.331(83)<-----%19   %5

printNotes: i=  2-<1599 1817 -218>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i=  3-<1828 1817  11>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i=  4-<2285 2325 -40>,  	 F2 --     half(249) <      > 	V263 - M280	=-17  %-6  	q=+14  %+5  	 1.521(83)
printNotes: i=  5-<2171 2173  -2>,  	Ek2 --  1/16th.( 47) <      > 	V 50 - M 25	=+25  %+50  	q= +3  %+6  	 0.284(83)<-----%50   %6

printNotes: i=  6-<2009 2040 -31>,  	 D2 --   1/16th( 31) <      > 	V 38 - M 25	=+13  %+34  	q= +7  %+18  	 0.215(83)<-----%34   %18

printNotes: i=  7-<2163 2173 -10>,  	Ek2 --   1/16th( 31) <      > 	V 31 - M 25	= +6  %+19  	q=  +  %+0  	 0.174(83)<-----%19   %0

printNotes: i=  8-<2268 2325 -57>,  	 F2 --  1/32nd.( 23) <      > 	V 22 - M 25	= -3  %-14  	q= -1  %-5  	 0.122(83)<-----%14   %5

printNotes: i=  9-<2019 2040 -21>,  	 D2 --  1/16th.( 47) <      > 	V 39 - M 25	=+14  %+36  	q= -8  %-21  	 0.221(83)<-----%36   %21

printNotes: i= 10-<2157 2173 -16>,  	Ek2 --  1/8th..(109) <      > 	V101 - M125	=-24  %-24  	q= -8  %-8  	 0.580(83)<-----%24   %8

printNotes: i= 11-<2119 2040  79>,  	 D2 --   1/8th.( 93) <      > 	V 85 - M 62	=+23  %+27  	q= -8  %-9  	 0.488(83)<-----%27   %9



silence
printNotes: i= 12-<  35   40  -5>,  	Slc --   1/4th.(187) <-1*sela> 	V163 - M187	=-24  %-15  	q=-24  %-15  	 0.940(83)
printNotes: i= 13-<1224 2173 -949>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 14-<1994 2040 -46>,  	 D2 --   1/4th.(187) <-1*sela> 	V164 - M125	=+39  %+24  	q=-23  %-14  	 0.946(83)<-----%24   %14

printNotes: i= 15-<2528 2537  -9>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 16-<2302 2325 -23>,  	 F2 --  1/16th.( 47) <      > 	V 47 - M 47	=  +  %+0  	q=  +  %+0  	 0.267(83)
printNotes: i= 17-<2176 2173   3>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 18-<2285 2325 -40>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 19-<2489 2537 -48>,  	 G2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 20-<2171 2173  -2>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 21-<2386 2537 -151>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(83)<-----%182   %9 <<

printNotes: i= 22-<2297 2325 -28>,  	 F2 --     half(249) <2*sela> 	V289 - M249	=+40  %+14  	q=+40  %+14  	 1.672(83)
printNotes: i= 23-<2288 2173 115>,  	Ek2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<



silence
printNotes: i= 24-<   0   40 -40>,  	Slc --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i= 25-<2037 2173 -136>,  	Ek2 --  1/16th.( 47) <      > 	V 45 - M 31	=+14  %+31  	q= -2  %-4  	 0.255(83)<-----%31   %4

printNotes: i= 26-<2049 2040   9>,  	 D2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 27-<2143 2173 -30>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 28-<2328 2325   3>,  	 F2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 29-<2192 2173  19>,  	Ek2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

printNotes: i= 30-<2347 2325  22>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 31-<2164 2173  -9>,  	Ek2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 32-<2047 2040   7>,  	 D2 --   1/4th.(187) <-1*sela> 	V166 - M 16	=+150  %+90  	q=-21  %-13  	 0.958(83)<-----%90   %13

printNotes: i= 33-<2187 2173  14>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 34-<2037 2040  -3>,  	 D2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
printNotes: i= 35-<2059 2040  19>,  	 D2 --   128th.(  6) <      > 	V  6 - M 47	=-41  %-683  	q=  +  %+0  	 0.029(83)<-- same note<-----%683   %0 <<

printNotes: i= 36-<2214 2173  41>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 31	=-12  %-63  	q= +3  %+16  	 0.104(83)<-----%63   %16

printNotes: i= 37-<2055 2040  15>,  	 D2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 38-<2228 2173  55>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 39-<1980 2040 -60>,  	 D2 --  128th..(  7) <      > 	V  7 - M 31	=-24  %-343  	q=  +  %+0  	 0.035(83)<-----%343   %0 <<

printNotes: i= 40-<1837 1817  20>,  	 C2 --  1/16th.( 47) <      > 	V 42 - M 31	=+11  %+26  	q= -5  %-12  	 0.238(83)<-----%26   %12

printNotes: i= 41-<1815 1817  -2>,  	 C2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 42-<2046 2040   6>,  	 D2 --     half(249) <      > 	V236 - M374	=-138  %-58  	q=-13  %-6  	 1.364(83)<-----%58   %6



silence
printNotes: i= 43-<   0   40 -40>,  	Slc --    whole(499) <      > 	V510 - M374	=+136  %+27  	q=+11  %+2  	 2.955(83)<-----%27   %2

printNotes: i= 44-<1779 1817 -38>,  	 C2 --  1/16th.( 47) <      > 	V 45 - M 47	= -2  %-4  	q= -2  %-4  	 0.255(83)
