	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 952 1814 -862>,  	 C2 --    1/8th( 69) <      > 	V 71 - M 52	=+19  %+27  	q= +2  %+3  	 0.406(74)<-----%27   %3

printNotes: i=  2-<1767 1814 -47>,  	 C2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)<-- same note
printNotes: i=  3-<1807 1814  -7>,  	 C2 --   1/8th.(104) <      > 	V104 - M104	=  +  %+0  	q=  +  %+0  	 0.598(74)<-- same note
printNotes: i=  4-<1530 1814 -284>,  	 C2 --    1/4th(139) <      > 	V139 - M139	=  +  %+0  	q=  +  %+0  	 0.801(74)<-- same note
printNotes: i=  5-<2312 2317  -5>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 35	=-15  %-75  	q= +3  %+15  	 0.110(74)<-----%75   %15

printNotes: i=  6-<2161 2158   3>,  	Ek2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)
printNotes: i=  7-<1982 2033 -51>,  	 D2 --  1/32nd.( 26) <      > 	V 24 - M 17	= +7  %+29  	q= -2  %-8  	 0.134(74)<-----%29   %8

printNotes: i=  8-<2155 2158  -3>,  	Ek2 --   1/4th.(208) <      > 	V192 - M139	=+53  %+28  	q=-16  %-8  	 1.109(74)<-----%28   %8

printNotes: i=  9-<2035 2033   2>,  	 D2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(74)
printNotes: i= 10-<2165 2158   7>,  	Ek2 -- 1/32nd..( 30) <      > 	V 28 - M 35	= -7  %-25  	q= -2  %-7  	 0.157(74)<-----%25   %7

printNotes: i= 11-<2311 2317  -6>,  	 F2 -- 1/32nd..( 30) <      > 	V 29 - M 35	= -6  %-21  	q= -1  %-3  	 0.163(74)<-----%21   %3

printNotes: i= 12-<2446 2525 -79>,  	 G2 --  128th..(  8) <      > 	V  8 - M 17	= -9  %-112  	q=  +  %+0  	 0.041(74)<-----%112   %0 <<

printNotes: i= 13-<2331 2317  14>,  	 F2 -- 1/32nd..( 30) <      > 	V 31 - M 17	=+14  %+45  	q= +1  %+3  	 0.174(74)<-----%45   %3

printNotes: i= 14-<2116 2158 -42>,  	Ek2 --  1/32nd.( 26) <      > 	V 26 - M 35	= -9  %-35  	q=  +  %+0  	 0.145(74)<-----%35   %0

printNotes: i= 15-<2020 2033 -13>,  	 D2 --  1/32nd.( 26) <      > 	V 26 - M 35	= -9  %-35  	q=  +  %+0  	 0.145(74)<-----%35   %0

printNotes: i= 16-<1839 1814  25>,  	 C2 -- 1/32nd..( 30) <      > 	V 31 - M 35	= -4  %-13  	q= +1  %+3  	 0.174(74)<-----%13   %3

printNotes: i= 17-<1668 1664   4>,  	Bk1 --  1/64th.( 13) <      > 	V 13 - M 35	=-22  %-169  	q=  +  %+0  	 0.070(74)<-----%169   %0 <<

printNotes: i= 18-<1930 1814 116>,  	 C2 --    1/8th( 69) <      > 	V 67 - M 69	= -2  %-3  	q= -2  %-3  	 0.383(74)


silence
printNotes: i= 19-<   0   40 -40>,  	Slc --     half(278) <1*sela> 	V297 - M278	=+19  %+6  	q=+19  %+6  	 1.718(74)
printNotes: i= 20-< 825 1814 -989>,  	 C2 -- 1/16th..( 61) <      > 	V 61 - M 52	= +9  %+15  	q=  +  %+0  	 0.348(74)<-----%15   %0

printNotes: i= 21-<1757 1814 -57>,  	 C2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)<-- same note
printNotes: i= 22-<1812 1814  -2>,  	 C2 --   1/8th.(104) <      > 	V104 - M104	=  +  %+0  	q=  +  %+0  	 0.598(74)<-- same note
printNotes: i= 23-<1565 1814 -249>,  	 C2 --    1/4th(139) <      > 	V139 - M139	=  +  %+0  	q=  +  %+0  	 0.801(74)<-- same note
printNotes: i= 24-<2351 2317  34>,  	 F2 --   1/32nd( 17) <      > 	V 19 - M 35	=-16  %-84  	q= +2  %+11  	 0.104(74)<-----%84   %11

printNotes: i= 25-<2152 2158  -6>,  	Ek2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(74)
printNotes: i= 26-<2136 2158 -22>,  	Ek2 --  1/16th.( 52) <      > 	V 52 - M 52	=  +  %+0  	q=  +  %+0  	 0.296(74)<-- same note
printNotes: i= 27-<2032 2033  -1>,  	 D2 --   1/32nd( 17) <      > 	V 17 - M 35	=-18  %-106  	q=  +  %+0  	 0.093(74)<-----%106   %0

printNotes: i= 28-<2176 2158  18>,  	Ek2 --    1/8th( 69) <      > 	V 70 - M 35	=+35  %+50  	q= +1  %+1  	 0.401(74)<-----%50   %1



silence
printNotes: i= 29-<   0   40 -40>,  	Slc --   1/4th.(208) <-1*sela> 	V191 - M104	=+87  %+46  	q=-17  %-9  	 1.103(74)<-----%46   %9

printNotes: i= 30-<1748 1814 -66>,  	 C2 --   1/16th( 35) <      > 	V 41 - M 52	=-11  %-27  	q= +6  %+15  	 0.232(74)<-----%27   %15

printNotes: i= 31-< 914 2317 -1403>,  	 F2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)
printNotes: i= 32-<1833 2317 -484>,  	 F2 --  1/32nd.( 26) <      > 	V 23 - M 35	=-12  %-52  	q= -3  %-13  	 0.128(74)<-- same note<-----%52   %13

printNotes: i= 33-<2129 2158 -29>,  	Ek2 -- 1/32nd..( 30) <      > 	V 28 - M 35	= -7  %-25  	q= -2  %-7  	 0.157(74)<-----%25   %7

printNotes: i= 34-<2136 2158 -22>,  	Ek2 --  1/64th.( 13) <      > 	V 13 - M 52	=-39  %-300  	q=  +  %+0  	 0.070(74)<-- same note<-----%300   %0 <<

printNotes: i= 35-<1969 2033 -64>,  	 D2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)
printNotes: i= 36-<2145 2158 -13>,  	Ek2 --  1/8th..(121) <      > 	V126 - M 52	=+74  %+59  	q= +5  %+4  	 0.726(74)<-----%59   %4

printNotes: i= 37-<1727 2158 -431>,  	Ek2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(74)<-- same note
printNotes: i= 38-< 956 2317 -1361>,  	 F2 -- 1/32nd..( 30) <      > 	V 32 - M 35	= -3  %-9  	q= +2  %+6  	 0.180(74)<-----%9   %6

printNotes: i= 39-<2295 2317 -22>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 35	=-15  %-75  	q= +3  %+15  	 0.110(74)<-- same note<-----%75   %15

