	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2068 2532 -464>,  	 G2 --  1/8th..(112) <      > 	V111 - M 64	=+47  %+42  	q= -1  %-1  	 0.639(81)<-----%42   %1

printNotes: i=  2-<2828 3208 -380>,  	 D3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i=  3-<3207 3208  -1>,  	 D3 --     half(257) <      > 	V255 - M321	=-66  %-26  	q= -2  %-1  	 1.474(81)<-- same note<-----%26   %1

printNotes: i=  4-<2656 3010 -354>,  	 C3 --    1/8th( 64) <      > 	V 69 - M 64	= +5  %+7  	q= +5  %+7  	 0.395(81)
printNotes: i=  5-<1729 3208 -1479>,  	 D3 --   1/8th.( 96) <-1*sela> 	V 80 - M 32	=+48  %+60  	q=-16  %-20  	 0.459(81)<-----%60   %20

printNotes: i=  6-<3259 3310 -51>,  	Eb3 -- 1/32nd..( 28) <      > 	V 29 - M 32	= -3  %-10  	q= +1  %+3  	 0.163(81)<-----%10   %3

printNotes: i=  7-<3216 3208   8>,  	 D3 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i=  8-<3257 3310 -53>,  	Eb3 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4

printNotes: i=  9-<3206 3208  -2>,  	 D3 --  1/16th.( 48) <      > 	V 46 - M 32	=+14  %+30  	q= -2  %-4  	 0.261(81)<-----%30   %4

printNotes: i= 10-<3031 3010  21>,  	 C3 --    1/8th( 64) <      > 	V 69 - M 48	=+21  %+30  	q= +5  %+7  	 0.395(81)<-----%30   %7

printNotes: i= 11-<2998 3010 -12>,  	 C3 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)<-- same note
printNotes: i= 12-<3162 3310 -148>,  	Eb3 --  1/64th.( 12) <      > 	V  9 - M 32	=-23  %-256  	q= -3  %-33  	 0.046(81)<-----%256   %33 <<

printNotes: i= 13-<3190 3208 -18>,  	 D3 --  1/16th.( 48) <      > 	V 50 - M 32	=+18  %+36  	q= +2  %+4  	 0.284(81)<-----%36   %4

printNotes: i= 14-<3015 3010   5>,  	 C3 --     half(257) <2*sela> 	V291 - M385	=-94  %-32  	q=+34  %+12  	 1.683(81)<-----%32   %12

printNotes: i= 15-<2813 2801  12>,  	Bb2 --   1/16th( 32) <      > 	V 31 - M 43	=-12  %-39  	q= -1  %-3  	 0.174(81)<-----%39   %3

printNotes: i= 16-<2692 2662  30>,  	Ak2 --   1/16th( 32) <      > 	V 37 - M 43	= -6  %-16  	q= +5  %+14  	 0.209(81)
printNotes: i= 17-<2590 2532  58>,  	 G2 --  1/16th.( 48) <      > 	V 44 - M 43	= +1  %+2  	q= -4  %-9  	 0.250(81)


silence
printNotes: i= 18-<   0   40 -40>,  	Slc --    whole(513) <      > 	V504 - M257	=+247  %+49  	q= -9  %-2  	 2.920(81)<-----%49   %2

