	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1385 1316  69>,  	 G1 -- 1/16th..( 51) <      > 	V 50 - M 29	=+21  %+42  	q= -1  %-2  	 0.284(88)<-----%42   %2

printNotes: i=  2-<2020 2031 -11>,  	 D2 --    whole(470) <1*sela> 	V491 - M470	=+21  %+4  	q=+21  %+4  	 2.844(88)
printNotes: i=  3-<1825 1818   7>,  	 C2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<

printNotes: i=  4-<2031 2031    >,  	 D2 --   half..(411) <1*sela> 	V426 - M470	=-44  %-10  	q=+15  %+4  	 2.467(88)<-----%10   %4

printNotes: i=  5-<1834 1818  16>,  	 C2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i=  6-<2035 2031   4>,  	 D2 --     half(235) <3*sela> 	V282 - M235	=+47  %+17  	q=+47  %+17  	 1.631(88)
printNotes: i=  7-<1811 1818  -7>,  	 C2 -- 1/16th..( 51) <      > 	V 48 - M 29	=+19  %+40  	q= -3  %-6  	 0.273(88)<-----%40   %6

printNotes: i=  8-<1845 2031 -186>,  	 D2 --   1/64th(  7) <      > 	V  7 - M 29	=-22  %-314  	q=  +  %+0  	 0.035(88)<-----%314   %0 <<

printNotes: i=  9-<1653 1654  -1>,  	Bk1 --  1/16th.( 44) <      > 	V 44 - M 29	=+15  %+34  	q=  +  %+0  	 0.250(88)<-----%34   %0

printNotes: i= 10-<1821 1818   3>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 11-<1541 1534   7>,  	 A1 --     half(235) <      > 	V241 - M352	=-111  %-46  	q= +6  %+2  	 1.393(88)<-----%46   %2



silence
printNotes: i= 12-<   0   40 -40>,  	Slc --     half(235) <      > 	V228 - M117	=+111  %+49  	q= -7  %-3  	 1.318(88)<-----%49   %3

printNotes: i= 13-<1497 1534 -37>,  	 A1 -- 1/16th..( 51) <      > 	V 48 - M 44	= +4  %+8  	q= -3  %-6  	 0.273(88)
printNotes: i= 14-<1609 1654 -45>,  	Bk1 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 15-<1820 1818   2>,  	 C2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(88)
printNotes: i= 16-<2014 2031 -17>,  	 D2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 17-<1829 1818  11>,  	 C2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(88)<-----%25   %10

