	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1214 1109 105>,  	 F1 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(90)
printNotes: i=  2-<1757 1809 -52>,  	 C2 --  1/16th.( 43) <      > 	V 40 - M 43	= -3  %-8  	q= -3  %-8  	 0.226(90)
printNotes: i=  3-<1647 1609  38>,  	Bb1 --  1/64th.( 11) <      > 	V 12 - M 14	= -2  %-17  	q= +1  %+8  	 0.064(90)
printNotes: i=  4-<1814 1809   5>,  	 C2 -- 1/16th..( 50) <      > 	V 48 - M 50	= -2  %-4  	q= -2  %-4  	 0.273(90)
printNotes: i=  5-<2012 2027 -15>,  	 D2 --  1/16th.( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(90)
printNotes: i=  6-<2152 2161  -9>,  	Ek2 -- 1/16th..( 50) <      > 	V 49 - M 50	= -1  %-2  	q= -1  %-2  	 0.279(90)
printNotes: i=  7-<2310 2312  -2>,  	 F2 --    1/4th(115) <      > 	V118 - M115	= +3  %+3  	q= +3  %+3  	 0.679(90)
printNotes: i=  8-<2506 2515  -9>,  	 G2 --  1/8th..(100) <      > 	V 98 - M100	= -2  %-2  	q= -2  %-2  	 0.563(90)
printNotes: i=  9-<2644 2663 -19>,  	Ak2 --   1/8th.( 86) <      > 	V 89 - M 86	= +3  %+3  	q= +3  %+3  	 0.511(90)
printNotes: i= 10-<2510 2515  -5>,  	 G2 --    half.(344) <-1*sela> 	V320 - M344	=-24  %-8  	q=-24  %-8  	 1.852(90)
printNotes: i= 11-<2650 2663 -13>,  	Ak2 --   1/8th.( 86) <      > 	V 85 - M 86	= -1  %-1  	q= -1  %-1  	 0.488(90)
printNotes: i= 12-<2509 2515  -6>,  	 G2 --   1/8th.( 86) <      > 	V 81 - M 86	= -5  %-6  	q= -5  %-6  	 0.464(90)
printNotes: i= 13-<2652 2663 -11>,  	Ak2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(90)
printNotes: i= 14-<2268 2515 -247>,  	 G2 --    1/8th( 57) <      > 	V 63 - M 57	= +6  %+10  	q= +6  %+10  	 0.360(90)
printNotes: i= 15-<2654 2663  -9>,  	Ak2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(90)
printNotes: i= 16-<2805 2815 -10>,  	Bb2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(90)
printNotes: i= 17-<2658 2663  -5>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(90)
printNotes: i= 18-<1949 2515 -566>,  	 G2 --   1/16th( 29) <      > 	V 27 - M 25	= +2  %+7  	q= -2  %-7  	 0.151(90)
