	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1905 1355 550>,  	 G1 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(85)
printNotes: i=  2-<2991 3196 -205>,  	 D3 --     half(243) <      > 	V233 - M243	=-10  %-4  	q=-10  %-4  	 1.347(85)
printNotes: i=  3-<2187 3018 -831>,  	 C3 --    1/4th(122) <1*sela> 	V150 - M122	=+28  %+19  	q=+28  %+19  	 0.865(85)
printNotes: i=  4-<2410 2817 -407>,  	Bb2 --   1/8th.( 91) <-1*sela> 	V 76 - M 91	=-15  %-20  	q=-15  %-20  	 0.435(85)
printNotes: i=  5-<1748 3018 -1270>,  	 C3 --  1/16th.( 46) <      > 	V 48 - M 46	= +2  %+4  	q= +2  %+4  	 0.273(85)
printNotes: i=  6-<3173 3196 -23>,  	 D3 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(85)
printNotes: i=  7-<3011 3018  -7>,  	 C3 --  1/16th.( 46) <      > 	V 38 - M 46	= -8  %-21  	q= -8  %-21  	 0.215(85)
printNotes: i=  8-<3221 3196  25>,  	 D3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(85)
printNotes: i=  9-<3006 3018 -12>,  	 C3 --    1/8th( 61) <      > 	V 68 - M 61	= +7  %+10  	q= +7  %+10  	 0.389(85)
printNotes: i= 10-<2808 2817  -9>,  	Bb2 --   1/8th.( 91) <      > 	V 98 - M 91	= +7  %+7  	q= +7  %+7  	 0.563(85)
printNotes: i= 11-<2999 3018 -19>,  	 C3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(85)
printNotes: i= 12-<2840 2817  23>,  	Bb2 --    1/4th(122) <      > 	V130 - M122	= +8  %+6  	q= +8  %+6  	 0.749(85)
printNotes: i= 13-<2675 2661  14>,  	Ak2 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(85)
printNotes: i= 14-<2525 2537 -12>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)


silence
printNotes: i= 15-<   0   40 -40>,  	Slc --  1/4th..(213) <      > 	V201 - M213	=-12  %-6  	q=-12  %-6  	 1.161(85)
printNotes: i= 16-<1246 2817 -1571>,  	Bb2 --  1/16th.( 46) <      > 	V 46 - M 46	=  +  %+0  	q=  +  %+0  	 0.261(85)
printNotes: i= 17-<1905 2661 -756>,  	Ak2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(85)
printNotes: i= 18-<2841 2817  24>,  	Bb2 -- 1/32nd..( 27) <      > 	V 28 - M 30	= -2  %-7  	q= +1  %+4  	 0.157(85)
printNotes: i= 19-<2674 2661  13>,  	Ak2 --  1/16th.( 46) <      > 	V 38 - M 46	= -8  %-21  	q= -8  %-21  	 0.215(85)
printNotes: i= 20-<2531 2537  -6>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(85)
printNotes: i= 21-<2654 2661  -7>,  	Ak2 --  1/64th.( 11) <      > 	V  9 - M  8	= +1  %+11  	q= -2  %-22  	 0.046(85)
printNotes: i= 22-<2514 2537 -23>,  	 G2 -- 1/32nd..( 27) <      > 	V 28 - M 30	= -2  %-7  	q= +1  %+4  	 0.157(85)
printNotes: i= 23-<2652 2661  -9>,  	Ak2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(85)
