	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1311 1313  -2>,  	 G1 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(77)
printNotes: i=  2-<2028 2032  -4>,  	 D2 --    whole(540) <      > 	V544 - M540	= +4  %+1  	q= +4  %+1  	 3.152(77)
printNotes: i=  3-<1751 1813 -62>,  	 C2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i=  4-<2092 2316 -224>,  	 F2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(77)
printNotes: i=  5-<2030 2032  -2>,  	 D2 --    half.(405) <-2*sela> 	V356 - M405	=-49  %-14  	q=-49  %-14  	 2.061(77)
printNotes: i=  6-<1847 1813  34>,  	 C2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i=  7-<1963 2166 -203>,  	Ek2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(77)
printNotes: i=  8-<1929 2032 -103>,  	 D2 --  1/8th..(118) <      > 	V117 - M118	= -1  %-1  	q= -1  %-1  	 0.673(77)
printNotes: i=  9-<1020 1613 -593>,  	Bb1 --  1/32nd.( 25) <      > 	V 27 - M 25	= +2  %+7  	q= +2  %+7  	 0.151(77)
printNotes: i= 10-<2254 2316 -62>,  	 F2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(77)
printNotes: i= 11-<2157 2166  -9>,  	Ek2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 12-<2340 2316  24>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 13-<2024 2032  -8>,  	 D2 --  1/16th.( 51) <      > 	V 43 - M 51	= -8  %-19  	q= -8  %-19  	 0.244(77)
printNotes: i= 14-<2174 2166   8>,  	Ek2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 15-<1850 1813  37>,  	 C2 --  1/16th.( 51) <      > 	V 43 - M 51	= -8  %-19  	q= -8  %-19  	 0.244(77)


silence
printNotes: i= 16-<   0   40 -40>,  	Slc --     half(270) <1*sela> 	V290 - M276	=+14  %+5  	q=+20  %+7  	 1.678(77)
printNotes: i= 17-<1553 1513  40>,  	 A1 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 18-<1840 1813  27>,  	 C2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 19-<2262 2316 -54>,  	 F2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(77)
printNotes: i= 20-<2172 2166   6>,  	Ek2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(77)
printNotes: i= 21-<2295 2316 -21>,  	 F2 --   1/16th( 34) <      > 	V 42 - M 51	= -9  %-21  	q= +8  %+19  	 0.238(77)
printNotes: i= 22-<2174 2166   8>,  	Ek2 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 23-<2302 2316 -14>,  	 F2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(77)
printNotes: i= 24-<2484 2532 -48>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 25-<2170 2166   4>,  	Ek2 --   1/16th( 34) <      > 	V 33 - M 34	= -1  %-3  	q= -1  %-3  	 0.186(77)
printNotes: i= 26-<2433 2532 -99>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 27-<2175 2166   9>,  	Ek2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 28-<2042 2032  10>,  	 D2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 29-<2303 2316 -13>,  	 F2 --     half(270) <1*sela> 	V299 - M270	=+29  %+10  	q=+29  %+10  	 1.730(77)
printNotes: i= 30-<2169 2166   3>,  	Ek2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(77)
printNotes: i= 31-<2299 2316 -17>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 32-<2034 2032   2>,  	 D2 --   1/8th.(101) <      > 	V107 - M101	= +6  %+6  	q= +6  %+6  	 0.615(77)
printNotes: i= 33-<2265 2316 -51>,  	 F2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(77)
printNotes: i= 34-<2182 2166  16>,  	Ek2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(77)
printNotes: i= 35-<2310 2316  -6>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 36-<2074 2032  42>,  	 D2 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(77)
printNotes: i= 37-<2197 2166  31>,  	Ek2 -- 1/32nd..( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(77)
printNotes: i= 38-<2303 2316 -13>,  	 F2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 39-<2032 2032    >,  	 D2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 40-<2266 2316 -50>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 41-<2038 2032   6>,  	 D2 --    1/8th( 68) <      > 	V 82 - M 68	=+14  %+17  	q=+14  %+17  	 0.470(77)
printNotes: i= 42-<2249 2316 -67>,  	 F2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 43-<2200 2166  34>,  	Ek2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 44-<2411 2416  -5>,  	F#2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --    1/4th(135) <      > 	V146 - M149	= -3  %-2  	q=+11  %+8  	 0.842(77)
printNotes: i= 46-<1583 1513  70>,  	 A1 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 47-<1865 1813  52>,  	 C2 --   1/16th( 34) <      > 	V 42 - M 51	= -9  %-21  	q= +8  %+19  	 0.238(77)
printNotes: i= 48-<2033 2032   1>,  	 D2 -- 1/16th..( 59) <      > 	V 57 - M 59	= -2  %-4  	q= -2  %-4  	 0.325(77)
printNotes: i= 49-<2229 2316 -87>,  	 F2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 50-<2050 2032  18>,  	 D2 -- 1/32nd..( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(77)
