	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1062 1636 -574>,  	Bb1 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i=  2-<1503 2036 -533>,  	 D2 --   1/8th.( 92) <      > 	V 94 - M 92	= +2  %+2  	q= +2  %+2  	 0.540(84)
printNotes: i=  3-<2088 2312 -224>,  	 F2 --   1/4th.(185) <      > 	V174 - M185	=-11  %-6  	q=-11  %-6  	 1.004(84)
printNotes: i=  4-<1925 2163 -238>,  	Ek2 --   1/16th( 31) <      > 	V 35 - M 54	=-19  %-54  	q= +4  %+11  	 0.197(84)<-----%54   %11

printNotes: i=  5-<2306 2312  -6>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i=  6-<1420 2163 -743>,  	Ek2 --    1/8th( 62) <      > 	V 60 - M 62	= -2  %-3  	q= -2  %-3  	 0.342(84)
printNotes: i=  7-<2303 2312  -9>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(84)
printNotes: i=  8-<2158 2163  -5>,  	Ek2 -- 1/16th..( 54) <      > 	V 55 - M 54	= +1  %+2  	q= +1  %+2  	 0.313(84)
printNotes: i=  9-<2059 2036  23>,  	 D2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 10-<2133 2163 -30>,  	Ek2 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(84)
printNotes: i= 11-<1556 2036 -480>,  	 D2 --    1/4th(123) <1*sela> 	V141 - M123	=+18  %+13  	q=+18  %+13  	 0.813(84)
printNotes: i= 12-<2261 2312 -51>,  	 F2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(84)


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --   1/4th.(185) <-1*sela> 	V165 - M190	=-25  %-15  	q=-20  %-12  	 0.952(84)<-----%15   %12

printNotes: i= 14-<2023 2036 -13>,  	 D2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(84)
printNotes: i= 15-<2121 2163 -42>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 16-<2310 2312  -2>,  	 F2 --   1/4th.(185) <-1*sela> 	V161 - M185	=-24  %-15  	q=-24  %-15  	 0.929(84)
printNotes: i= 17-<2198 2163  35>,  	Ek2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(84)
printNotes: i= 18-<2026 2036 -10>,  	 D2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 19-<2497 2496   1>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)
printNotes: i= 20-<2285 2312 -27>,  	 F2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 21-<2481 2496 -15>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i= 22-<2309 2312  -3>,  	 F2 --    1/4th(123) <      > 	V123 - M123	=  +  %+0  	q=  +  %+0  	 0.708(84)
printNotes: i= 23-<2173 2163  10>,  	Ek2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i= 24-<1902 2036 -134>,  	 D2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 25-<2077 2163 -86>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(84)
printNotes: i= 26-<2328 2312  16>,  	 F2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)
