	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1718 1476 242>,  	Ak1 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(89)
printNotes: i=  2-<2650 2804 -154>,  	Bb2 --   1/8th.( 87) <      > 	V 78 - M 87	= -9  %-12  	q= -9  %-12  	 0.447(89)
printNotes: i=  3-<2725 2729  -4>,  	 A2 --  1/4th..(203) <-1*sela> 	V189 - M174	=+15  %+8  	q=-14  %-7  	 1.091(89)
printNotes: i=  4-<2787 2804 -17>,  	Bb2 --  1/4th..(203) <      > 	V192 - M203	=-11  %-6  	q=-11  %-6  	 1.109(89)
printNotes: i=  5-<2728 2729  -1>,  	 A2 --   1/4th.(174) <      > 	V178 - M174	= +4  %+2  	q= +4  %+2  	 1.027(89)
printNotes: i=  6-<2788 2804 -16>,  	Bb2 --   1/4th.(174) <      > 	V168 - M174	= -6  %-4  	q= -6  %-4  	 0.969(89)
printNotes: i=  7-<2990 3013 -23>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)
printNotes: i=  8-<2633 2804 -171>,  	Bb2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i=  9-<3088 3113 -25>,  	Db3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(89)
printNotes: i= 10-<2717 2701  16>,  	Ak2 --   1/8th.( 87) <      > 	V 87 - M 87	=  +  %+0  	q=  +  %+0  	 0.499(89)
printNotes: i= 11-<2533 2533    >,  	 G2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(89)


silence
printNotes: i= 12-<  87   40  47>,  	Slc --  1/4th..(203) <      > 	V192 - M208	=-16  %-8  	q=-11  %-6  	 1.109(89)
printNotes: i= 13-<1490 1126 364>,  	 F1 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 14-<2581 2701 -120>,  	Ak2 --  1/8th..(101) <      > 	V106 - M101	= +5  %+5  	q= +5  %+5  	 0.610(89)
