	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1362 1116 246>,  	 F1 --  1/16th.( 46) <      > 	V 46 - M 46	=  +  %+0  	q=  +  %+0  	 0.261(84)
printNotes: i=  2-<2017 2031 -14>,  	 D2 --    whole(492) <      > 	V495 - M492	= +3  %+1  	q= +3  %+1  	 2.868(84)
printNotes: i=  3-<1863 1818  45>,  	 C2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i=  4-<2160 2218 -58>,  	 E2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i=  5-<2027 2031  -4>,  	 D2 --   half..(431) <-1*sela> 	V408 - M431	=-23  %-6  	q=-23  %-6  	 2.363(84)
printNotes: i=  6-<1869 1818  51>,  	 C2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(84)
printNotes: i=  7-<2158 2218 -60>,  	 E2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(84)
printNotes: i=  8-<2030 2031  -1>,  	 D2 --     half(246) <1*sela> 	V263 - M246	=+17  %+6  	q=+17  %+6  	 1.521(84)
printNotes: i=  9-<1815 1818  -3>,  	 C2 -- 1/16th..( 54) <      > 	V 55 - M 54	= +1  %+2  	q= +1  %+2  	 0.313(84)
printNotes: i= 10-<1653 1654  -1>,  	Bk1 --  1/16th.( 46) <      > 	V 44 - M 46	= -2  %-5  	q= -2  %-5  	 0.250(84)
printNotes: i= 11-<1821 1818   3>,  	 C2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 12-<1541 1534   7>,  	 A1 --     half(246) <      > 	V241 - M246	= -5  %-2  	q= -5  %-2  	 1.393(84)


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --  1/4th..(215) <      > 	V228 - M215	=+13  %+6  	q=+13  %+6  	 1.318(84)
printNotes: i= 14-<1497 1534 -37>,  	 A1 --  1/16th.( 46) <      > 	V 48 - M 46	= +2  %+4  	q= +2  %+4  	 0.273(84)
printNotes: i= 15-<1609 1654 -45>,  	Bk1 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(84)
printNotes: i= 16-<1820 1818   2>,  	 C2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
