	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1545 1704 -159>,  	Ek2 --  1/16th.( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(86)
printNotes: i=  2-< 768 1835 -1067>,  	 F2 --  1/16th.( 45) <      > 	V 44 - M 30	=+14  %+32  	q= -1  %-2  	 0.250(86)<-----%32   %2

printNotes: i=  3-<1985 2083 -98>,  	 G2 --     half(241) <1*sela> 	V256 - M241	=+15  %+6  	q=+15  %+6  	 1.480(86)
printNotes: i=  4-<2189 2207 -18>,  	Ak2 --   1/16th( 30) <      > 	V 36 - M 40	= -4  %-11  	q= +6  %+17  	 0.203(86)
printNotes: i=  5-<2072 2083 -11>,  	 G2 --  1/16th.( 45) <      > 	V 42 - M 40	= +2  %+5  	q= -3  %-7  	 0.238(86)
printNotes: i=  6-<2163 2207 -44>,  	Ak2 --  1/32nd.( 23) <      > 	V 23 - M 40	=-17  %-74  	q=  +  %+0  	 0.128(86)<-----%74   %0

printNotes: i=  7-<2081 2083  -2>,  	 G2 --   1/4th.(181) <      > 	V167 - M121	=+46  %+28  	q=-14  %-8  	 0.964(86)<-----%28   %8

printNotes: i=  8-<1801 1835 -34>,  	 F2 -- 1/16th..( 53) <      > 	V 49 - M 20	=+29  %+59  	q= -4  %-8  	 0.279(86)<-----%59   %8

printNotes: i=  9-<1714 1704  10>,  	Ek2 -- 1/64th..( 13) <      > 	V 14 - M 20	= -6  %-43  	q= +1  %+7  	 0.075(86)<-----%43   %7 <<

printNotes: i= 10-<1832 1835  -3>,  	 F2 -- 1/32nd..( 26) <      > 	V 25 - M 20	= +5  %+20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 11-<2079 2083  -4>,  	 G2 --   1/16th( 30) <      > 	V 32 - M 20	=+12  %+38  	q= +2  %+6  	 0.180(86)<-----%38   %6

printNotes: i= 12-<1854 1835  19>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 20	= -4  %-25  	q= +1  %+6  	 0.087(86)<-----%25   %6 <<

printNotes: i= 13-<2051 2083 -32>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 20	=+10  %+33  	q=  +  %+0  	 0.168(86)<-----%33   %0

printNotes: i= 14-<1819 1835 -16>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 12	= +5  %+29  	q= +2  %+12  	 0.093(86)<-----%29   %12

printNotes: i= 15-<1943 2083 -140>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 12	= -2  %-20  	q= -1  %-10  	 0.052(86)
printNotes: i= 16-<1867 1835  32>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 24	= +3  %+11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 17-<1720 1704  16>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 12	= -1  %-9  	q=  +  %+0  	 0.058(86)
printNotes: i= 18-<1775 1835 -60>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 12	=  +  %+0  	q= +1  %+8  	 0.064(86)
printNotes: i= 19-<1709 1704   5>,  	Ek2 --   1/16th( 30) <      > 	V 30 - M 24	= +6  %+20  	q=  +  %+0  	 0.168(86)<-----%20   %0

printNotes: i= 20-<1629 1554  75>,  	 D2 --  1/64th.( 11) <      > 	V 12 - M 24	=-12  %-100  	q= +1  %+8  	 0.064(86)<-----%100   %8 <<

printNotes: i= 21-<1807 1704 103>,  	Ek2 --    1/8th( 60) <      > 	V 71 - M 30	=+41  %+58  	q=+11  %+15  	 0.406(86)<-----%58   %15



silence
printNotes: i= 22-<   0   40 -40>,  	Slc --  1/4th..(211) <      > 	V211 - M211	=  +  %+0  	q=  +  %+0  	 1.219(86)
printNotes: i= 23-<1571 2207 -636>,  	Ak2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 24-<2084 2083   1>,  	 G2 --    1/8th( 60) <      > 	V 59 - M 45	=+14  %+24  	q= -1  %-2  	 0.337(86)<-----%24   %2

printNotes: i= 25-<2190 2207 -17>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 45	=-31  %-221  	q= +1  %+7  	 0.075(86)<-----%221   %7 <<

printNotes: i= 26-< 975 2083 -1108>,  	 G2 --   1/8th.( 90) <      > 	V 81 - M 30	=+51  %+63  	q= -9  %-11  	 0.464(86)<-----%63   %11

printNotes: i= 27-<2180 2207 -27>,  	Ak2 -- 1/32nd..( 26) <      > 	V 27 - M 45	=-18  %-67  	q= +1  %+4  	 0.151(86)<-----%67   %4

printNotes: i= 28-<2088 2083   5>,  	 G2 --     half(241) <      > 	V239 - M166	=+73  %+31  	q= -2  %-1  	 1.382(86)<-----%31   %1

printNotes: i= 29-<1856 1835  21>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 20	= +9  %+31  	q= -1  %-3  	 0.163(86)<-----%31   %3

printNotes: i= 30-<1717 1704  13>,  	Ek2 -- 1/64th..( 13) <      > 	V 14 - M 20	= -6  %-43  	q= +1  %+7  	 0.075(86)<-----%43   %7 <<

printNotes: i= 31-<1872 1835  37>,  	 F2 --  1/32nd.( 23) <      > 	V 24 - M 20	= +4  %+17  	q= +1  %+4  	 0.134(86)<-----%17   %4

printNotes: i= 32-<2122 2083  39>,  	 G2 -- 1/32nd..( 26) <      > 	V 26 - M 20	= +6  %+23  	q=  +  %+0  	 0.145(86)<-----%23   %0

printNotes: i= 33-<1813 1835 -22>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 20	= -3  %-18  	q= +2  %+12  	 0.093(86)<-----%18   %12

printNotes: i= 34-<2074 2083  -9>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 20	=+13  %+39  	q= +3  %+9  	 0.186(86)<-----%39   %9

printNotes: i= 35-<1818 1835 -17>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 12	= +3  %+20  	q=  +  %+0  	 0.081(86)<-----%20   %0 <<

printNotes: i= 36-<1931 2083 -152>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 12	=  +  %+0  	q= +1  %+8  	 0.064(86)
printNotes: i= 37-<1842 1835   7>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 24	= +3  %+11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 38-<1698 1704  -6>,  	Ek2 -- 1/64th..( 13) <      > 	V 14 - M 12	= +2  %+14  	q= +1  %+7  	 0.075(86)
printNotes: i= 39-<1735 1835 -100>,  	 F2 --    128th(  4) <      > 	V  4 - M 12	= -8  %-200  	q=  +  %+0  	 0.017(86)<-----%200   %0 <<

printNotes: i= 40-<1692 1704 -12>,  	Ek2 --  1/16th.( 45) <      > 	V 39 - M 24	=+15  %+38  	q= -6  %-15  	 0.221(86)<-----%38   %15

printNotes: i= 41-<1618 1554  64>,  	 D2 -- 1/64th..( 13) <      > 	V 13 - M 24	=-11  %-85  	q=  +  %+0  	 0.070(86)<-----%85   %0 <<

printNotes: i= 42-<1784 1704  80>,  	Ek2 --   1/8th.( 90) <      > 	V 80 - M 30	=+50  %+62  	q=-10  %-12  	 0.459(86)<-----%62   %12



silence
printNotes: i= 43-<   0   40 -40>,  	Slc --   1/4th.(181) <-1*sela> 	V158 - M211	=-53  %-34  	q=-23  %-15  	 0.911(86)<-----%34   %15

printNotes: i= 44-<1700 1704  -4>,  	Ek2 --   1/16th( 30) <      > 	V 36 - M 20	=+16  %+44  	q= +6  %+17  	 0.203(86)<-----%44   %17

printNotes: i= 45-<1598 1554  44>,  	 D2 -- 1/64th..( 13) <      > 	V 14 - M 20	= -6  %-43  	q= +1  %+7  	 0.075(86)<-----%43   %7 <<

printNotes: i= 46-<1669 1704 -35>,  	Ek2 --   1/16th( 30) <      > 	V 34 - M 20	=+14  %+41  	q= +4  %+12  	 0.192(86)<-----%41   %12

printNotes: i= 47-<1629 1554  75>,  	 D2 --   1/32nd( 15) <      > 	V 17 - M 20	= -3  %-18  	q= +2  %+12  	 0.093(86)<-----%18   %12

printNotes: i= 48-<1563 1704 -141>,  	Ek2 --   1/8th.( 90) <      > 	V 93 - M 40	=+53  %+57  	q= +3  %+3  	 0.534(86)<-----%57   %3

printNotes: i= 49-< 805 1354 -549>,  	 C2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 50-<1340 1354 -14>,  	 C2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-- same note<-----%20   %4

printNotes: i= 51-<1721 1704  17>,  	Ek2 --     half(241) <1*sela> 	V257 - M211	=+46  %+18  	q=+16  %+6  	 1.486(86)<-----%18   %6



silence
