	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1767 1892 -125>,  	 F2 --  1/16th.( 44) <      > 	V 47 - M 29	=+18  %+38  	q= +3  %+6  	 0.267(88)<-----%38   %6

printNotes: i=  2-<2386 2385   1>,  	Bb2 --     half(234) <2*sela> 	V268 - M321	=-53  %-20  	q=+34  %+13  	 1.550(88)<-----%20   %13

printNotes: i=  3-<2246 2227  19>,  	Ak2 --   1/8th.( 88) <      > 	V 93 - M 58	=+35  %+38  	q= +5  %+5  	 0.534(88)<-----%38   %5

printNotes: i=  4-<2093 2099  -6>,  	 G2 --   1/4th.(175) <      > 	V170 - M175	= -5  %-3  	q= -5  %-3  	 0.981(88)
printNotes: i=  5-<2394 2385   9>,  	Bb2 --     half(234) <      > 	V224 - M234	=-10  %-4  	q=-10  %-4  	 1.295(88)
printNotes: i=  6-<2239 2227  12>,  	Ak2 --   1/8th.( 88) <      > 	V 83 - M 58	=+25  %+30  	q= -5  %-6  	 0.476(88)<-----%30   %6

printNotes: i=  7-<2109 2099  10>,  	 G2 --  1/8th..(102) <      > 	V108 - M117	= -9  %-8  	q= +6  %+6  	 0.621(88)
printNotes: i=  8-<2390 2385   5>,  	Bb2 --   1/8th.( 88) <      > 	V 93 - M 88	= +5  %+5  	q= +5  %+5  	 0.534(88)
printNotes: i=  9-<2555 2577 -22>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(88)<-----%15   %0 <<

printNotes: i= 10-<2374 2385 -11>,  	Bb2 --   1/16th( 29) <      > 	V 28 - M 15	=+13  %+46  	q= -1  %-4  	 0.157(88)<-----%46   %4

printNotes: i= 11-<2232 2227   5>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 20	= +5  %+20  	q= -1  %-4  	 0.139(88)<-----%20   %4

printNotes: i= 12-<2084 2099 -15>,  	 G2 --  1/32nd.( 22) <      > 	V 22 - M 19	= +3  %+14  	q=  +  %+0  	 0.122(88)<-----%14   %0

printNotes: i= 13-<2244 2227  17>,  	Ak2 --   1/16th( 29) <      > 	V 32 - M 10	=+22  %+69  	q= +3  %+9  	 0.180(88)<-----%69   %9

printNotes: i= 14-<2419 2385  34>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 10	= +2  %+17  	q= +1  %+8  	 0.064(88)
printNotes: i= 15-<2114 2099  15>,  	 G2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(88)
printNotes: i= 16-<2275 2227  48>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 17-<2085 2099 -14>,  	 G2 --   1/8th.( 88) <      > 	V 89 - M 58	=+31  %+35  	q= +1  %+1  	 0.511(88)<-----%35   %1

printNotes: i= 18-<2235 2227   8>,  	Ak2 -- 1/16th..( 51) <      > 	V 52 - M 29	=+23  %+44  	q= +1  %+2  	 0.296(88)<-----%44   %2

printNotes: i= 19-<2368 2385 -17>,  	Bb2 --  1/32nd.( 22) <      > 	V 21 - M 29	= -8  %-38  	q= -1  %-5  	 0.116(88)<-----%38   %5

printNotes: i= 20-<2262 2227  35>,  	Ak2 --  1/16th.( 44) <      > 	V 44 - M 29	=+15  %+34  	q=  +  %+0  	 0.250(88)<-----%34   %0

printNotes: i= 21-<2402 2385  17>,  	Bb2 --  1/16th.( 44) <      > 	V 42 - M 29	=+13  %+31  	q= -2  %-5  	 0.238(88)<-----%31   %5

printNotes: i= 22-<2252 2227  25>,  	Ak2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(88)
printNotes: i= 23-<1684 2099 -415>,  	 G2 --    1/8th( 58) <      > 	V 69 - M 58	=+11  %+16  	q=+11  %+16  	 0.395(88)


silence
printNotes: i= 24-<   0   40 -40>,  	Slc --     half(234) <      > 	V222 - M234	=-12  %-5  	q=-12  %-5  	 1.283(88)
printNotes: i= 25-<1333 1392 -59>,  	 C2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 26-<2074 2099 -25>,  	 G2 --  1/8th..(102) <      > 	V101 - M 88	=+13  %+13  	q= -1  %-1  	 0.580(88)<-----%13   %1

printNotes: i= 27-<2213 2227 -14>,  	Ak2 --   1/16th( 29) <      > 	V 32 - M 15	=+17  %+53  	q= +3  %+9  	 0.180(88)<-----%53   %9

printNotes: i= 28-<2474 2385  89>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 29-<2225 2227  -2>,  	Ak2 --  1/16th.( 44) <      > 	V 39 - M 58	=-19  %-49  	q= -5  %-13  	 0.221(88)<-----%49   %13

printNotes: i= 30-<2376 2385  -9>,  	Bb2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 31-<2419 2577 -158>,  	 C3 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i= 32-<2370 2385 -15>,  	Bb2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 33-<2230 2227   3>,  	Ak2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 34-<2110 2099  11>,  	 G2 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 35-<1868 1892 -24>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 36-<2095 2099  -4>,  	 G2 --  1/4th..(204) <      > 	V195 - M234	=-39  %-20  	q= -9  %-5  	 1.126(88)<-----%20   %5

printNotes: i= 37-<2217 2227 -10>,  	Ak2 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(88)<-----%50   %3

printNotes: i= 38-<2434 2385  49>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 39-<2229 2227   2>,  	Ak2 --  1/16th.( 44) <      > 	V 41 - M 58	=-17  %-41  	q= -3  %-7  	 0.232(88)<-----%41   %7

printNotes: i= 40-<2378 2385  -7>,  	Bb2 --   1/16th( 29) <      > 	V 32 - M 15	=+17  %+53  	q= +3  %+9  	 0.180(88)<-----%53   %9

printNotes: i= 41-<2300 2577 -277>,  	 C3 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 42-<2382 2385  -3>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 43-<2225 2227  -2>,  	Ak2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 44-<2063 2099 -36>,  	 G2 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 45-<1896 1892   4>,  	 F2 --  1/32nd.( 22) <      > 	V 20 - M 29	= -9  %-45  	q= -2  %-10  	 0.110(88)<-----%45   %10

printNotes: i= 46-<1996 2099 -103>,  	 G2 --  1/8th..(102) <      > 	V 97 - M 44	=+53  %+55  	q= -5  %-5  	 0.557(88)<-----%55   %5



silence
printNotes: i= 47-<   0   40 -40>,  	Slc --    1/4th(117) <      > 	V110 - M117	= -7  %-6  	q= -7  %-6  	 0.633(88)
printNotes: i= 48-<1994 2099 -105>,  	 G2 --    1/8th( 58) <      > 	V 70 - M 58	=+12  %+17  	q=+12  %+17  	 0.401(88)
printNotes: i= 49-<2236 2227   9>,  	Ak2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 50-<2414 2385  29>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 51-<2221 2227  -6>,  	Ak2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 52-<2092 2099  -7>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 53-<2230 2227   3>,  	Ak2 --  1/16th.( 44) <      > 	V 37 - M 58	=-21  %-57  	q= -7  %-19  	 0.209(88)<-----%57   %19

printNotes: i= 54-<2360 2385 -25>,  	Bb2 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(88)<-----%50   %3

printNotes: i= 55-<2624 2577  47>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(88)<-----%50   %10 <<

printNotes: i= 56-<2384 2385  -1>,  	Bb2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 57-<2232 2227   5>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<

printNotes: i= 58-<2370 2385 -15>,  	Bb2 --   1/16th( 29) <      > 	V 34 - M 44	=-10  %-29  	q= +5  %+15  	 0.192(88)<-----%29   %15

printNotes: i= 59-<2593 2577  16>,  	 C3 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(88)<-----%50   %3

printNotes: i= 60-<2718 2777 -59>,  	 D3 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(88)<-----%50   %10 <<

printNotes: i= 61-<2571 2577  -6>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 62-<2337 2385 -48>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 63-<2201 2227 -26>,  	Ak2 --  1/32nd.( 22) <      > 	V 22 - M 29	= -7  %-32  	q=  +  %+0  	 0.122(88)<-----%32   %0

printNotes: i= 64-<1936 2099 -163>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 65-<2232 2227   5>,  	Ak2 --    1/4th(117) <1*sela> 	V141 - M146	= -5  %-4  	q=+24  %+17  	 0.813(88)
