	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1728 1875 -147>,  	 F2 --  1/16th.( 44) <      > 	V 42 - M 29	=+13  %+31  	q= -2  %-5  	 0.238(89)<-----%31   %5

printNotes: i=  2-<2096 2103  -7>,  	 G2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i=  3-<2230 2228   2>,  	Ak2 --    whole(464) <2*sela> 	V502 - M696	=-194  %-39  	q=+38  %+8  	 2.908(89)<-----%39   %8

printNotes: i=  4-<2143 2103  40>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(89)<-----%142   %8 <<

printNotes: i=  5-<2358 2385 -27>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(89)<-----%123   %0 <<

printNotes: i=  6-<2224 2228  -4>,  	Ak2 --  1/4th..(203) <      > 	V199 - M203	= -4  %-2  	q= -4  %-2  	 1.149(89)
printNotes: i=  7-<2109 2103   6>,  	 G2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(89)
printNotes: i=  8-<1882 1875   7>,  	 F2 --    1/4th(116) <      > 	V123 - M116	= +7  %+6  	q= +7  %+6  	 0.708(89)
printNotes: i=  9-<1737 1733   4>,  	Ek2 --    1/8th( 58) <      > 	V 62 - M 29	=+33  %+53  	q= +4  %+6  	 0.354(89)<-----%53   %6

printNotes: i= 10-< 702 1583 -881>,  	 D2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(89)<-----%53   %16

printNotes: i= 11-<1721 1733 -12>,  	Ek2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(89)<-----%12   %4

printNotes: i= 12-<1870 1875  -5>,  	 F2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(89)<-----%12   %4

printNotes: i= 13-<2091 2103 -12>,  	 G2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(89)
printNotes: i= 14-<2221 2228  -7>,  	Ak2 --    1/8th( 58) <      > 	V 66 - M 58	= +8  %+12  	q= +8  %+12  	 0.377(89)
printNotes: i= 15-<2102 2103  -1>,  	 G2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(89)<-----%21   %4

printNotes: i= 16-<1893 1875  18>,  	 F2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(89)<-----%26   %4

printNotes: i= 17-<2057 2103 -46>,  	 G2 -- 1/32nd..( 25) <      > 	V 24 - M 15	= +9  %+38  	q= -1  %-4  	 0.134(89)<-----%38   %4

printNotes: i= 18-<2129 2228 -99>,  	Ak2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(89)<-----%400   %33 <<

printNotes: i= 19-<2066 2103 -37>,  	 G2 --  1/32nd.( 22) <      > 	V 21 - M 29	= -8  %-38  	q= -1  %-5  	 0.116(89)<-----%38   %5

printNotes: i= 20-<2210 2228 -18>,  	Ak2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 21-<2091 2103 -12>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(89)<-----%61   %17

printNotes: i= 22-<2262 2228  34>,  	Ak2 --  1/16th.( 44) <      > 	V 41 - M 29	=+12  %+29  	q= -3  %-7  	 0.232(89)<-----%29   %7

printNotes: i= 23-<2115 2103  12>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 24-<2309 2228  81>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 25-<2106 2103   3>,  	 G2 --  1/16th.( 44) <      > 	V 39 - M 44	= -5  %-13  	q= -5  %-13  	 0.221(89)
printNotes: i= 26-<2265 2385 -120>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 29	= -7  %-32  	q=  +  %+0  	 0.122(89)<-----%32   %0



silence
printNotes: i= 27-< 116   40  76>,  	Slc --  1/32nd.( 22) <      > 	V 20 - M  7	=+13  %+65  	q= -2  %-10  	 0.110(89)<-----%65   %10

printNotes: i= 28-<2226 2228  -2>,  	Ak2 --  1/4th..(203) <      > 	V195 - M232	=-37  %-19  	q= -8  %-4  	 1.126(89)<-----%19   %4

printNotes: i= 29-<2100 2103  -3>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(89)<-----%81   %6 <<

printNotes: i= 30-<2084 2228 -144>,  	Ak2 --   1/8th.( 87) <      > 	V 84 - M 58	=+26  %+31  	q= -3  %-4  	 0.482(89)<-----%31   %4



silence
printNotes: i= 31-<   0   40 -40>,  	Slc --   1/4th.(174) <      > 	V170 - M174	= -4  %-2  	q= -4  %-2  	 0.981(89)
printNotes: i= 32-<1563 1733 -170>,  	Ek2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(89)
printNotes: i= 33-<2218 2228 -10>,  	Ak2 --     half(232) <1*sela> 	V253 - M290	=-37  %-15  	q=+21  %+8  	 1.463(89)<-----%15   %8

printNotes: i= 34-<2094 2103  -9>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(89)<-----%93   %0 <<

printNotes: i= 35-<2238 2228  10>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 36-<2397 2385  12>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(89)<-----%15   %0 <<

printNotes: i= 37-<2229 2228   1>,  	Ak2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(89)<-----%21   %4

printNotes: i= 38-<2105 2103   2>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(89)<-----%107   %7 <<

printNotes: i= 39-<2229 2228   1>,  	Ak2 --    1/4th(116) <1*sela> 	V131 - M116	=+15  %+11  	q=+15  %+11  	 0.755(89)
printNotes: i= 40-<2109 2103   6>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(89)<-----%123   %0 <<

printNotes: i= 41-<2225 2228  -3>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 42-<2436 2385  51>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(89)<-----%25   %8 <<

printNotes: i= 43-<2227 2228  -1>,  	Ak2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 44-<2107 2103   4>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(89)<-----%164   %0 <<

printNotes: i= 45-<2228 2228    >,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)
printNotes: i= 46-<2312 2385 -73>,  	Bb2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(89)<-----%150   %0 <<

printNotes: i= 47-<2224 2228  -4>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 48-<2123 2103  20>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(89)<-----%142   %8 <<

printNotes: i= 49-<2229 2228   1>,  	Ak2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 50-<2309 2385 -76>,  	Bb2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(89)<-----%275   %0 <<

printNotes: i= 51-<2214 2228 -14>,  	Ak2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 52-<2103 2103    >,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(89)<-----%71   %12

printNotes: i= 53-<2246 2228  18>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 15	=+14  %+48  	q=  +  %+0  	 0.163(89)<-----%48   %0

printNotes: i= 54-<2387 2385   2>,  	Bb2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(89)<-----%275   %0 <<

printNotes: i= 55-<2213 2228 -15>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 29	= -4  %-16  	q=  +  %+0  	 0.139(89)<-----%16   %0

printNotes: i= 56-<2108 2103   5>,  	 G2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(89)<-----%53   %16

printNotes: i= 57-<2225 2228  -3>,  	Ak2 -- 1/32nd..( 25) <      > 	V 25 - M 15	=+10  %+40  	q=  +  %+0  	 0.139(89)<-----%40   %0

printNotes: i= 58-<2284 2385 -101>,  	Bb2 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(89)<-----%400   %33 <<

printNotes: i= 59-<2238 2228  10>,  	Ak2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(89)<-----%61   %17

printNotes: i= 60-<2146 2385 -239>,  	Bb2 -- 1/16th..( 51) <      > 	V 51 - M 15	=+36  %+71  	q=  +  %+0  	 0.290(89)<-----%71   %0

printNotes: i= 61-<1682 2585 -903>,  	 C3 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(89)<-----%67   %22 <<

printNotes: i= 62-<   0 2385 -2385>,  	Bb2 --    128th(  4) <      > 	V  4 - M 29	=-25  %-625  	q=  +  %+0  	 0.017(89)<-----%625   %0 <<

printNotes: i= 63-<2226 2228  -2>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(89)<-----%26   %4

printNotes: i= 64-<2421 2385  36>,  	Bb2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(89)<-----%28   %10

printNotes: i= 65-<2218 2228 -10>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 15	= +8  %+35  	q= +1  %+4  	 0.128(89)<-----%35   %4

printNotes: i= 66-<1319 2385 -1066>,  	Bb2 --  1/32nd.( 22) <      > 	V 19 - M 15	= +4  %+21  	q= -3  %-16  	 0.104(89)<-----%21   %16

printNotes: i= 67-<2137 2228 -91>,  	Ak2 -- 1/16th..( 51) <      > 	V 54 - M 44	=+10  %+19  	q= +3  %+6  	 0.308(89)<-----%19   %6

printNotes: i= 68-<2381 2385  -4>,  	Bb2 --  1/8th..(102) <      > 	V 98 - M116	=-18  %-18  	q= -4  %-4  	 0.563(89)<-----%18   %4

printNotes: i= 69-<2235 2228   7>,  	Ak2 --  1/16th.( 44) <      > 	V 38 - M 29	= +9  %+24  	q= -6  %-16  	 0.215(89)<-----%24   %16

printNotes: i= 70-<2412 2385  27>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(89)<-----%71   %12



silence
printNotes: i= 71-< 212   40 172>,  	Slc --  1/64th.( 11) <      > 	V 11 - M  7	= +4  %+36  	q=  +  %+0  	 0.058(89)<-----%36   %0 <<

printNotes: i= 72-<2109 2228 -119>,  	Ak2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(89)<-----%26   %4

printNotes: i= 73-<2265 2385 -120>,  	Bb2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(89)
printNotes: i= 74-<2219 2228  -9>,  	Ak2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(89)<-----%25   %10

printNotes: i= 75-<2374 2385 -11>,  	Bb2 --   128th.(  5) <      > 	V  5 - M 15	=-10  %-200  	q=  +  %+0  	 0.023(89)<-----%200   %0 <<

printNotes: i= 76-<2231 2228   3>,  	Ak2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(89)<-----%12   %4

printNotes: i= 77-<2090 2103 -13>,  	 G2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(89)<-----%25   %10

printNotes: i= 78-<2235 2228   7>,  	Ak2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(89)<-----%88   %38 <<

printNotes: i= 79-<2102 2103  -1>,  	 G2 --  1/32nd.( 22) <      > 	V 22 - M 15	= +7  %+32  	q=  +  %+0  	 0.122(89)<-----%32   %0

printNotes: i= 80-<2192 2228 -36>,  	Ak2 --   128th.(  5) <      > 	V  5 - M 15	=-10  %-200  	q=  +  %+0  	 0.023(89)<-----%200   %0 <<

printNotes: i= 81-<2101 2103  -2>,  	 G2 -- 1/32nd..( 25) <      > 	V 26 - M 29	= -3  %-12  	q= +1  %+4  	 0.145(89)<-----%12   %4

printNotes: i= 82-<1888 1875  13>,  	 F2 --  1/32nd.( 22) <      > 	V 21 - M 15	= +6  %+29  	q= -1  %-5  	 0.116(89)<-----%29   %5

printNotes: i= 83-<1976 2103 -127>,  	 G2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(89)<-----%275   %0 <<

printNotes: i= 84-<1893 1875  18>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(89)<-----%71   %12

printNotes: i= 85-<2108 2103   5>,  	 G2 -- 1/16th..( 51) <      > 	V 50 - M 39	=+11  %+22  	q= -1  %-2  	 0.284(89)<-----%22   %2

printNotes: i= 86-<2218 2228 -10>,  	Ak2 --   1/16th( 29) <      > 	V 28 - M 39	=-11  %-39  	q= -1  %-4  	 0.157(89)<-----%39   %4

printNotes: i= 87-<2116 2103  13>,  	 G2 --  1/16th.( 44) <      > 	V 41 - M 39	= +2  %+5  	q= -3  %-7  	 0.232(89)
printNotes: i= 88-<2223 2228  -5>,  	Ak2 --    1/8th( 58) <      > 	V 69 - M 58	=+11  %+16  	q=+11  %+16  	 0.395(89)
printNotes: i= 89-<2113 2103  10>,  	 G2 --    1/4th(116) <      > 	V122 - M116	= +6  %+5  	q= +6  %+5  	 0.702(89)
printNotes: i= 90-<1909 1875  34>,  	 F2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(89)


silence
printNotes: i= 91-<   0   40 -40>,  	Slc --  whole..(812) <2*sela> 	V851 - M938	=-87  %-10  	q=+39  %+5  	 4.934(89)<-----%10   %5

printNotes: i= 92-<1753 1875 -122>,  	 F2 --  1/16th.( 44) <      > 	V 38 - M 39	= -1  %-3  	q= -6  %-16  	 0.215(89)
printNotes: i= 93-<2056 2103 -47>,  	 G2 --    1/8th( 58) <      > 	V 56 - M 39	=+17  %+30  	q= -2  %-4  	 0.319(89)<-----%30   %4

