	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1216 1386 -170>,  	 C2 -- 1/32nd..( 28) <      > 	V 29 - M 18	=+11  %+38  	q= +1  %+3  	 0.163(81)<-----%38   %3

printNotes: i=  2-<1666 1736 -70>,  	Ek2 --   1/16th( 32) <      > 	V 35 - M 37	= -2  %-6  	q= +3  %+9  	 0.197(81)
printNotes: i=  3-<1551 1586 -35>,  	 D2 --   1/32nd( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(81)
printNotes: i=  4-<1695 1736 -41>,  	Ek2 --   1/16th( 32) <      > 	V 31 - M 37	= -6  %-19  	q= -1  %-3  	 0.174(81)<-----%19   %3

printNotes: i=  5-<1867 1877 -10>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 36	= -5  %-16  	q= -1  %-3  	 0.174(81)<-----%16   %3

printNotes: i=  6-<2098 2106  -8>,  	 G2 --  1/16th.( 48) <      > 	V 40 - M 37	= +3  %+8  	q= -8  %-20  	 0.226(81)
printNotes: i=  7-<2231 2232  -1>,  	Ak2 --   1/16th( 32) <      > 	V 34 - M 36	= -2  %-6  	q= +2  %+6  	 0.192(81)
printNotes: i=  8-<2412 2425 -13>,  	Bk2 --  1/16th.( 48) <      > 	V 47 - M 37	=+10  %+21  	q= -1  %-2  	 0.267(81)<-----%21   %2

printNotes: i=  9-<2556 2571 -15>,  	 C3 --    1/8th( 64) <      > 	V 74 - M 64	=+10  %+14  	q=+10  %+14  	 0.424(81)
printNotes: i= 10-<2427 2425   2>,  	Bk2 --   1/4th.(192) <      > 	V201 - M256	=-55  %-27  	q= +9  %+4  	 1.161(81)<-----%27   %4

printNotes: i= 11-<2306 2315  -9>,  	 A2 --   1/64th(  8) <      > 	V 10 - M 32	=-22  %-220  	q= +2  %+20  	 0.052(81)<-----%220   %20 <<

printNotes: i= 12-<2427 2425   2>,  	Bk2 --    whole(512) <5*sela> 	V606 - M768	=-162  %-27  	q=+94  %+16  	 3.512(81)<-----%27   %16

printNotes: i= 13-<2347 2315  32>,  	 A2 --    128th(  4) <      > 	V  2 - M 16	=-14  %-700  	q= -2  %-100  	 0.006(81)<-----%700   %100 <<

printNotes: i= 14-<2435 2425  10>,  	Bk2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 15-<2293 2315 -22>,  	 A2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 16-<2392 2425 -33>,  	Bk2 -- 1/32nd..( 28) <      > 	V 26 - M 16	=+10  %+38  	q= -2  %-8  	 0.145(81)<-----%38   %8

printNotes: i= 17-<1011 2571 -1560>,  	 C3 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(81)<-----%220   %20 <<

printNotes: i= 18-<2319 2425 -106>,  	Bk2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i= 19-<2410 2571 -161>,  	 C3 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(81)<-----%45   %3

printNotes: i= 20-<2730 2771 -41>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(81)<-----%33   %0 <<

printNotes: i= 21-<2434 2425   9>,  	Bk2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 22-<2557 2571 -14>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 23-<2208 2232 -24>,  	Ak2 --  1/16th.( 48) <      > 	V 41 - M 32	= +9  %+22  	q= -7  %-17  	 0.232(81)<-----%22   %17

printNotes: i= 24-<2432 2425   7>,  	Bk2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(81)<-----%167   %0 <<

printNotes: i= 25-<1744 2106 -362>,  	 G2 --    1/8th( 64) <      > 	V 62 - M 64	= -2  %-3  	q= -2  %-3  	 0.354(81)


silence
printNotes: i= 26-<   0   40 -40>,  	Slc --  1/4th..(224) <      > 	V239 - M256	=-17  %-7  	q=+15  %+6  	 1.382(81)
printNotes: i= 27-<1807 1877 -70>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 28-<2103 2106  -3>,  	 G2 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(81)<-----%39   %4

printNotes: i= 29-<2286 2315 -29>,  	 A2 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 30-<2437 2425  12>,  	Bk2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 31-<2592 2571  21>,  	 C3 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 32-<2663 2771 -108>,  	 D3 --   1/64th(  8) <      > 	V 10 - M 32	=-22  %-220  	q= +2  %+20  	 0.052(81)<-----%220   %20 <<

printNotes: i= 33-<2442 2425  17>,  	Bk2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i= 34-<2547 2571 -24>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(81)<-----%167   %0 <<

printNotes: i= 35-<2243 2232  11>,  	Ak2 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(81)<-----%24   %14

printNotes: i= 36-<2391 2425 -34>,  	Bk2 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(81)<-----%167   %0 <<

printNotes: i= 37-<1645 2106 -461>,  	 G2 --  1/16th.( 48) <      > 	V 51 - M 64	=-13  %-25  	q= +3  %+6  	 0.290(81)<-----%25   %6

printNotes: i= 38-<2141 2106  35>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 39-<2571 2571    >,  	 C3 --    1/8th( 64) <      > 	V 65 - M 64	= +1  %+2  	q= +1  %+2  	 0.372(81)
printNotes: i= 40-<2428 2425   3>,  	Bk2 --    1/4th(128) <1*sela> 	V149 - M256	=-107  %-72  	q=+21  %+14  	 0.859(81)<-----%72   %14

printNotes: i= 41-<2337 2315  22>,  	 A2 --  1/64th.( 12) <      > 	V  9 - M 32	=-23  %-256  	q= -3  %-33  	 0.046(81)<-----%256   %33 <<

printNotes: i= 42-<2421 2425  -4>,  	Bk2 --    half.(384) <      > 	V380 - M512	=-132  %-35  	q= -4  %-1  	 2.200(81)<-----%35   %1

printNotes: i= 43-<1429 2106 -677>,  	 G2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i= 44-<2395 2425 -30>,  	Bk2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 45-<2320 2232  88>,  	Ak2 --  1/64th.( 12) <      > 	V 13 - M 32	=-19  %-146  	q= +1  %+8  	 0.070(81)<-----%146   %8 <<

printNotes: i= 46-<2433 2425   8>,  	Bk2 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 47-<2608 2571  37>,  	 C3 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(81)<-----%24   %14

printNotes: i= 48-<2225 2425 -200>,  	Bk2 --  1/8th..(112) <      > 	V104 - M 64	=+40  %+38  	q= -8  %-8  	 0.598(81)<-----%38   %8



silence
printNotes: i= 49-<   0   40 -40>,  	Slc --   1/8th.( 96) <      > 	V 89 - M 64	=+25  %+28  	q= -7  %-8  	 0.511(81)<-----%28   %8

printNotes: i= 50-<2334 2425 -91>,  	Bk2 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 51-<2303 2315 -12>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(81)<-----%78   %11

printNotes: i= 52-<2438 2425  13>,  	Bk2 --  1/32nd.( 24) <      > 	V 21 - M 32	=-11  %-52  	q= -3  %-14  	 0.116(81)<-----%52   %14

printNotes: i= 53-<2580 2571   9>,  	 C3 --   1/16th( 32) <      > 	V 30 - M 16	=+14  %+47  	q= -2  %-7  	 0.168(81)<-----%47   %7

printNotes: i= 54-<2725 2771 -46>,  	 D3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(81)<-----%33   %0 <<

printNotes: i= 55-<2423 2425  -2>,  	Bk2 --  1/8th..(112) <      > 	V107 - M 64	=+43  %+40  	q= -5  %-5  	 0.615(81)<-----%40   %5

printNotes: i= 56-<2606 2571  35>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(81)<-----%167   %0 <<

