	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2059 2099 -40>,  	 G2 --  1/16th.( 45) <      > 	V 44 - M 15	=+29  %+66  	q= -1  %-2  	 0.250(86)<-----%66   %2

printNotes: i=  2-<2590 2582   8>,  	 C3 --    half.(361) <-1*sela> 	V345 - M361	=-16  %-5  	q=-16  %-5  	 1.997(86)
printNotes: i=  3-<2450 2420  30>,  	Bk2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(86)<-----%173   %0 <<

printNotes: i=  4-<2591 2582   9>,  	 C3 --    whole(481) <      > 	V486 - M481	= +5  %+1  	q= +5  %+1  	 2.815(86)
printNotes: i=  5-<2448 2420  28>,  	Bk2 --  1/64th.( 11) <      > 	V 12 - M 30	=-18  %-150  	q= +1  %+8  	 0.064(86)<-----%150   %8 <<

printNotes: i=  6-<2230 2582 -352>,  	 C3 --  1/8th..(105) <      > 	V105 - M 60	=+45  %+43  	q=  +  %+0  	 0.604(86)<-----%43   %0



silence
printNotes: i=  7-<   0   40 -40>,  	Slc --   1/4th.(180) <      > 	V180 - M241	=-61  %-34  	q=  +  %+0  	 1.039(86)<-----%34   %0

printNotes: i=  8-<2122 2420 -298>,  	Bk2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i=  9-<2855 2817  38>,  	 D3 --  1/16th.( 45) <      > 	V 38 - M 45	= -7  %-18  	q= -7  %-18  	 0.215(86)
printNotes: i= 10-<2608 2582  26>,  	 C3 --   1/16th( 30) <      > 	V 37 - M 45	= -8  %-22  	q= +7  %+19  	 0.209(86)
printNotes: i= 11-<2417 2420  -3>,  	Bk2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 12-<2218 2227  -9>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(86)<-----%76   %12

printNotes: i= 13-<2417 2420  -3>,  	Bk2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 14-<2558 2582 -24>,  	 C3 --   1/16th( 30) <      > 	V 32 - M 45	=-13  %-41  	q= +2  %+6  	 0.180(86)<-----%41   %6

printNotes: i= 15-<2174 2420 -246>,  	Bk2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 16-<2213 2227 -14>,  	Ak2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 17-<2086 2099 -13>,  	 G2 --  1/32nd.( 23) <      > 	V 20 - M 30	=-10  %-50  	q= -3  %-15  	 0.110(86)<-----%50   %15

printNotes: i= 18-<2234 2227   7>,  	Ak2 --   1/16th( 30) <      > 	V 37 - M 45	= -8  %-22  	q= +7  %+19  	 0.209(86)
printNotes: i= 19-<2425 2420   5>,  	Bk2 --  1/16th.( 45) <      > 	V 46 - M 45	= +1  %+2  	q= +1  %+2  	 0.261(86)
printNotes: i= 20-<2307 2227  80>,  	Ak2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 21-<1858 2099 -241>,  	 G2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 22-<1768 1899 -131>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(86)<-----%76   %12

printNotes: i= 23-<2089 2099 -10>,  	 G2 --  1/16th.( 45) <      > 	V 47 - M 45	= +2  %+4  	q= +2  %+4  	 0.267(86)
printNotes: i= 24-<2232 2227   5>,  	Ak2 --  1/16th.( 45) <      > 	V 38 - M 30	= +8  %+21  	q= -7  %-18  	 0.215(86)
printNotes: i= 25-<2467 2420  47>,  	Bk2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(86)<-----%15   %0 <<

printNotes: i= 26-<2213 2227 -14>,  	Ak2 --  1/32nd.( 23) <      > 	V 24 - M 30	= -6  %-25  	q= +1  %+4  	 0.134(86)<-----%25   %4

printNotes: i= 27-<2080 2099 -19>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 30	=-12  %-67  	q= +3  %+17  	 0.099(86)<-----%67   %17

printNotes: i= 28-<2111 2227 -116>,  	Ak2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(86)<-----%30   %0

printNotes: i= 29-<2408 2420 -12>,  	Bk2 -- 1/32nd..( 26) <      > 	V 26 - M 15	=+11  %+42  	q=  +  %+0  	 0.145(86)<-----%42   %0

printNotes: i= 30-<1083 2582 -1499>,  	 C3 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(86)<-----%114   %0 <<

printNotes: i= 31-<2424 2420   4>,  	Bk2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 32-<2109 2227 -118>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(86)<-----%76   %12

printNotes: i= 33-<2443 2420  23>,  	Bk2 --  1/32nd.( 23) <      > 	V 23 - M 30	= -7  %-30  	q=  +  %+0  	 0.128(86)<-----%30   %0

printNotes: i= 34-<2611 2582  29>,  	 C3 --   1/16th( 30) <      > 	V 29 - M 15	=+14  %+48  	q= -1  %-3  	 0.163(86)<-----%48   %3

printNotes: i= 35-<2676 2817 -141>,  	 D3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 36-<2472 2420  52>,  	Bk2 --   1/32nd( 15) <      > 	V 16 - M 45	=-29  %-181  	q= +1  %+6  	 0.087(86)<-----%181   %6 <<

printNotes: i= 37-<2590 2582   8>,  	 C3 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)
printNotes: i= 38-<2440 2420  20>,  	Bk2 --    1/8th( 60) <      > 	V 59 - M 60	= -1  %-2  	q= -1  %-2  	 0.337(86)
printNotes: i= 39-<2808 2817  -9>,  	 D3 --    1/4th(120) <      > 	V129 - M105	=+24  %+19  	q= +9  %+7  	 0.743(86)<-----%19   %7

printNotes: i= 40-<2580 2582  -2>,  	 C3 --    1/4th(120) <      > 	V132 - M120	=+12  %+9  	q=+12  %+9  	 0.760(86)
printNotes: i= 41-<2466 2420  46>,  	Bk2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(86)<-----%114   %7 <<

printNotes: i= 42-<2567 2582 -15>,  	 C3 --    1/8th( 60) <      > 	V 64 - M 60	= +4  %+6  	q= +4  %+6  	 0.366(86)


silence
printNotes: i= 43-<  82   40  42>,  	Slc --   1/4th.(180) <-1*sela> 	V159 - M120	=+39  %+25  	q=-21  %-13  	 0.917(86)<-----%25   %13

printNotes: i= 44-<1944 2099 -155>,  	 G2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(86)
printNotes: i= 45-<2569 2582 -13>,  	 C3 -- 1/16th..( 53) <      > 	V 49 - M 60	=-11  %-22  	q= -4  %-8  	 0.279(86)<-----%22   %8

printNotes: i= 46-<2419 2420  -1>,  	Bk2 --  1/8th..(105) <      > 	V101 - M120	=-19  %-19  	q= -4  %-4  	 0.580(86)<-----%19   %4

printNotes: i= 47-<2565 2582 -17>,  	 C3 --   1/16th( 30) <      > 	V 35 - M 45	=-10  %-29  	q= +5  %+14  	 0.197(86)<-----%29   %14

printNotes: i= 48-<2427 2420   7>,  	Bk2 --  1/32nd.( 23) <      > 	V 21 - M 45	=-24  %-114  	q= -2  %-10  	 0.116(86)<-----%114   %10

printNotes: i= 49-<2630 2817 -187>,  	 D3 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(86)<-----%173   %0 <<

printNotes: i= 50-<2585 2582   3>,  	 C3 --    1/8th( 60) <      > 	V 58 - M 30	=+28  %+48  	q= -2  %-3  	 0.331(86)<-----%48   %3

printNotes: i= 51-<2799 2817 -18>,  	 D3 -- 1/32nd..( 26) <      > 	V 27 - M 45	=-18  %-67  	q= +1  %+4  	 0.151(86)<-----%67   %4

printNotes: i= 52-<2623 2582  41>,  	 C3 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(86)<-----%25   %15

printNotes: i= 53-<2702 2817 -115>,  	 D3 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(86)<-----%88   %0 <<

printNotes: i= 54-<2577 2582  -5>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 55-<2410 2420 -10>,  	Bk2 --  1/32nd.( 23) <      > 	V 23 - M 15	= +8  %+35  	q=  +  %+0  	 0.128(86)<-----%35   %0

