	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1428 2398 -970>,  	Bk2 --  1/8th..(104) <      > 	V106 - M 45	=+61  %+58  	q= +2  %+2  	 0.610(87)<-----%58   %2

printNotes: i=  2-<2442 2398  44>,  	Bk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
printNotes: i=  3-<2374 2192 182>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(87)<-----%15   %0 <<

printNotes: i=  4-<2561 2560   1>,  	 C3 --   1/4th.(178) <      > 	V191 - M237	=-46  %-24  	q=+13  %+7  	 1.103(87)<-----%24   %7

printNotes: i=  5-<2421 2398  23>,  	Bk2 --   1/16th( 30) <      > 	V 32 - M 40	= -8  %-25  	q= +2  %+6  	 0.180(87)<-----%25   %6

printNotes: i=  6-<2557 2560  -3>,  	 C3 --   1/16th( 30) <      > 	V 34 - M 40	= -6  %-18  	q= +4  %+12  	 0.192(87)<-----%18   %12

printNotes: i=  7-<2226 2398 -172>,  	Bk2 --   1/4th.(178) <-1*sela> 	V156 - M 99	=+57  %+37  	q=-22  %-14  	 0.900(87)<-----%37   %14

printNotes: i=  8-<2555 2560  -5>,  	 C3 --    1/4th(119) <      > 	V114 - M 89	=+25  %+22  	q= -5  %-4  	 0.656(87)<-----%22   %4

printNotes: i=  9-<2591 2937 -346>,  	Ek3 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(87)<-----%20   %4

printNotes: i= 10-<2402 2398   4>,  	Bk2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(87)<-----%100   %0 <<

printNotes: i= 11-<2258 2560 -302>,  	 C3 --     half(237) <1*sela> 	V256 - M237	=+19  %+7  	q=+19  %+7  	 1.480(87)
printNotes: i= 12-<2421 2398  23>,  	Bk2 --   1/16th( 30) <      > 	V 33 - M 40	= -7  %-21  	q= +3  %+9  	 0.186(87)<-----%21   %9

printNotes: i= 13-<2565 2560   5>,  	 C3 --  1/16th.( 45) <      > 	V 41 - M 40	= +1  %+2  	q= -4  %-10  	 0.232(87)
printNotes: i= 14-<2386 2398 -12>,  	Bk2 --  1/8th..(104) <      > 	V107 - M 40	=+67  %+63  	q= +3  %+3  	 0.615(87)<-----%63   %3



silence
printNotes: i= 15-<   0   40 -40>,  	Slc --   1/8th.( 89) <      > 	V 88 - M119	=-31  %-35  	q= -1  %-1  	 0.505(87)<-----%35   %1

printNotes: i= 16-<1860 2078 -218>,  	 G2 -- 1/16th..( 52) <      > 	V 49 - M 30	=+19  %+39  	q= -3  %-6  	 0.279(87)<-----%39   %6

printNotes: i= 17-<2541 2560 -19>,  	 C3 --    1/4th(119) <      > 	V113 - M119	= -6  %-5  	q= -6  %-5  	 0.650(87)
printNotes: i= 18-<2409 2398  11>,  	Bk2 --   1/8th.( 89) <      > 	V 93 - M 89	= +4  %+4  	q= +4  %+4  	 0.534(87)
printNotes: i= 19-<2548 2560 -12>,  	 C3 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(87)<-----%15   %0

printNotes: i= 20-<2563 2560   3>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)<-- same note
