	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1449 1388  61>,  	 C2 --  1/16th.( 49) <      > 	V 41 - M 22	=+19  %+46  	q= -8  %-20  	 0.232(80)<-----%46   %20

printNotes: i=  2-<2052 2104 -52>,  	 G2 --  1/16th.( 49) <      > 	V 47 - M 22	=+25  %+53  	q= -2  %-4  	 0.267(80)<-----%53   %4

printNotes: i=  3-<1864 1878 -14>,  	 F2 --    1/8th( 65) <      > 	V 74 - M 65	= +9  %+12  	q= +9  %+12  	 0.424(80)
printNotes: i=  4-<2083 2104 -21>,  	 G2 --   1/8th.( 97) <      > 	V102 - M 65	=+37  %+36  	q= +5  %+5  	 0.586(80)<-----%36   %5

printNotes: i=  5-<1874 1878  -4>,  	 F2 --     half(259) <      > 	V248 - M162	=+86  %+35  	q=-11  %-4  	 1.434(80)<-----%35   %4

printNotes: i=  6-<1775 1744  31>,  	Ek2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(80)
printNotes: i=  7-<2103 2104  -1>,  	 G2 --     half(259) <3*sela> 	V318 - M292	=+26  %+8  	q=+59  %+19  	 1.840(80)
printNotes: i=  8-<1892 1878  14>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i=  9-<1752 1744   8>,  	Ek2 --   1/4th.(194) <      > 	V204 - M194	=+10  %+5  	q=+10  %+5  	 1.178(80)
printNotes: i= 10-<1689 1610  79>,  	 D2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 11-<1703 1878 -175>,  	 F2 --    1/4th(130) <      > 	V133 - M 65	=+68  %+51  	q= +3  %+2  	 0.766(80)<-----%51   %2



silence
printNotes: i= 12-<   0   40 -40>,  	Slc --  1/4th..(227) <      > 	V239 - M292	=-53  %-22  	q=+12  %+5  	 1.382(80)<-----%22   %5

printNotes: i= 13-<1615 1744 -129>,  	Ek2 --  1/16th.( 49) <      > 	V 52 - M 49	= +3  %+6  	q= +3  %+6  	 0.296(80)
printNotes: i= 14-<1855 1878 -23>,  	 F2 -- 1/32nd..( 28) <      > 	V 29 - M 16	=+13  %+45  	q= +1  %+3  	 0.163(80)<-----%45   %3

printNotes: i= 15-<1954 2104 -150>,  	 G2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(80)<-----%129   %0 <<

printNotes: i= 16-<1854 1878 -24>,  	 F2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 17-<1773 1744  29>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(80)<-----%113   %7 <<

printNotes: i= 18-<1885 1878   7>,  	 F2 --  1/16th.( 49) <      > 	V 45 - M 32	=+13  %+29  	q= -4  %-9  	 0.255(80)<-----%29   %9

printNotes: i= 19-<1716 1744 -28>,  	Ek2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 20-<1940 1878  62>,  	 F2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(80)
printNotes: i= 21-<1746 1744   2>,  	Ek2 -- 1/16th..( 57) <      > 	V 56 - M 65	= -9  %-16  	q= -1  %-2  	 0.319(80)<-----%16   %2

printNotes: i= 22-<1655 1610  45>,  	 D2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 23-<1877 1878  -1>,  	 F2 --  1/4th..(227) <      > 	V230 - M194	=+36  %+16  	q= +3  %+1  	 1.329(80)<-----%16   %1

printNotes: i= 24-<1665 1744 -79>,  	Ek2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i= 25-<1608 1610  -2>,  	 D2 --    1/4th(130) <1*sela> 	V158 - M130	=+28  %+18  	q=+28  %+18  	 0.911(80)
