	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1663 1392 271>,  	 C2 --   1/16th( 28) <      > 	V 33 - M 28	= +5  %+15  	q= +5  %+15  	 0.186(92)
printNotes: i=  2-<2367 2385 -18>,  	Bb2 --    half.(335) <-3*sela> 	V282 - M335	=-53  %-19  	q=-53  %-19  	 1.631(92)
printNotes: i=  3-<2246 2227  19>,  	Ak2 --  1/8th..( 98) <      > 	V 93 - M 98	= -5  %-5  	q= -5  %-5  	 0.534(92)
printNotes: i=  4-<2093 2099  -6>,  	 G2 --   1/4th.(168) <      > 	V170 - M168	= +2  %+1  	q= +2  %+1  	 0.981(92)
printNotes: i=  5-<2394 2385   9>,  	Bb2 --     half(224) <      > 	V224 - M224	=  +  %+0  	q=  +  %+0  	 1.295(92)
printNotes: i=  6-<2239 2227  12>,  	Ak2 --   1/8th.( 84) <      > 	V 83 - M 84	= -1  %-1  	q= -1  %-1  	 0.476(92)
printNotes: i=  7-<2109 2099  10>,  	 G2 --    1/4th(112) <      > 	V108 - M112	= -4  %-4  	q= -4  %-4  	 0.621(92)
printNotes: i=  8-<2390 2385   5>,  	Bb2 --  1/8th..( 98) <      > 	V 93 - M 98	= -5  %-5  	q= -5  %-5  	 0.534(92)
printNotes: i=  9-<2555 2577 -22>,  	 C3 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 10-<2374 2385 -11>,  	Bb2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)
printNotes: i= 11-<2232 2227   5>,  	Ak2 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(92)
printNotes: i= 12-<2084 2099 -15>,  	 G2 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(92)
printNotes: i= 13-<2244 2227  17>,  	Ak2 --   1/16th( 28) <      > 	V 32 - M 28	= +4  %+12  	q= +4  %+12  	 0.180(92)
printNotes: i= 14-<2419 2385  34>,  	Bb2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 15-<2117 2099  18>,  	 G2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 16-<2322 2385 -63>,  	Bb2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 17-<2092 2099  -7>,  	 G2 --  1/8th..( 98) <      > 	V 95 - M 98	= -3  %-3  	q= -3  %-3  	 0.546(92)
printNotes: i= 18-<2305 2385 -80>,  	Bb2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 19-<2226 2227  -1>,  	Ak2 --  1/16th.( 42) <      > 	V 43 - M 42	= +1  %+2  	q= +1  %+2  	 0.244(92)
printNotes: i= 20-<2368 2385 -17>,  	Bb2 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)
printNotes: i= 21-<2262 2227  35>,  	Ak2 --  1/16th.( 42) <      > 	V 44 - M 42	= +2  %+5  	q= +2  %+5  	 0.250(92)
printNotes: i= 22-<2402 2385  17>,  	Bb2 --  1/16th.( 42) <      > 	V 42 - M 42	=  +  %+0  	q=  +  %+0  	 0.238(92)
printNotes: i= 23-<2242 2227  15>,  	Ak2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)
printNotes: i= 24-<2337 2385 -48>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(92)
printNotes: i= 25-<1704 2099 -395>,  	 G2 --   1/8th.( 84) <      > 	V 72 - M 84	=-12  %-17  	q=-12  %-17  	 0.412(92)


silence
printNotes: i= 26-<   0   40 -40>,  	Slc --     half(224) <      > 	V222 - M224	= -2  %-1  	q= -2  %-1  	 1.283(92)
printNotes: i= 27-<1318 1192 126>,  	Bb1 -- 1/32nd..( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(92)
printNotes: i= 28-<2070 2099 -29>,  	 G2 --  1/8th..( 98) <      > 	V102 - M 98	= +4  %+4  	q= +4  %+4  	 0.586(92)
printNotes: i= 29-<2222 2227  -5>,  	Ak2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
