	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1615 1397 218>,  	 C2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(73)
printNotes: i=  2-<2082 2097 -15>,  	 G2 --   half..(496) <1*sela> 	V527 - M567	=-40  %-8  	q=+31  %+6  	 3.053(73)
printNotes: i=  3-<2208 2219 -11>,  	Ak2 --   1/16th( 35) <      > 	V 36 - M 35	= +1  %+3  	q= +1  %+3  	 0.203(73)
printNotes: i=  4-<2093 2097  -4>,  	 G2 --     half(283) <      > 	V286 - M283	= +3  %+1  	q= +3  %+1  	 1.654(73)
printNotes: i=  5-<2210 2219  -9>,  	Ak2 --   1/16th( 35) <      > 	V 37 - M 35	= +2  %+5  	q= +2  %+5  	 0.209(73)
printNotes: i=  6-<2107 2097  10>,  	 G2 --   1/8th.(106) <      > 	V107 - M106	= +1  %+1  	q= +1  %+1  	 0.615(73)
printNotes: i=  7-<2226 2219   7>,  	Ak2 --   1/16th( 35) <      > 	V 40 - M 35	= +5  %+12  	q= +5  %+12  	 0.226(73)
printNotes: i=  8-<2114 2097  17>,  	 G2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(73)
printNotes: i=  9-<2175 2219 -44>,  	Ak2 --   1/32nd( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(73)
printNotes: i= 10-<1868 1871  -3>,  	 F2 --    1/8th( 71) <      > 	V 81 - M 71	=+10  %+12  	q=+10  %+12  	 0.464(73)
printNotes: i= 11-<2084 2097 -13>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 12-<1752 1747   5>,  	Ek2 --  1/8th..(124) <      > 	V121 - M124	= -3  %-2  	q= -3  %-2  	 0.697(73)
printNotes: i= 13-<1623 1597  26>,  	 D2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(73)
