	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1517 1552 -35>,  	 D2 --   1/16th( 36) <      > 	V 42 - M 35	= +7  %+17  	q= +6  %+14  	 0.238(71)
printNotes: i=  2-<2314 2460 -146>,  	 B2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i=  3-< 782 2410 -1628>,  	Bk2 --   1/16th( 36) <      > 	V 40 - M 36	= +4  %+10  	q= +4  %+10  	 0.226(71)
printNotes: i=  4-<2450 2460 -10>,  	 B2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)
printNotes: i=  5-<2382 2358  24>,  	Bb2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i=  6-<2562 2560   2>,  	 C3 --   1/4th.(217) <-1*sela> 	V190 - M217	=-27  %-14  	q=-27  %-14  	 1.097(71)
printNotes: i=  7-<2421 2410  11>,  	Bk2 -- 1/32nd..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(71)
printNotes: i=  8-<2557 2560  -3>,  	 C3 --   1/16th( 36) <      > 	V 34 - M 36	= -2  %-6  	q= -2  %-6  	 0.192(71)
printNotes: i=  9-<2314 2410 -96>,  	Bk2 --  1/8th..(127) <      > 	V127 - M127	=  +  %+0  	q=  +  %+0  	 0.731(71)
printNotes: i= 10-<1688 2078 -390>,  	 G2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 11-<2555 2560  -5>,  	 C3 --    1/4th(145) <      > 	V146 - M145	= +1  %+1  	q= +1  %+1  	 0.842(71)
printNotes: i= 12-<2396 2410 -14>,  	Bk2 --  1/64th.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(71)
printNotes: i= 13-<2258 2560 -302>,  	 C3 --  1/4th..(253) <      > 	V256 - M253	= +3  %+1  	q= +3  %+1  	 1.480(71)
printNotes: i= 14-<2421 2410  11>,  	Bk2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)
printNotes: i= 15-<2565 2560   5>,  	 C3 --   1/16th( 36) <      > 	V 41 - M 36	= +5  %+12  	q= +5  %+12  	 0.232(71)
printNotes: i= 16-<2355 2358  -3>,  	Bb2 --  1/64th.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(71)
printNotes: i= 17-<2399 2410 -11>,  	Bk2 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(71)
printNotes: i= 18-<2355 2358  -3>,  	Bb2 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 19-<2391 2410 -19>,  	Bk2 --   1/16th( 36) <      > 	V 44 - M 36	= +8  %+18  	q= +8  %+18  	 0.250(71)


silence
printNotes: i= 20-<   0   40 -40>,  	Slc --    1/8th( 72) <      > 	V 88 - M 72	=+16  %+18  	q=+16  %+18  	 0.505(71)
