	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1449 1388  61>,  	 C2 --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(81)
printNotes: i=  2-<2052 2104 -52>,  	 G2 --  1/16th.( 48) <      > 	V 47 - M 48	= -1  %-2  	q= -1  %-2  	 0.267(81)
printNotes: i=  3-<1864 1878 -14>,  	 F2 --    1/8th( 64) <      > 	V 74 - M 64	=+10  %+14  	q=+10  %+14  	 0.424(81)
printNotes: i=  4-<2083 2104 -21>,  	 G2 --   1/8th.( 96) <      > 	V102 - M 96	= +6  %+6  	q= +6  %+6  	 0.586(81)
printNotes: i=  5-<1874 1878  -4>,  	 F2 --     half(256) <      > 	V248 - M256	= -8  %-3  	q= -8  %-3  	 1.434(81)
printNotes: i=  6-<1775 1744  31>,  	Ek2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i=  7-<2103 2104  -1>,  	 G2 --     half(256) <3*sela> 	V318 - M256	=+62  %+19  	q=+62  %+19  	 1.840(81)
printNotes: i=  8-<1892 1878  14>,  	 F2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i=  9-<1751 1744   7>,  	Ek2 --   1/4th.(192) <      > 	V205 - M192	=+13  %+6  	q=+13  %+6  	 1.184(81)
printNotes: i= 10-<1688 1610  78>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 11-<1703 1878 -175>,  	 F2 --    1/4th(128) <      > 	V133 - M128	= +5  %+4  	q= +5  %+4  	 0.766(81)


silence
printNotes: i= 12-<   0   40 -40>,  	Slc --  1/4th..(224) <      > 	V239 - M231	= +8  %+3  	q=+15  %+6  	 1.382(81)
printNotes: i= 13-<1348 1188 160>,  	Bb1 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 14-<1695 1744 -49>,  	Ek2 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(81)
printNotes: i= 15-<1864 1878 -14>,  	 F2 --    1/8th( 64) <      > 	V 74 - M 64	=+10  %+14  	q=+10  %+14  	 0.424(81)
printNotes: i= 16-<1770 1744  26>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 17-<1883 1878   5>,  	 F2 --  1/16th.( 48) <      > 	V 46 - M 48	= -2  %-4  	q= -2  %-4  	 0.261(81)
printNotes: i= 18-<1728 1744 -16>,  	Ek2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 19-<1980 2104 -124>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 20-<1751 1744   7>,  	Ek2 -- 1/16th..( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(81)
printNotes: i= 21-<1655 1610  45>,  	 D2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 22-<1877 1878  -1>,  	 F2 --  1/4th..(224) <      > 	V230 - M224	= +6  %+3  	q= +6  %+3  	 1.329(81)
printNotes: i= 23-<1665 1744 -79>,  	Ek2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 24-<1608 1610  -2>,  	 D2 --    1/4th(128) <1*sela> 	V158 - M128	=+30  %+19  	q=+30  %+19  	 0.911(81)
printNotes: i= 25-<1854 1878 -24>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)
printNotes: i= 26-<1726 1744 -18>,  	Ek2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(81)
printNotes: i= 27-<1888 1878  10>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 28-<1723 1744 -21>,  	Ek2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 29-<1637 1610  27>,  	 D2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 30-<1727 1744 -17>,  	Ek2 --  1/4th..(224) <      > 	V209 - M224	=-15  %-7  	q=-15  %-7  	 1.207(81)
printNotes: i= 31-<1632 1610  22>,  	 D2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 32-<1674 1744 -70>,  	Ek2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 33-<1427 1388  39>,  	 C2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)
