	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2488 2642 -154>,  	Ak2 --    1/8th( 60) <      > 	V 66 - M 89	=-23  %-35  	q= +6  %+9  	 0.377(86)<-----%35   %9

printNotes: i=  2-<2494 2494    >,  	 G2 --  1/16th.( 45) <      > 	V 45 - M 30	=+15  %+33  	q=  +  %+0  	 0.255(86)<-----%33   %0

printNotes: i=  3-<2471 2294 177>,  	 F2 --  1/32nd.( 23) <      > 	V 19 - M 30	=-11  %-58  	q= -4  %-21  	 0.104(86)<-----%58   %21

printNotes: i=  4-<2640 2692 -52>,  	 A2 --  1/4th..(211) <      > 	V205 - M211	= -6  %-3  	q= -6  %-3  	 1.184(86)
printNotes: i=  5-<2646 2692 -46>,  	 A2 --   1/16th( 30) <      > 	V 37 - M 60	=-23  %-62  	q= +7  %+19  	 0.209(86)<-- same note<-----%62   %19

printNotes: i=  6-<2515 2494  21>,  	 G2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(86)
printNotes: i=  7-<2627 2642 -15>,  	Ak2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(86)
printNotes: i=  8-<2497 2494   3>,  	 G2 --    1/4th(120) <      > 	V118 - M120	= -2  %-2  	q= -2  %-2  	 0.679(86)
printNotes: i=  9-<2654 2642  12>,  	Ak2 --    1/4th(120) <1*sela> 	V141 - M 90	=+51  %+36  	q=+21  %+15  	 0.813(86)<-----%36   %15



silence
printNotes: i= 10-<   0   40 -40>,  	Slc --   1/4th.(181) <      > 	V194 - M241	=-47  %-24  	q=+13  %+7  	 1.120(86)<-----%24   %7

printNotes: i= 11-<1905 2175 -270>,  	 E2 --    1/8th( 60) <      > 	V 57 - M 30	=+27  %+47  	q= -3  %-5  	 0.325(86)<-----%47   %5

printNotes: i= 12-<2625 2642 -17>,  	Ak2 --    1/4th(120) <      > 	V121 - M150	=-29  %-24  	q= +1  %+1  	 0.697(86)<-----%24   %1

printNotes: i= 13-<1135 2494 -1359>,  	 G2 --    1/8th( 60) <      > 	V 70 - M 30	=+40  %+57  	q=+10  %+14  	 0.401(86)<-----%57   %14

printNotes: i= 14-<2645 2642   3>,  	Ak2 --    1/8th( 60) <      > 	V 58 - M 45	=+13  %+22  	q= -2  %-3  	 0.331(86)<-----%22   %3

printNotes: i= 15-<2487 2494  -7>,  	 G2 --  1/8th..(105) <      > 	V108 - M120	=-12  %-11  	q= +3  %+3  	 0.621(86)<-----%11   %3

printNotes: i= 16-<2285 2294  -9>,  	 F2 --  1/16th.( 45) <      > 	V 45 - M 30	=+15  %+33  	q=  +  %+0  	 0.255(86)<-----%33   %0

printNotes: i= 17-<2631 2642 -11>,  	Ak2 --  1/8th..(105) <      > 	V110 - M120	=-10  %-9  	q= +5  %+5  	 0.633(86)<-----%9   %5

printNotes: i= 18-<1503 2494 -991>,  	 G2 --  1/8th..(105) <      > 	V112 - M 45	=+67  %+60  	q= +7  %+6  	 0.644(86)<-----%60   %6

printNotes: i= 19-<2611 2642 -31>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i= 20-<2691 2642  49>,  	Ak2 --  128th..(  7) <      > 	V  7 - M 30	=-23  %-329  	q=  +  %+0  	 0.035(86)<-- same note<-----%329   %0 <<

printNotes: i= 21-<2858 2874 -16>,  	 B2 --    1/4th(120) <      > 	V124 - M120	= +4  %+3  	q= +4  %+3  	 0.714(86)
printNotes: i= 22-<2643 2642   1>,  	Ak2 --    1/8th( 60) <      > 	V 62 - M 60	= +2  %+3  	q= +2  %+3  	 0.354(86)
printNotes: i= 23-<2876 2874   2>,  	 B2 --  1/16th.( 45) <      > 	V 41 - M 45	= -4  %-10  	q= -4  %-10  	 0.232(86)
printNotes: i= 24-<2657 2642  15>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(86)
printNotes: i= 25-<2901 2874  27>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 26-<2665 2642  23>,  	Ak2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(86)<-----%25   %15

printNotes: i= 27-<2854 2874 -20>,  	 B2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(86)<-----%114   %0 <<

printNotes: i= 28-<2582 2642 -60>,  	Ak2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 29-<2503 2494   9>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)
printNotes: i= 30-<2700 2642  58>,  	Ak2 --  1/64th.( 11) <      > 	V  9 - M 15	= -6  %-67  	q= -2  %-22  	 0.046(86)<-----%67   %22 <<

printNotes: i= 31-<2496 2494   2>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 32-<2389 2642 -253>,  	Ak2 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(86)<-----%88   %0 <<

printNotes: i= 33-<2512 2494  18>,  	 G2 --   128th.(  6) <      > 	V  6 - M 30	=-24  %-400  	q=  +  %+0  	 0.029(86)<-----%400   %0 <<

printNotes: i= 34-<2472 2294 178>,  	 F2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(86)<-----%150   %0 <<

printNotes: i= 35-<2264 2494 -230>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 36-<2284 2294 -10>,  	 F2 --  1/16th.( 45) <      > 	V 40 - M 30	=+10  %+25  	q= -5  %-12  	 0.226(86)<-----%25   %12

printNotes: i= 37-<2484 2494 -10>,  	 G2 --    half.(361) <-3*sela> 	V306 - M331	=-25  %-8  	q=-55  %-18  	 1.771(86)
printNotes: i= 38-<2532 2642 -110>,  	Ak2 --    1/4th(120) <1*sela> 	V138 - M 60	=+78  %+57  	q=+18  %+13  	 0.795(86)<-----%57   %13



silence
printNotes: i= 39-<   0   40 -40>,  	Slc --    half.(361) <1*sela> 	V379 - M421	=-42  %-11  	q=+18  %+5  	 2.194(86)<-----%11   %5

printNotes: i= 40-<2351 2494 -143>,  	 G2 --    1/8th( 60) <      > 	V 62 - M 60	= +2  %+3  	q= +2  %+3  	 0.354(86)
printNotes: i= 41-<2257 2294 -37>,  	 F2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i= 42-<2507 2494  13>,  	 G2 --   1/8th.( 90) <      > 	V 77 - M120	=-43  %-56  	q=-13  %-17  	 0.441(86)<-----%56   %17

printNotes: i= 43-<1193 2294 -1101>,  	 F2 --   1/8th.( 90) <      > 	V 77 - M 30	=+47  %+61  	q=-13  %-17  	 0.441(86)<-----%61   %17

printNotes: i= 44-<2167 2175  -8>,  	 E2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<

printNotes: i= 45-<2270 2294 -24>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 46-<2183 2175   8>,  	 E2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<

printNotes: i= 47-<2278 2294 -16>,  	 F2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 48-<2280 2175 105>,  	 E2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i= 49-<2515 2494  21>,  	 G2 --   1/4th.(181) <-1*sela> 	V152 - M 90	=+62  %+41  	q=-29  %-19  	 0.877(86)<-----%41   %19

printNotes: i= 50-<1523 2874 -1351>,  	 B2 --  1/16th.( 45) <      > 	V 42 - M 30	=+12  %+29  	q= -3  %-7  	 0.238(86)<-----%29   %7



silence
printNotes: i= 51-<   0   40 -40>,  	Slc --  1/8th..(105) <      > 	V105 - M241	=-136  %-130  	q=  +  %+0  	 0.604(86)<-----%130   %0

printNotes: i= 52-<2174 2294 -120>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 53-<2493 2494  -1>,  	 G2 --    1/4th(120) <      > 	V134 - M 90	=+44  %+33  	q=+14  %+10  	 0.772(86)<-----%33   %10

printNotes: i= 54-<2250 2294 -44>,  	 F2 --   1/8th.( 90) <      > 	V 77 - M 60	=+17  %+22  	q=-13  %-17  	 0.441(86)<-----%22   %17

printNotes: i= 55-< 519 2175 -1656>,  	 E2 -- 1/16th..( 53) <      > 	V 50 - M 30	=+20  %+40  	q= -3  %-6  	 0.284(86)<-----%40   %6

printNotes: i= 56-<2491 2494  -3>,  	 G2 --    1/4th(120) <      > 	V125 - M120	= +5  %+4  	q= +5  %+4  	 0.720(86)
printNotes: i= 57-<2285 2294  -9>,  	 F2 --   1/16th( 30) <      > 	V 36 - M 60	=-24  %-67  	q= +6  %+17  	 0.203(86)<-----%67   %17

printNotes: i= 58-< 829 2494 -1665>,  	 G2 --   1/8th.( 90) <      > 	V 81 - M 45	=+36  %+44  	q= -9  %-11  	 0.464(86)<-----%44   %11

printNotes: i= 59-<2496 2494   2>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 60-<2641 2642  -1>,  	Ak2 --     half(241) <      > 	V237 - M261	=-24  %-10  	q= -4  %-2  	 1.370(86)<-----%10   %2

printNotes: i= 61-<2471 2494 -23>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 20	= -2  %-11  	q= +3  %+17  	 0.099(86)
printNotes: i= 62-<2515 2642 -127>,  	Ak2 --   1/16th( 30) <      > 	V 35 - M 20	=+15  %+43  	q= +5  %+14  	 0.197(86)<-----%43   %14

printNotes: i= 63-<2520 2494  26>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)
printNotes: i= 64-<2664 2642  22>,  	Ak2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(86)<-----%36   %0 <<

printNotes: i= 65-<2512 2494  18>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 66-<2398 2642 -244>,  	Ak2 --  1/64th.( 11) <      > 	V  9 - M 15	= -6  %-67  	q= -2  %-22  	 0.046(86)<-----%67   %22 <<

printNotes: i= 67-<2331 2494 -163>,  	 G2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 68-<2288 2294  -6>,  	 F2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(86)
printNotes: i= 69-<2490 2494  -4>,  	 G2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(86)<-----%150   %0 <<

printNotes: i= 70-<2289 2294  -5>,  	 F2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(86)<-----%25   %15

printNotes: i= 71-<2423 2494 -71>,  	 G2 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(86)<-----%200   %20 <<

printNotes: i= 72-<2300 2294   6>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 30	= -3  %-11  	q= +1  %+4  	 0.151(86)<-----%11   %4

printNotes: i= 73-<2175 2175    >,  	 E2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(86)
printNotes: i= 74-<2323 2294  29>,  	 F2 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(86)<-----%200   %20 <<

printNotes: i= 75-<2173 2175  -2>,  	 E2 --   1/32nd( 15) <      > 	V 17 - M 30	=-13  %-76  	q= +2  %+12  	 0.093(86)<-----%76   %12

printNotes: i= 76-<2297 2294   3>,  	 F2 --    1/4th(120) <1*sela> 	V149 - M181	=-32  %-21  	q=+29  %+19  	 0.859(86)
printNotes: i= 77-<2194 2175  19>,  	 E2 --  1/16th.( 45) <      > 	V 38 - M 30	= +8  %+21  	q= -7  %-18  	 0.215(86)


silence
printNotes: i= 78-<   0   40 -40>,  	Slc --   whole.(722) <2*sela> 	V752 - M812	=-60  %-8  	q=+30  %+4  	 4.360(86)
printNotes: i= 79-<1552 2494 -942>,  	 G2 --    1/4th(120) <      > 	V118 - M 90	=+28  %+24  	q= -2  %-2  	 0.679(86)<-----%24   %2

printNotes: i= 80-<2662 2642  20>,  	Ak2 --   128th.(  6) <      > 	V  6 - M 30	=-24  %-400  	q=  +  %+0  	 0.029(86)<-----%400   %0 <<

printNotes: i= 81-<2881 2874   7>,  	 B2 --   1/4th.(181) <      > 	V172 - M241	=-69  %-40  	q= -9  %-5  	 0.993(86)<-----%40   %5

printNotes: i= 82-<2502 2642 -140>,  	Ak2 --    1/4th(120) <      > 	V124 - M 60	=+64  %+52  	q= +4  %+3  	 0.714(86)<-----%52   %3

printNotes: i= 83-<2651 2642   9>,  	Ak2 --     half(241) <      > 	V241 - M241	=  +  %+0  	q=  +  %+0  	 1.393(86)<-- same note
printNotes: i= 84-<1404 2494 -1090>,  	 G2 --    1/8th( 60) <      > 	V 68 - M 30	=+38  %+56  	q= +8  %+12  	 0.389(86)<-----%56   %12



silence
printNotes: i= 85-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 35 - M120	=-85  %-243  	q= +5  %+14  	 0.197(86)<-----%243   %14

printNotes: i= 86-<2573 2494  79>,  	 G2 --    128th(  4) <      > 	V  2 - M 60	=-58  %-2900  	q= -2  %-100  	 0.006(86)<-----%2900   %100 <<

printNotes: i= 87-<2658 2642  16>,  	Ak2 --  1/16th.( 45) <      > 	V 38 - M 30	= +8  %+21  	q= -7  %-18  	 0.215(86)
printNotes: i= 88-<2877 2874   3>,  	 B2 --    1/4th(120) <1*sela> 	V147 - M241	=-94  %-64  	q=+27  %+18  	 0.848(86)<-----%64   %18

