	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2024 1933  91>,  	Dk2 -- 1/64th..( 13) <      > 	V 13 - M 30	=-17  %-131  	q=  +  %+0  	 0.070(84)<-----%131   %0 <<

printNotes: i=  2-<2602 2642 -40>,  	Ak2 -- 1/16th..( 54) <      > 	V 53 - M 46	= +7  %+13  	q= -1  %-2  	 0.302(84)<-----%13   %2

printNotes: i=  3-<2492 2494  -2>,  	 G2 --  1/16th.( 46) <      > 	V 48 - M 46	= +2  %+4  	q= +2  %+4  	 0.273(84)
printNotes: i=  4-<2468 2394  74>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i=  5-<2640 2694 -54>,  	 A2 --     half(246) <      > 	V242 - M246	= -4  %-2  	q= -4  %-2  	 1.399(84)
printNotes: i=  6-<2515 2494  21>,  	 G2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(84)
printNotes: i=  7-<2627 2642 -15>,  	Ak2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(84)
printNotes: i=  8-<2497 2494   3>,  	 G2 --    1/4th(123) <      > 	V118 - M123	= -5  %-4  	q= -5  %-4  	 0.679(84)
printNotes: i=  9-<2633 2642  -9>,  	Ak2 --   1/8th.( 92) <      > 	V 94 - M 92	= +2  %+2  	q= +2  %+2  	 0.540(84)
printNotes: i= 10-<2781 2974 -193>,  	 C3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 11-<2650 2642   8>,  	Ak2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)


silence
printNotes: i= 12-<   0   40 -40>,  	Slc --   1/4th.(185) <      > 	V194 - M246	=-52  %-27  	q= +9  %+5  	 1.120(84)<-----%27   %5

printNotes: i= 13-<1905 2175 -270>,  	 E2 -- 1/16th..( 54) <      > 	V 57 - M 31	=+26  %+46  	q= +3  %+5  	 0.325(84)<-----%46   %5

printNotes: i= 14-<2625 2642 -17>,  	Ak2 --    1/4th(123) <      > 	V121 - M123	= -2  %-2  	q= -2  %-2  	 0.697(84)
printNotes: i= 15-<1135 2494 -1359>,  	 G2 --    1/8th( 62) <      > 	V 70 - M 62	= +8  %+11  	q= +8  %+11  	 0.401(84)
printNotes: i= 16-<2645 2642   3>,  	Ak2 --    1/8th( 62) <      > 	V 58 - M 46	=+12  %+21  	q= -4  %-7  	 0.331(84)<-----%21   %7

printNotes: i= 17-<2487 2494  -7>,  	 G2 --  1/8th..(108) <      > 	V108 - M123	=-15  %-14  	q=  +  %+0  	 0.621(84)<-----%14   %0

printNotes: i= 18-<2285 2294  -9>,  	 F2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 19-<2631 2642 -11>,  	Ak2 --  1/8th..(108) <      > 	V110 - M123	=-13  %-12  	q= +2  %+2  	 0.633(84)<-----%12   %2

printNotes: i= 20-<1503 2494 -991>,  	 G2 --  1/8th..(108) <      > 	V112 - M 92	=+20  %+18  	q= +4  %+4  	 0.644(84)<-----%18   %4

printNotes: i= 21-<2636 2642  -6>,  	Ak2 --  1/32nd.( 23) <      > 	V 21 - M 15	= +6  %+29  	q= -2  %-10  	 0.116(84)<-----%29   %10

printNotes: i= 22-<2858 2874 -16>,  	 B2 --    1/4th(123) <      > 	V124 - M123	= +1  %+1  	q= +1  %+1  	 0.714(84)
printNotes: i= 23-<2643 2642   1>,  	Ak2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)
printNotes: i= 24-<2876 2874   2>,  	 B2 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i= 25-<2657 2642  15>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 26-<2901 2874  27>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(84)
printNotes: i= 27-<2665 2642  23>,  	Ak2 --  1/32nd.( 23) <      > 	V 20 - M 15	= +5  %+25  	q= -3  %-15  	 0.110(84)<-----%25   %15

printNotes: i= 28-<2854 2874 -20>,  	 B2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(84)<-----%114   %0 <<

printNotes: i= 29-<2582 2642 -60>,  	Ak2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 30-<2503 2494   9>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 31-<2700 2642  58>,  	Ak2 --  1/64th.( 12) <      > 	V  9 - M 15	= -6  %-67  	q= -3  %-33  	 0.046(84)<-----%67   %33 <<

printNotes: i= 32-<2496 2494   2>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 33-<2389 2642 -253>,  	Ak2 --   1/64th(  8) <      > 	V  8 - M 15	= -7  %-88  	q=  +  %+0  	 0.041(84)<-----%88   %0 <<

printNotes: i= 34-<2498 2494   4>,  	 G2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(84)
printNotes: i= 35-<2054 2642 -588>,  	Ak2 --  1/64th.( 12) <      > 	V  9 - M  8	= +1  %+11  	q= -3  %-33  	 0.046(84)
printNotes: i= 36-<2288 2294  -6>,  	 F2 --  1/16th.( 46) <      > 	V 41 - M 46	= -5  %-12  	q= -5  %-12  	 0.232(84)
printNotes: i= 37-<2484 2494 -10>,  	 G2 --     half(246) <4*sela> 	V306 - M338	=-32  %-10  	q=+60  %+20  	 1.771(84)
printNotes: i= 38-<2587 2642 -55>,  	Ak2 -- 1/16th..( 54) <      > 	V 55 - M 62	= -7  %-13  	q= +1  %+2  	 0.313(84)<-----%13   %2

printNotes: i= 39-<1613 2874 -1261>,  	 B2 --  1/64th.( 12) <      > 	V  9 - M 15	= -6  %-67  	q= -3  %-33  	 0.046(84)<-----%67   %33 <<

printNotes: i= 40-<2603 2694 -91>,  	 A2 --    1/8th( 62) <      > 	V 74 - M 62	=+12  %+16  	q=+12  %+16  	 0.424(84)


silence
printNotes: i= 41-<   0   40 -40>,  	Slc --    half.(369) <      > 	V379 - M431	=-52  %-14  	q=+10  %+3  	 2.194(84)<-----%14   %3

printNotes: i= 42-<2351 2494 -143>,  	 G2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)
printNotes: i= 43-<2257 2294 -37>,  	 F2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(84)
printNotes: i= 44-<2507 2494  13>,  	 G2 --   1/8th.( 92) <-1*sela> 	V 77 - M 62	=+15  %+19  	q=-15  %-19  	 0.441(84)
printNotes: i= 45-<1193 2294 -1101>,  	 F2 --   1/8th.( 92) <-1*sela> 	V 77 - M 62	=+15  %+19  	q=-15  %-19  	 0.441(84)
printNotes: i= 46-<2167 2175  -8>,  	 E2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 47-<2270 2294 -24>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 48-<2183 2175   8>,  	 E2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 49-<2278 2294 -16>,  	 F2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 50-<2280 2175 105>,  	 E2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 51-<2483 2494 -11>,  	 G2 --  1/8th..(108) <      > 	V101 - M 92	= +9  %+9  	q= -7  %-7  	 0.580(84)
printNotes: i= 52-<2691 2694  -3>,  	 A2 --   1/32nd( 15) <      > 	V 17 - M 23	= -6  %-35  	q= +2  %+12  	 0.093(84)<-----%35   %12

printNotes: i= 53-<2507 2494  13>,  	 G2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(84)
printNotes: i= 54-<1281 2694 -1413>,  	 A2 --  1/32nd.( 23) <      > 	V 21 - M 15	= +6  %+29  	q= -2  %-10  	 0.116(84)<-----%29   %10

printNotes: i= 55-<1905 2494 -589>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8



silence
printNotes: i= 56-<   0   40 -40>,  	Slc --  1/8th..(108) <      > 	V105 - M246	=-141  %-134  	q= -3  %-3  	 0.604(84)<-----%134   %3

printNotes: i= 57-<2174 2294 -120>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 58-<2493 2494  -1>,  	 G2 --    1/4th(123) <      > 	V134 - M123	=+11  %+8  	q=+11  %+8  	 0.772(84)
printNotes: i= 59-<2250 2294 -44>,  	 F2 --   1/8th.( 92) <-1*sela> 	V 77 - M 62	=+15  %+19  	q=-15  %-19  	 0.441(84)
printNotes: i= 60-< 519 2175 -1656>,  	 E2 -- 1/16th..( 54) <      > 	V 50 - M 31	=+19  %+38  	q= -4  %-8  	 0.284(84)<-----%38   %8

printNotes: i= 61-<2491 2494  -3>,  	 G2 --    1/4th(123) <      > 	V125 - M123	= +2  %+2  	q= +2  %+2  	 0.720(84)
