	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2002 2180 -178>,  	 E2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i=  2-<2632 2644 -12>,  	Ak2 --     half(236) <3*sela> 	V283 - M354	=-71  %-25  	q=+47  %+17  	 1.637(88)<-----%25   %17

printNotes: i=  3-<2522 2494  28>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(88)<-----%164   %0 <<

printNotes: i=  4-<2648 2644   4>,  	Ak2 --  1/4th..(206) <      > 	V201 - M236	=-35  %-17  	q= -5  %-2  	 1.161(88)<-----%17   %2

printNotes: i=  5-<2485 2494  -9>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i=  6-<2673 2644  29>,  	Ak2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(88)<-----%50   %10 <<

printNotes: i=  7-<2513 2494  19>,  	 G2 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(88)<-----%50   %3

printNotes: i=  8-<2679 2644  35>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i=  9-<2498 2494   4>,  	 G2 --   1/8th.( 88) <      > 	V 95 - M118	=-23  %-24  	q= +7  %+7  	 0.546(88)<-----%24   %7

printNotes: i= 10-<2646 2644   2>,  	Ak2 --  1/8th..(103) <      > 	V103 - M118	=-15  %-15  	q=  +  %+0  	 0.592(88)<-----%15   %0

printNotes: i= 11-<2511 2494  17>,  	 G2 --    1/8th( 59) <      > 	V 71 - M 59	=+12  %+17  	q=+12  %+17  	 0.406(88)
printNotes: i= 12-<2565 2644 -79>,  	Ak2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 13-<2918 2879  39>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 14-<2658 2644  14>,  	Ak2 --   1/8th.( 88) <      > 	V 91 - M 88	= +3  %+3  	q= +3  %+3  	 0.522(88)
printNotes: i= 15-<2792 2879 -87>,  	 B2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 16-<2631 2644 -13>,  	Ak2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 17-<2730 2879 -149>,  	 B2 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(88)<-----%275   %0 <<

printNotes: i= 18-<2639 2644  -5>,  	Ak2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 19-<2506 2494  12>,  	 G2 -- 1/32nd..( 26) <      > 	V 24 - M 15	= +9  %+38  	q= -2  %-8  	 0.134(88)<-----%38   %8

