	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2488 2642 -154>,  	Ak2 --    1/8th( 58) <      > 	V 66 - M 88	=-22  %-33  	q= +8  %+12  	 0.377(88)<-----%33   %12

printNotes: i=  2-<2494 2494    >,  	 G2 --  1/16th.( 44) <      > 	V 45 - M 29	=+16  %+36  	q= +1  %+2  	 0.255(88)<-----%36   %2

printNotes: i=  3-<2467 2294 173>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i=  4-<2638 2642  -4>,  	Ak2 --   1/4th.(175) <      > 	V185 - M205	=-20  %-11  	q=+10  %+5  	 1.068(88)<-----%11   %5

printNotes: i=  5-<2648 2642   6>,  	Ak2 --    1/8th( 58) <      > 	V 58 - M 58	=  +  %+0  	q=  +  %+0  	 0.331(88)<-- same note
printNotes: i=  6-<2513 2494  19>,  	 G2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i=  7-<2627 2642 -15>,  	Ak2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i=  8-<2497 2494   3>,  	 G2 --    1/4th(117) <      > 	V118 - M117	= +1  %+1  	q= +1  %+1  	 0.679(88)
printNotes: i=  9-<2656 2642  14>,  	Ak2 --    1/4th(117) <1*sela> 	V142 - M 88	=+54  %+38  	q=+25  %+18  	 0.819(88)<-----%38   %18



silence
printNotes: i= 10-<   0   40 -40>,  	Slc --  1/4th..(205) <      > 	V194 - M234	=-40  %-21  	q=-11  %-6  	 1.120(88)<-----%21   %6

printNotes: i= 11-<1915 2181 -266>,  	 E2 --    1/8th( 58) <      > 	V 56 - M 29	=+27  %+48  	q= -2  %-4  	 0.319(88)<-----%48   %4

printNotes: i= 12-<2625 2642 -17>,  	Ak2 --    1/4th(117) <      > 	V122 - M146	=-24  %-20  	q= +5  %+4  	 0.702(88)<-----%20   %4

printNotes: i= 13-<1116 2494 -1378>,  	 G2 --    1/8th( 58) <      > 	V 69 - M 29	=+40  %+58  	q=+11  %+16  	 0.395(88)<-----%58   %16

printNotes: i= 14-<2645 2642   3>,  	Ak2 --    1/8th( 58) <      > 	V 58 - M 44	=+14  %+24  	q=  +  %+0  	 0.331(88)<-----%24   %0

printNotes: i= 15-<2487 2494  -7>,  	 G2 --  1/8th..(102) <      > 	V108 - M117	= -9  %-8  	q= +6  %+6  	 0.621(88)
printNotes: i= 16-<2285 2294  -9>,  	 F2 --  1/16th.( 44) <      > 	V 45 - M 29	=+16  %+36  	q= +1  %+2  	 0.255(88)<-----%36   %2

printNotes: i= 17-<2631 2642 -11>,  	Ak2 --    1/4th(117) <      > 	V110 - M117	= -7  %-6  	q= -7  %-6  	 0.633(88)
printNotes: i= 18-<1501 2494 -993>,  	 G2 --    1/4th(117) <      > 	V112 - M 44	=+68  %+61  	q= -5  %-4  	 0.644(88)<-----%61   %4

printNotes: i= 19-<2611 2642 -31>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 20-<2691 2642  49>,  	Ak2 --   1/64th(  7) <      > 	V  7 - M 29	=-22  %-314  	q=  +  %+0  	 0.035(88)<-- same note<-----%314   %0 <<

printNotes: i= 21-<2858 2874 -16>,  	 B2 --    1/4th(117) <      > 	V124 - M117	= +7  %+6  	q= +7  %+6  	 0.714(88)
printNotes: i= 22-<2643 2642   1>,  	Ak2 --    1/8th( 58) <      > 	V 62 - M 58	= +4  %+6  	q= +4  %+6  	 0.354(88)
printNotes: i= 23-<2876 2874   2>,  	 B2 --  1/16th.( 44) <      > 	V 41 - M 44	= -3  %-7  	q= -3  %-7  	 0.232(88)
printNotes: i= 24-<2657 2642  15>,  	Ak2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 25-<2901 2874  27>,  	 B2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 26-<2665 2642  23>,  	Ak2 --  1/32nd.( 22) <      > 	V 20 - M 15	= +5  %+25  	q= -2  %-10  	 0.110(88)<-----%25   %10

printNotes: i= 27-<2854 2874 -20>,  	 B2 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(88)<-----%114   %0 <<

printNotes: i= 28-<2585 2642 -57>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 29-<2503 2494   9>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 30-<2700 2642  58>,  	Ak2 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 31-<2496 2494   2>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i= 32-<2399 2642 -243>,  	Ak2 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 33-<2512 2494  18>,  	 G2 --  128th..(  6) <      > 	V  6 - M 29	=-23  %-383  	q=  +  %+0  	 0.029(88)<-----%383   %0 <<

printNotes: i= 34-<2472 2294 178>,  	 F2 --  128th..(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(88)<-----%150   %0 <<

printNotes: i= 35-<2275 2494 -219>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 36-<2284 2294 -10>,  	 F2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 37-<2483 2494 -11>,  	 G2 --    half.(351) <-3*sela> 	V306 - M321	=-15  %-5  	q=-45  %-15  	 1.771(88)
printNotes: i= 38-<2534 2642 -108>,  	Ak2 --    1/4th(117) <1*sela> 	V139 - M 58	=+81  %+58  	q=+22  %+16  	 0.801(88)<-----%58   %16



silence
