	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1246 1292 -46>,  	 G1 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(87)
printNotes: i=  2-<1810 1924 -114>,  	Dk2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i=  3-<1762 1784 -22>,  	 C2 -- 1/16th..( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(87)
printNotes: i=  4-<1922 1924  -2>,  	Dk2 --  1/16th.( 44) <      > 	V 38 - M 44	= -6  %-16  	q= -6  %-16  	 0.215(87)
printNotes: i=  5-<2119 2150 -31>,  	 E2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i=  6-<1800 1784  16>,  	 C2 --  1/16th.( 44) <      > 	V 42 - M 44	= -2  %-5  	q= -2  %-5  	 0.238(87)
printNotes: i=  7-<1912 1924 -12>,  	Dk2 --   1/8th.( 89) <      > 	V 92 - M 89	= +3  %+3  	q= +3  %+3  	 0.528(87)
printNotes: i=  8-<2096 2150 -54>,  	 E2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i=  9-<1779 1784  -5>,  	 C2 --   1/8th.( 89) <      > 	V 82 - M 89	= -7  %-9  	q= -7  %-9  	 0.470(87)
printNotes: i= 10-<1629 1584  45>,  	Bb1 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 11-<1911 1924 -13>,  	Dk2 --    1/4th(118) <      > 	V118 - M118	=  +  %+0  	q=  +  %+0  	 0.679(87)
printNotes: i= 12-<2140 2150 -10>,  	 E2 --   1/4th.(178) <      > 	V184 - M178	= +6  %+3  	q= +6  %+3  	 1.062(87)
printNotes: i= 13-<2241 2266 -25>,  	 F2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 14-<1966 1924  42>,  	Dk2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 15-<2141 2150  -9>,  	 E2 --     half(237) <3*sela> 	V289 - M237	=+52  %+18  	q=+52  %+18  	 1.672(87)
printNotes: i= 16-<2242 2266 -24>,  	 F2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 17-<1965 1924  41>,  	Dk2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(87)
printNotes: i= 18-<2152 2150   2>,  	 E2 -- 1/16th..( 52) <      > 	V 54 - M 52	= +2  %+4  	q= +2  %+4  	 0.308(87)
printNotes: i= 19-<2380 2466 -86>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 20-<2159 2150   9>,  	 E2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 21-<2255 2266 -11>,  	 F2 --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(87)


silence
printNotes: i= 22-<   0   40 -40>,  	Slc --    1/4th(118) <1*sela> 	V142 - M124	=+18  %+13  	q=+24  %+17  	 0.819(87)
printNotes: i= 23-<1507 1442  65>,  	Ak1 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(87)
printNotes: i= 24-<1823 1784  39>,  	 C2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 25-<2105 2150 -45>,  	 E2 --   1/16th( 30) <      > 	V 28 - M 26	= +2  %+7  	q= -2  %-7  	 0.157(87)
printNotes: i= 26-<2271 2266   5>,  	 F2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(87)
printNotes: i= 27-<2378 2466 -88>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 28-<2143 2150  -7>,  	 E2 --    1/4th(118) <      > 	V126 - M118	= +8  %+6  	q= +8  %+6  	 0.726(87)
printNotes: i= 29-<2412 2466 -54>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i= 30-<2146 2150  -4>,  	 E2 --   1/8th.( 89) <      > 	V 91 - M 89	= +2  %+2  	q= +2  %+2  	 0.522(87)
printNotes: i= 31-<2329 2266  63>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 32-<2145 2150  -5>,  	 E2 --  1/16th.( 44) <      > 	V 47 - M 44	= +3  %+6  	q= +3  %+6  	 0.267(87)
printNotes: i= 33-<2251 2266 -15>,  	 F2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 34-<2155 2150   5>,  	 E2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(87)
printNotes: i= 35-<1917 1924  -7>,  	Dk2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(87)
printNotes: i= 36-<1767 1784 -17>,  	 C2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(87)
printNotes: i= 37-<1960 1924  36>,  	Dk2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(87)
printNotes: i= 38-<2211 2266 -55>,  	 F2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(87)
printNotes: i= 39-<2184 2150  34>,  	 E2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(87)
printNotes: i= 40-<2241 2266 -25>,  	 F2 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(87)
printNotes: i= 41-<2148 2150  -2>,  	 E2 -- 1/32nd..( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(87)
printNotes: i= 42-<1920 1924  -4>,  	Dk2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 43-<2149 2150  -1>,  	 E2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(87)
printNotes: i= 44-<2225 2266 -41>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i= 45-<1935 1924  11>,  	Dk2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 46-<2115 2150 -35>,  	 E2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 47-<1922 1924  -2>,  	Dk2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(87)
printNotes: i= 48-<2139 2150 -11>,  	 E2 --    1/8th( 59) <      > 	V 70 - M 59	=+11  %+16  	q=+11  %+16  	 0.401(87)
printNotes: i= 49-<2253 2266 -13>,  	 F2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(87)
