	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1132 1215 -83>,  	F#1 --   1/16th( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(105)
printNotes: i=  2-<1718 1715   3>,  	 B1 --  1/8th..( 86) <      > 	V 84 - M 86	= -2  %-2  	q= -2  %-2  	 0.482(105)
printNotes: i=  3-<1798 1815 -17>,  	 C2 --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(105)
printNotes: i=  4-<1874 1815  59>,  	 C2 --   1/64th(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(105)<-- same note
printNotes: i=  5-<1945 2015 -70>,  	 D2 --  1/16th.( 37) <      > 	V 38 - M 37	= +1  %+3  	q= +1  %+3  	 0.215(105)
printNotes: i=  6-<2174 2165   9>,  	Ek2 -- 1/16th..( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(105)
printNotes: i=  7-<2298 2289   9>,  	 F2 -- 1/16th..( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(105)
printNotes: i=  8-<2461 2496 -35>,  	 G2 --    1/8th( 49) <      > 	V 46 - M 43	= +3  %+7  	q= -3  %-7  	 0.261(105)
printNotes: i=  9-<2395 2389   6>,  	F#2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(105)
printNotes: i= 10-<2627 2622   5>,  	Ak2 --  1/8th..( 86) <      > 	V 80 - M 74	= +6  %+8  	q= -6  %-8  	 0.459(105)
printNotes: i= 11-<2490 2496  -6>,  	 G2 --    whole(395) <4*sela> 	V451 - M395	=+56  %+12  	q=+56  %+12  	 2.612(105)
printNotes: i= 12-<2389 2389    >,  	F#2 --  1/32nd.( 19) <      > 	V 17 - M 19	= -2  %-12  	q= -2  %-12  	 0.093(105)
