	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1879 1709 170>,  	 B1 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i=  2-<2618 2644 -26>,  	Ak2 --     half(255) <2*sela> 	V295 - M255	=+40  %+14  	q=+40  %+14  	 1.707(81)
printNotes: i=  3-<2522 2494  28>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i=  4-<2648 2644   4>,  	Ak2 --   1/4th.(191) <      > 	V201 - M191	=+10  %+5  	q=+10  %+5  	 1.161(81)
printNotes: i=  5-<2499 2494   5>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i=  6-<2747 2794 -47>,  	Bb2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)
printNotes: i=  7-<2520 2494  26>,  	 G2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i=  8-<2679 2644  35>,  	Ak2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i=  9-<2498 2494   4>,  	 G2 --   1/8th.( 96) <      > 	V 95 - M 96	= -1  %-1  	q= -1  %-1  	 0.546(81)
printNotes: i= 10-<2646 2644   2>,  	Ak2 --   1/8th.( 96) <      > 	V103 - M112	= -9  %-9  	q= +7  %+7  	 0.592(81)
printNotes: i= 11-<2511 2494  17>,  	 G2 --    1/8th( 64) <      > 	V 71 - M 64	= +7  %+10  	q= +7  %+10  	 0.406(81)
printNotes: i= 12-<2565 2644 -79>,  	Ak2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 13-<2940 2994 -54>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 14-<2661 2644  17>,  	Ak2 --   1/8th.( 96) <      > 	V 93 - M 96	= -3  %-3  	q= -3  %-3  	 0.534(81)
printNotes: i= 15-<2792 2894 -102>,  	 B2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 16-<2651 2644   7>,  	Ak2 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(81)
printNotes: i= 17-<2636 2644  -8>,  	Ak2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)<-- same note
printNotes: i= 18-<2506 2494  12>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)
printNotes: i= 19-<2593 2644 -51>,  	Ak2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 20-<2514 2494  20>,  	 G2 --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(81)
printNotes: i= 21-<2312 2295  17>,  	 F2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 22-<2483 2494 -11>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 23-<2330 2295  35>,  	 F2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 24-<1744 2694 -950>,  	 A2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 25-<2185 2180   5>,  	 E2 --  1/16th.( 48) <      > 	V 40 - M 48	= -8  %-20  	q= -8  %-20  	 0.226(81)
printNotes: i= 26-<2410 2494 -84>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(81)
printNotes: i= 27-<2189 2180   9>,  	 E2 --  1/16th.( 48) <      > 	V 43 - M 48	= -5  %-12  	q= -5  %-12  	 0.244(81)
printNotes: i= 28-<2466 2494 -28>,  	 G2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(81)
printNotes: i= 29-<2278 2295 -17>,  	 F2 --    1/8th( 64) <      > 	V 66 - M 64	= +2  %+3  	q= +2  %+3  	 0.377(81)
printNotes: i= 30-<1988 2180 -192>,  	 E2 --   1/4th.(191) <      > 	V197 - M191	= +6  %+3  	q= +6  %+3  	 1.138(81)


silence
printNotes: i= 31-<   0   40 -40>,  	Slc --  1/8th..(112) <      > 	V114 - M 71	=+43  %+38  	q= +2  %+2  	 0.656(81)<-----%38   %2

printNotes: i= 32-<1826 1709 117>,  	 B1 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 33-<2199 2295 -96>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 34-<2188 2180   8>,  	 E2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 35-<2304 2295   9>,  	 F2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 36-<2495 2494   1>,  	 G2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 37-<2717 2794 -77>,  	Bb2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 38-<2493 2494  -1>,  	 G2 --  1/8th..(112) <      > 	V109 - M112	= -3  %-3  	q= -3  %-3  	 0.627(81)
printNotes: i= 39-<2694 2794 -100>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 40-<2507 2494  13>,  	 G2 --   1/8th.( 96) <      > 	V 88 - M 96	= -8  %-9  	q= -8  %-9  	 0.505(81)
printNotes: i= 41-<2713 2794 -81>,  	Bb2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(81)
printNotes: i= 42-<2467 2494 -27>,  	 G2 --  1/8th..(112) <      > 	V113 - M112	= +1  %+1  	q= +1  %+1  	 0.650(81)
printNotes: i= 43-<2149 2644 -495>,  	Ak2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 44-<2701 2794 -93>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 45-<2486 2494  -8>,  	 G2 --   1/4th.(191) <      > 	V179 - M191	=-12  %-7  	q=-12  %-7  	 1.033(81)
printNotes: i= 46-<2537 2994 -457>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 47-<1735 2494 -759>,  	 G2 --    1/8th( 64) <      > 	V 68 - M 64	= +4  %+6  	q= +4  %+6  	 0.389(81)


silence
printNotes: i= 48-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 32 - M127	=-95  %-297  	q=  +  %+0  	 0.180(81)<-----%297   %0

printNotes: i= 49-<2146 2180 -34>,  	 E2 --  1/16th.( 48) <      > 	V 49 - M 48	= +1  %+2  	q= +1  %+2  	 0.279(81)
printNotes: i= 50-<2303 2295   8>,  	 F2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 51-<2493 2494  -1>,  	 G2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 52-<2651 2644   7>,  	Ak2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 53-<2981 2994 -13>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 54-<2672 2644  28>,  	Ak2 --    1/8th( 64) <      > 	V 75 - M 64	=+11  %+15  	q=+11  %+15  	 0.430(81)
printNotes: i= 55-<2955 2994 -39>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 56-<2660 2644  16>,  	Ak2 --    1/8th( 64) <      > 	V 69 - M 64	= +5  %+7  	q= +5  %+7  	 0.395(81)
printNotes: i= 57-<2954 2994 -40>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 58-<2643 2644  -1>,  	Ak2 --    1/8th( 64) <      > 	V 68 - M 64	= +4  %+6  	q= +4  %+6  	 0.389(81)
printNotes: i= 59-<2532 2494  38>,  	 G2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 60-<2626 2994 -368>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 61-<2869 2894 -25>,  	 B2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 62-<2997 2994   3>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 63-<2643 2644  -1>,  	Ak2 --    1/4th(127) <      > 	V124 - M127	= -3  %-2  	q= -3  %-2  	 0.714(81)
printNotes: i= 64-<2500 2494   6>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(81)
printNotes: i= 65-<1576 2644 -1068>,  	Ak2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 66-<2493 2494  -1>,  	 G2 --    1/8th( 64) <      > 	V 75 - M 64	=+11  %+15  	q=+11  %+15  	 0.430(81)
printNotes: i= 67-<2743 2794 -51>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(81)
printNotes: i= 68-<2497 2494   3>,  	 G2 --    1/8th( 64) <      > 	V 79 - M 96	=-17  %-22  	q=+15  %+19  	 0.453(81)
printNotes: i= 69-<2666 2644  22>,  	Ak2 -- 1/32nd..( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(81)
printNotes: i= 70-<2746 2794 -48>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 71-<2491 2494  -3>,  	 G2 --  1/8th..(112) <      > 	V119 - M127	= -8  %-7  	q= +7  %+6  	 0.685(81)
printNotes: i= 72-<2302 2295   7>,  	 F2 -- 1/16th..( 56) <      > 	V 56 - M 56	=  +  %+0  	q=  +  %+0  	 0.319(81)
printNotes: i= 73-<2527 2494  33>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
