	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 991  975  16>,  	 E1 --   1/16th( 34) <      > 	V 41 - M 34	= +7  %+17  	q= +7  %+17  	 0.232(75)
printNotes: i=  2-<1414 1417  -3>,  	Ak1 --     half(275) <1*sela> 	V292 - M275	=+17  %+6  	q=+17  %+6  	 1.689(75)
printNotes: i=  3-<1556 1670 -114>,  	 B1 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(75)
printNotes: i=  4-<1271 1275  -4>,  	 G1 --  1/4th..(241) <      > 	V242 - M241	= +1  %+0  	q= +1  %+0  	 1.399(75)
printNotes: i=  5-<1413 1417  -4>,  	Ak1 --   1/4th.(206) <      > 	V218 - M206	=+12  %+6  	q=+12  %+6  	 1.260(75)
printNotes: i=  6-<1630 1670 -40>,  	 B1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i=  7-<1270 1275  -5>,  	 G1 --  1/4th..(241) <      > 	V249 - M241	= +8  %+3  	q= +8  %+3  	 1.440(75)
printNotes: i=  8-<1256 1417 -161>,  	Ak1 --  1/8th..(120) <      > 	V124 - M120	= +4  %+3  	q= +4  %+3  	 0.714(75)


silence
printNotes: i=  9-<   0   40 -40>,  	Slc --  1/8th..(120) <      > 	V118 - M206	=-88  %-75  	q= -2  %-2  	 0.679(75)<-----%75   %2

printNotes: i= 10-<1138 1075  63>,  	 F1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i= 11-<1434 1417  17>,  	Ak1 --   1/64th(  9) <      > 	V 11 - M  9	= +2  %+18  	q= +2  %+18  	 0.058(75)
printNotes: i= 12-<1748 1761 -13>,  	 C2 --  1/4th..(241) <      > 	V256 - M241	=+15  %+6  	q=+15  %+6  	 1.480(75)
printNotes: i= 13-<1645 1670 -25>,  	 B1 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(75)
printNotes: i= 14-<1750 1761 -11>,  	 C2 --    half.(413) <-4*sela> 	V344 - M344	=  +  %+0  	q=-69  %-20  	 1.991(75)
printNotes: i= 15-<1639 1670 -31>,  	 B1 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(75)
printNotes: i= 16-<1754 1761  -7>,  	 C2 --  1/16th.( 52) <      > 	V 54 - M 52	= +2  %+4  	q= +2  %+4  	 0.308(75)
printNotes: i= 17-<1541 2145 -604>,  	 E2 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(75)
printNotes: i= 18-<1392 1761 -369>,  	 C2 --  1/32nd.( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(75)


silence
printNotes: i= 19-<   0   40 -40>,  	Slc --    1/4th(138) <      > 	V148 - M103	=+45  %+30  	q=+10  %+7  	 0.853(75)<-----%30   %7

printNotes: i= 20-<1218 1075 143>,  	 F1 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i= 21-<1717 1761 -44>,  	 C2 --  1/16th.( 52) <      > 	V 49 - M 52	= -3  %-6  	q= -3  %-6  	 0.279(75)
printNotes: i= 22-<1667 1670  -3>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)
printNotes: i= 23-<1757 1761  -4>,  	 C2 --  1/16th.( 52) <      > 	V 44 - M 52	= -8  %-18  	q= -8  %-18  	 0.250(75)
printNotes: i= 24-<1880 1898 -18>,  	Dk2 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(75)
printNotes: i= 25-<2066 2145 -79>,  	 E2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(75)
printNotes: i= 26-<1891 1898  -7>,  	Dk2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(75)
printNotes: i= 27-<2024 2145 -121>,  	 E2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(75)
printNotes: i= 28-<1757 1761  -4>,  	 C2 -- 1/16th..( 60) <      > 	V 58 - M 60	= -2  %-3  	q= -2  %-3  	 0.331(75)
printNotes: i= 29-<1900 1898   2>,  	Dk2 --   1/32nd( 17) <      > 	V 21 - M 17	= +4  %+19  	q= +4  %+19  	 0.116(75)
printNotes: i= 30-<1681 1670  11>,  	 B1 --     half(275) <      > 	V274 - M275	= -1  %-0  	q= -1  %-0  	 1.585(75)
printNotes: i= 31-<1733 1761 -28>,  	 C2 -- 1/16th..( 60) <      > 	V 64 - M 69	= -5  %-8  	q= +4  %+6  	 0.366(75)
printNotes: i= 32-<1390 1417 -27>,  	Ak1 --    1/4th(138) <      > 	V149 - M138	=+11  %+7  	q=+11  %+7  	 0.859(75)
printNotes: i= 33-<1525 1570 -45>,  	Bb1 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)


silence
printNotes: i= 34-<   0   40 -40>,  	Slc --   1/4th.(206) <-1*sela> 	V189 - M206	=-17  %-9  	q=-17  %-9  	 1.091(75)
printNotes: i= 35-<1252 1275 -23>,  	 G1 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)
printNotes: i= 36-<1439 1417  22>,  	Ak1 --  1/32nd.( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(75)
printNotes: i= 37-<1654 1670 -16>,  	 B1 --   1/16th( 34) <      > 	V 32 - M 30	= +2  %+6  	q= -2  %-6  	 0.180(75)
printNotes: i= 38-<1748 1761 -13>,  	 C2 --    1/4th(138) <1*sela> 	V167 - M138	=+29  %+17  	q=+29  %+17  	 0.964(75)
printNotes: i= 39-<1461 1417  44>,  	Ak1 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(75)
printNotes: i= 40-<1668 1670  -2>,  	 B1 --  1/4th..(241) <      > 	V225 - M241	=-16  %-7  	q=-16  %-7  	 1.300(75)
printNotes: i= 41-<1414 2145 -731>,  	 E2 --  1/64th.( 13) <      > 	V 10 - M  9	= +1  %+10  	q= -3  %-30  	 0.052(75)
