	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2024 1933  91>,  	Dk2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i=  2-<2602 2642 -40>,  	Ak2 --    1/8th( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(92)
printNotes: i=  3-<2488 2494  -6>,  	 G2 --    1/8th( 56) <      > 	V 65 - M 56	= +9  %+14  	q= +9  %+14  	 0.372(92)
printNotes: i=  4-<2641 2642  -1>,  	Ak2 --     half(224) <1*sela> 	V241 - M224	=+17  %+7  	q=+17  %+7  	 1.393(92)
printNotes: i=  5-<2513 2494  19>,  	 G2 --  1/16th.( 42) <      > 	V 35 - M 28	= +7  %+20  	q= -7  %-20  	 0.197(92)
printNotes: i=  6-<2627 2642 -15>,  	Ak2 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
printNotes: i=  7-<2497 2494   3>,  	 G2 --    1/4th(112) <      > 	V118 - M112	= +6  %+5  	q= +6  %+5  	 0.679(92)
printNotes: i=  8-<2633 2642  -9>,  	Ak2 --  1/8th..( 98) <      > 	V 94 - M 98	= -4  %-4  	q= -4  %-4  	 0.540(92)
printNotes: i=  9-<2785 2974 -189>,  	 C3 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 10-<2653 2642  11>,  	Ak2 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(92)


silence
printNotes: i= 11-<   0   40 -40>,  	Slc --  1/4th..(196) <      > 	V194 - M229	=-35  %-18  	q= -2  %-1  	 1.120(92)<-----%18   %1

printNotes: i= 12-<1499 1459  40>,  	Ak1 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 13-<2096 2181 -85>,  	 E2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 14-<2625 2642 -17>,  	Ak2 --    1/4th(112) <      > 	V122 - M112	=+10  %+8  	q=+10  %+8  	 0.702(92)
printNotes: i= 15-<1116 2494 -1378>,  	 G2 --    1/8th( 56) <      > 	V 69 - M 56	=+13  %+19  	q=+13  %+19  	 0.395(92)
printNotes: i= 16-<2645 2642   3>,  	Ak2 --    1/8th( 56) <      > 	V 58 - M 56	= +2  %+3  	q= +2  %+3  	 0.331(92)
printNotes: i= 17-<2487 2494  -7>,  	 G2 --    1/4th(112) <      > 	V108 - M112	= -4  %-4  	q= -4  %-4  	 0.621(92)
printNotes: i= 18-<2285 2294  -9>,  	 F2 --  1/16th.( 42) <      > 	V 45 - M 42	= +3  %+7  	q= +3  %+7  	 0.255(92)
printNotes: i= 19-<2631 2642 -11>,  	Ak2 --    1/4th(112) <      > 	V110 - M112	= -2  %-2  	q= -2  %-2  	 0.633(92)
printNotes: i= 20-<1637 2494 -857>,  	 G2 --    1/8th( 56) <      > 	V 65 - M 56	= +9  %+14  	q= +9  %+14  	 0.372(92)
