	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1575 1596 -21>,  	Bb1 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)
printNotes: i=  2-<1797 1696 101>,  	 B1 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(84)
printNotes: i=  3-<2504 2646 -142>,  	Ak2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)
printNotes: i=  4-<1730 2503 -773>,  	 G2 --  1/16th.( 46) <      > 	V 47 - M 46	= +1  %+2  	q= +1  %+2  	 0.267(84)
printNotes: i=  5-<2653 2646   7>,  	Ak2 --    1/8th( 62) <      > 	V 73 - M 62	=+11  %+15  	q=+11  %+15  	 0.418(84)
printNotes: i=  6-<2600 2646 -46>,  	Ak2 --    1/4th(124) <      > 	V124 - M124	=  +  %+0  	q=  +  %+0  	 0.714(84)<-- same note
printNotes: i=  7-<2336 2293  43>,  	 F2 --  1/16th.( 46) <      > 	V 42 - M 46	= -4  %-10  	q= -4  %-10  	 0.238(84)
printNotes: i=  8-<2349 2646 -297>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i=  9-<2357 2293  64>,  	 F2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(84)
printNotes: i= 10-<2619 2646 -27>,  	Ak2 -- 1/16th..( 54) <      > 	V 54 - M 54	=  +  %+0  	q=  +  %+0  	 0.308(84)
printNotes: i= 11-<2645 2646  -1>,  	Ak2 --   1/8th.( 93) <      > 	V 93 - M 93	=  +  %+0  	q=  +  %+0  	 0.534(84)<-- same note
printNotes: i= 12-<2534 2646 -112>,  	Ak2 --   1/8th.( 93) <      > 	V 93 - M 93	=  +  %+0  	q=  +  %+0  	 0.534(84)<-- same note


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --     half(247) <1*sela> 	V265 - M309	=-44  %-17  	q=+18  %+7  	 1.533(84)<-----%17   %7

printNotes: i= 14-<2170 1930 240>,  	Dk2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(84)
printNotes: i= 15-<1959 2646 -687>,  	Ak2 --  1/8th..(108) <      > 	V110 - M108	= +2  %+2  	q= +2  %+2  	 0.633(84)
printNotes: i= 16-<2572 2646 -74>,  	Ak2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 17-<2576 2503  73>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(84)
printNotes: i= 18-<1897 2878 -981>,  	 B2 --   1/8th.( 93) <      > 	V 80 - M 93	=-13  %-16  	q=-13  %-16  	 0.459(84)
printNotes: i= 19-<2954 2966 -12>,  	 C3 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(84)
printNotes: i= 20-<2958 2966  -8>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)<-- same note
printNotes: i= 21-<2952 2966 -14>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 22-<2964 2966  -2>,  	 C3 --   1/4th.(185) <      > 	V185 - M185	=  +  %+0  	q=  +  %+0  	 1.068(84)<-- same note
printNotes: i= 23-<2856 2878 -22>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 24-<3011 2966  45>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)
printNotes: i= 25-<2696 2878 -182>,  	 B2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(84)
printNotes: i= 26-<2970 2966   4>,  	 C3 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(84)
printNotes: i= 27-<2951 2966 -15>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)<-- same note
printNotes: i= 28-<3140 3114  26>,  	Dk3 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(84)
printNotes: i= 29-<3353 3364 -11>,  	 E3 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 30-<2972 2966   6>,  	 C3 --   1/8th.( 93) <      > 	V 80 - M 93	=-13  %-16  	q=-13  %-16  	 0.459(84)
printNotes: i= 31-<3095 3114 -19>,  	Dk3 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(84)
printNotes: i= 32-<2880 2878   2>,  	 B2 --   1/8th.( 93) <      > 	V 98 - M 93	= +5  %+5  	q= +5  %+5  	 0.563(84)
printNotes: i= 33-<2941 2966 -25>,  	 C3 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 34-<2595 2646 -51>,  	Ak2 --    1/8th( 62) <      > 	V 70 - M 62	= +8  %+11  	q= +8  %+11  	 0.401(84)
printNotes: i= 35-<2829 2878 -49>,  	 B2 -- 1/64th..( 14) <      > 	V 14 - M 15	= -1  %-7  	q=  +  %+0  	 0.075(84)
printNotes: i= 36-<2499 2503  -4>,  	 G2 --  1/8th..(108) <      > 	V111 - M108	= +3  %+3  	q= +3  %+3  	 0.639(84)
printNotes: i= 37-<2662 2646  16>,  	Ak2 --    1/8th( 62) <      > 	V 61 - M 62	= -1  %-2  	q= -1  %-2  	 0.348(84)
printNotes: i= 38-<2879 2878   1>,  	 B2 --  1/16th.( 46) <      > 	V 45 - M 46	= -1  %-2  	q= -1  %-2  	 0.255(84)
printNotes: i= 39-<2126 2503 -377>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)
printNotes: i= 40-<2382 2646 -264>,  	Ak2 --   1/4th.(185) <      > 	V188 - M185	= +3  %+2  	q= +3  %+2  	 1.086(84)


silence
printNotes: i= 41-<   0   40 -40>,  	Slc --   whole.(742) <      > 	V740 - M865	=-125  %-17  	q= -2  %-0  	 4.290(84)<-----%17   %0

printNotes: i= 42-<2741 2646  95>,  	Ak2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(84)
printNotes: i= 43-<3059 3114 -55>,  	Dk3 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(84)
printNotes: i= 44-<2855 2878 -23>,  	 B2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(84)
printNotes: i= 45-<2965 2966  -1>,  	 C3 --  1/8th..(108) <      > 	V107 - M108	= -1  %-1  	q= -1  %-1  	 0.615(84)
printNotes: i= 46-<2898 2878  20>,  	 B2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(84)
printNotes: i= 47-<2955 2966 -11>,  	 C3 --  1/16th.( 46) <      > 	V 40 - M 46	= -6  %-15  	q= -6  %-15  	 0.226(84)
printNotes: i= 48-<2873 2878  -5>,  	 B2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(84)
printNotes: i= 49-<2971 2966   5>,  	 C3 --  1/8th..(108) <      > 	V105 - M108	= -3  %-3  	q= -3  %-3  	 0.604(84)
printNotes: i= 50-<2966 2966    >,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
printNotes: i= 51-<1597 2878 -1281>,  	 B2 --  1/16th.( 46) <      > 	V 49 - M 46	= +3  %+6  	q= +3  %+6  	 0.279(84)
printNotes: i= 52-<2971 2966   5>,  	 C3 --   1/8th.( 93) <      > 	V 93 - M 93	=  +  %+0  	q=  +  %+0  	 0.534(84)
printNotes: i= 53-<2958 2966  -8>,  	 C3 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(84)<-- same note
printNotes: i= 54-<2964 2966  -2>,  	 C3 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)<-- same note
