	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1768 1742  26>,  	Bb2 --  1/16th.( 48) <      > 	V 40 - M 22	=+18  %+45  	q= -8  %-20  	 0.226(80)<-----%45   %20

printNotes: i=  2-<2332 2444 -112>,  	 F3 --   1/16th( 32) <      > 	V 35 - M 22	=+13  %+37  	q= +3  %+9  	 0.197(80)<-----%37   %9

printNotes: i=  3-<2238 2251 -13>,  	Eb3 --  1/16th.( 48) <      > 	V 50 - M 43	= +7  %+14  	q= +2  %+4  	 0.284(80)<-----%14   %4

printNotes: i=  4-<2444 2444    >,  	 F3 --   1/8th.( 97) <      > 	V 86 - M 64	=+22  %+26  	q=-11  %-13  	 0.493(80)<-----%26   %13

printNotes: i=  5-<2232 2251 -19>,  	Eb3 --  1/8th..(113) <      > 	V117 - M 64	=+53  %+45  	q= +4  %+3  	 0.673(80)<-----%45   %3

printNotes: i=  6-<2175 2171   4>,  	 D3 --    1/4th(129) <1*sela> 	V154 - M161	= -7  %-5  	q=+25  %+16  	 0.888(80)
printNotes: i=  7-<1978 1961  17>,  	 C3 --   1/32nd( 16) <      > 	V 18 - M 32	=-14  %-78  	q= +2  %+11  	 0.099(80)<-----%78   %11

printNotes: i=  8-<2186 2171  15>,  	 D3 --    half.(387) <-2*sela> 	V349 - M322	=+27  %+8  	q=-38  %-11  	 2.020(80)
printNotes: i=  9-<1885 1961 -76>,  	 C3 --     half(258) <      > 	V248 - M193	=+55  %+22  	q=-10  %-4  	 1.434(80)<-----%22   %4



silence
printNotes: i= 10-<   0   40 -40>,  	Slc --    1/4th(129) <      > 	V132 - M129	= +3  %+2  	q= +3  %+2  	 0.760(80)
printNotes: i= 11-<1951 1961 -10>,  	 C3 --  1/16th.( 48) <      > 	V 47 - M 32	=+15  %+32  	q= -1  %-2  	 0.267(80)<-----%32   %2

printNotes: i= 12-<2118 2171 -53>,  	 D3 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(80)<-----%129   %0 <<

printNotes: i= 13-<1965 1961   4>,  	 C3 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(80)
printNotes: i= 14-<1726 1742 -16>,  	Bb2 --  1/32nd.( 24) <      > 	V 20 - M 32	=-12  %-60  	q= -4  %-20  	 0.110(80)<-----%60   %20

printNotes: i= 15-<1975 1961  14>,  	 C3 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 16-<2168 2171  -3>,  	 D3 -- 1/32nd..( 28) <      > 	V 28 - M 16	=+12  %+43  	q=  +  %+0  	 0.157(80)<-----%43   %0

printNotes: i= 17-<2210 2251 -41>,  	Eb3 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(80)<-----%129   %0 <<

printNotes: i= 18-<2149 2171 -22>,  	 D3 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(80)<-----%33   %0

printNotes: i= 19-<1977 1961  16>,  	 C3 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(80)<-----%68   %16

printNotes: i= 20-<2160 2171 -11>,  	 D3 -- 1/32nd..( 28) <      > 	V 28 - M 32	= -4  %-14  	q=  +  %+0  	 0.157(80)<-----%14   %0

printNotes: i= 21-<2223 2251 -28>,  	Eb3 --  1/32nd.( 24) <      > 	V 21 - M 16	= +5  %+24  	q= -3  %-14  	 0.116(80)<-----%24   %14

printNotes: i= 22-<2321 2444 -123>,  	 F3 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(80)<-----%167   %0 <<

printNotes: i= 23-<2272 2251  21>,  	Eb3 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(80)<-----%23   %8

printNotes: i= 24-<2167 2171  -4>,  	 D3 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(80)<-----%88   %6

printNotes: i= 25-<2288 2251  37>,  	Eb3 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4

printNotes: i= 26-<2467 2444  23>,  	 F3 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 27-<2252 2251   1>,  	Eb3 --  1/32nd.( 24) <      > 	V 23 - M 32	= -9  %-39  	q= -1  %-4  	 0.128(80)<-----%39   %4

printNotes: i= 28-<2414 2444 -30>,  	 F3 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 29-<2240 2251 -11>,  	Eb3 --  1/16th.( 48) <      > 	V 46 - M 32	=+14  %+30  	q= -2  %-4  	 0.261(80)<-----%30   %4

printNotes: i= 30-<2433 2444 -11>,  	 F3 --   1/8th.( 97) <      > 	V 91 - M 32	=+59  %+65  	q= -6  %-7  	 0.522(80)<-----%65   %7

printNotes: i= 31-<2542 2644 -102>,  	 G3 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(80)<-----%191   %9 <<

printNotes: i= 32-<2259 2251   8>,  	Eb3 --    1/4th(129) <      > 	V138 - M129	= +9  %+7  	q= +9  %+7  	 0.795(80)
printNotes: i= 33-<2167 2171  -4>,  	 D3 --    1/4th(129) <1*sela> 	V151 - M193	=-42  %-28  	q=+22  %+15  	 0.871(80)<-----%28   %15

printNotes: i= 34-<1860 1961 -101>,  	 C3 --   1/8th.( 97) <      > 	V101 - M 64	=+37  %+37  	q= +4  %+4  	 0.580(80)<-----%37   %4



silence
printNotes: i= 35-<   0   40 -40>,  	Slc --   1/8th.( 97) <      > 	V 95 - M129	=-34  %-36  	q= -2  %-2  	 0.546(80)<-----%36   %2

printNotes: i= 36-<1851 1742 109>,  	Bb2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 37-<2376 2444 -68>,  	 F3 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i= 38-<2225 2251 -26>,  	Eb3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 39-<2387 2444 -57>,  	 F3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i= 40-<2164 2171  -7>,  	 D3 --  1/16th.( 48) <      > 	V 47 - M 64	=-17  %-36  	q= -1  %-2  	 0.267(80)<-----%36   %2

printNotes: i= 41-<2249 2251  -2>,  	Eb3 --   1/16th( 32) <      > 	V 32 - M 22	=+10  %+31  	q=  +  %+0  	 0.180(80)<-----%31   %0

printNotes: i= 42-<1620 2444 -824>,  	 F3 --   1/32nd( 16) <      > 	V 18 - M 21	= -3  %-17  	q= +2  %+11  	 0.099(80)<-----%17   %11

printNotes: i= 43-<2256 2251   5>,  	Eb3 --   1/16th( 32) <      > 	V 31 - M 22	= +9  %+29  	q= -1  %-3  	 0.174(80)<-----%29   %3

printNotes: i= 44-<2470 2444  26>,  	 F3 -- 1/64th..( 14) <      > 	V 15 - M 22	= -7  %-47  	q= +1  %+7  	 0.081(80)<-----%47   %7 <<

printNotes: i= 45-<2164 2171  -7>,  	 D3 --   1/16th( 32) <      > 	V 39 - M 43	= -4  %-10  	q= +7  %+18  	 0.221(80)
printNotes: i= 46-<2261 2251  10>,  	Eb3 --   1/16th( 32) <      > 	V 35 - M 22	=+13  %+37  	q= +3  %+9  	 0.197(80)<-----%37   %9

