	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1756 1972 -216>,  	 C3 --    1/8th( 64) <      > 	V 63 - M 32	=+31  %+49  	q= -1  %-2  	 0.360(81)<-----%49   %2

printNotes: i=  2-<2458 2462  -4>,  	 F3 --   half..(449) <      > 	V442 - M449	= -7  %-2  	q= -7  %-2  	 2.560(81)
printNotes: i=  3-<2376 2355  21>,  	 E3 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(81)<-----%167   %0 <<

printNotes: i=  4-<2469 2462   7>,  	 F3 --   half..(449) <      > 	V444 - M417	=+27  %+6  	q= -5  %-1  	 2.572(81)
printNotes: i=  5-<2376 2355  21>,  	 E3 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i=  6-<2462 2462    >,  	 F3 --   1/4th.(192) <      > 	V180 - M160	=+20  %+11  	q=-12  %-7  	 1.039(81)<-----%11   %7

printNotes: i=  7-<2566 2781 -215>,  	Ab3 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(81)<-----%100   %0 <<

printNotes: i=  8-<2376 2462 -86>,  	 F3 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i=  9-<2318 2270  48>,  	Eb3 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)
printNotes: i= 10-<2223 2185  38>,  	 D3 --  1/16th.( 48) <      > 	V 44 - M 32	=+12  %+27  	q= -4  %-9  	 0.250(81)<-----%27   %9

printNotes: i= 11-<1977 1972   5>,  	 C3 --  1/16th.( 48) <      > 	V 42 - M 32	=+10  %+24  	q= -6  %-14  	 0.238(81)<-----%24   %14

printNotes: i= 12-<2267 2315 -48>,  	Ek3 --  1/64th.( 12) <      > 	V 11 - M 32	=-21  %-191  	q= -1  %-9  	 0.058(81)<-----%191   %9 <<

printNotes: i= 13-<2183 2185  -2>,  	 D3 --    1/4th(128) <1*sela> 	V159 - M128	=+31  %+19  	q=+31  %+19  	 0.917(81)
printNotes: i= 14-<2252 2270 -18>,  	Eb3 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)
printNotes: i= 15-<2185 2185    >,  	 D3 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 16-<2268 2270  -2>,  	Eb3 --  1/64th.( 12) <      > 	V 12 - M 32	=-20  %-167  	q=  +  %+0  	 0.064(81)<-----%167   %0 <<

printNotes: i= 17-<2138 2185 -47>,  	 D3 --    128th(  4) <      > 	V  5 - M 32	=-27  %-540  	q= +1  %+20  	 0.023(81)<-----%540   %20 <<

printNotes: i= 18-<1944 1972 -28>,  	 C3 --    1/8th( 64) <      > 	V 65 - M 32	=+33  %+51  	q= +1  %+2  	 0.372(81)<-----%51   %2



silence
printNotes: i= 19-<   0   40 -40>,  	Slc --    half.(385) <-3*sela> 	V336 - M353	=-17  %-5  	q=-49  %-15  	 1.945(81)
printNotes: i= 20-<1441 1462 -21>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 32	=-15  %-88  	q= +1  %+6  	 0.093(81)<-----%88   %6

printNotes: i= 21-<1933 1972 -39>,  	 C3 --  1/16th.( 48) <      > 	V 45 - M 64	=-19  %-42  	q= -3  %-7  	 0.255(81)<-----%42   %7

printNotes: i= 22-<2162 2185 -23>,  	 D3 --  1/16th.( 48) <      > 	V 47 - M 32	=+15  %+32  	q= -1  %-2  	 0.267(81)<-----%32   %2

printNotes: i= 23-<2363 2355   8>,  	 E3 -- 1/64th..( 14) <      > 	V 15 - M 32	=-17  %-113  	q= +1  %+7  	 0.081(81)<-----%113   %7 <<

printNotes: i= 24-<2185 2185    >,  	 D3 -- 1/32nd..( 28) <      > 	V 26 - M 32	= -6  %-23  	q= -2  %-8  	 0.145(81)<-----%23   %8

printNotes: i= 25-<1954 1972 -18>,  	 C3 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(81)<-----%68   %16

printNotes: i= 26-<2199 2185  14>,  	 D3 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)
printNotes: i= 27-<2308 2355 -47>,  	 E3 -- 1/32nd..( 28) <      > 	V 27 - M 32	= -5  %-19  	q= -1  %-4  	 0.151(81)<-----%19   %4

printNotes: i= 28-<2522 2462  60>,  	 F3 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(81)<-----%78   %33 <<

printNotes: i= 29-<2322 2355 -33>,  	 E3 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 30-<2039 2185 -146>,  	 D3 --   1/32nd( 16) <      > 	V 19 - M 32	=-13  %-68  	q= +3  %+16  	 0.104(81)<-----%68   %16

printNotes: i= 31-<2312 2355 -43>,  	 E3 --  1/32nd.( 24) <      > 	V 24 - M 32	= -8  %-33  	q=  +  %+0  	 0.134(81)<-----%33   %0

printNotes: i= 32-<2477 2462  15>,  	 F3 --   1/16th( 32) <      > 	V 31 - M 16	=+15  %+48  	q= -1  %-3  	 0.174(81)<-----%48   %3

printNotes: i= 33-<2709 2681  28>,  	 G3 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 34-<2376 2355  21>,  	 E3 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(81)<-----%45   %9

printNotes: i= 35-<2455 2462  -7>,  	 F3 --    1/8th( 64) <      > 	V 62 - M 64	= -2  %-3  	q= -2  %-3  	 0.354(81)
printNotes: i= 36-<2378 2355  23>,  	 E3 --  1/32nd.( 24) <      > 	V 22 - M 32	=-10  %-45  	q= -2  %-9  	 0.122(81)<-----%45   %9

printNotes: i= 37-<2589 2681 -92>,  	 G3 --    1/4th(128) <      > 	V137 - M 96	=+41  %+30  	q= +9  %+7  	 0.789(81)<-----%30   %7

printNotes: i= 38-<2462 2462    >,  	 F3 --  1/4th..(224) <      > 	V211 - M160	=+51  %+24  	q=-13  %-6  	 1.219(81)<-----%24   %6

printNotes: i= 39-<2368 2355  13>,  	 E3 -- 1/64th..( 14) <      > 	V 14 - M 32	=-18  %-129  	q=  +  %+0  	 0.075(81)<-----%129   %0 <<

printNotes: i= 40-<2476 2462  14>,  	 F3 --   1/4th.(192) <      > 	V206 - M 64	=+142  %+69  	q=+14  %+7  	 1.190(81)<-----%69   %7



silence
printNotes: i= 41-<   0   40 -40>,  	Slc --    1/4th(128) <      > 	V142 - M192	=-50  %-35  	q=+14  %+10  	 0.819(81)<-----%35   %10

printNotes: i= 42-<1704 1972 -268>,  	 C3 --  1/16th.( 48) <      > 	V 43 - M 32	=+11  %+26  	q= -5  %-12  	 0.244(81)<-----%26   %12

printNotes: i= 43-<2440 2462 -22>,  	 F3 --   1/16th( 32) <      > 	V 39 - M 64	=-25  %-64  	q= +7  %+18  	 0.221(81)<-----%64   %18

printNotes: i= 44-<2327 2355 -28>,  	 E3 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 45-<2453 2462  -9>,  	 F3 -- 1/16th..( 56) <      > 	V 52 - M 64	=-12  %-23  	q= -4  %-8  	 0.296(81)<-----%23   %8

