	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1682 1743 -61>,  	Bb2 --    half.(392) <-1*sela> 	V366 - M392	=-26  %-7  	q=-26  %-7  	 2.119(79)
printNotes: i=  2-<1615 1602  13>,  	Ak2 --  1/4th..(229) <      > 	V219 - M229	=-10  %-5  	q=-10  %-5  	 1.265(79)
printNotes: i=  3-<1512 1473  39>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 33	=-18  %-120  	q= +1  %+7  	 0.081(79)<-----%120   %7 <<

printNotes: i=  4-<1728 1743 -15>,  	Bb2 --     half(261) <3*sela> 	V319 - M261	=+58  %+18  	q=+58  %+18  	 1.846(79)
printNotes: i=  5-<1602 1602    >,  	Ak2 --   1/8th.( 98) <      > 	V 92 - M 65	=+27  %+29  	q= -6  %-7  	 0.528(79)<-----%29   %7

printNotes: i=  6-<1567 1473  94>,  	 G2 --  1/16th.( 49) <      > 	V 49 - M 33	=+16  %+33  	q=  +  %+0  	 0.279(79)<-----%33   %0



silence
printNotes: i=  7-<   0   40 -40>,  	Slc --    1/4th(131) <      > 	V126 - M131	= -5  %-4  	q= -5  %-4  	 0.726(79)
printNotes: i=  8-<1294 1273  21>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 33	=-15  %-83  	q= +2  %+11  	 0.099(79)<-----%83   %11

printNotes: i=  9-<1721 1743 -22>,  	Bb2 --   1/4th.(196) <-1*sela> 	V169 - M 98	=+71  %+42  	q=-27  %-16  	 0.975(79)<-----%42   %16

printNotes: i= 10-<1727 1743 -16>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(79)<-- same note
printNotes: i= 11-<1796 1958 -162>,  	 C3 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(79)<-----%129   %0 <<

printNotes: i= 12-<1617 1602  15>,  	Ak2 --     half(261) <      > 	V262 - M261	= +1  %+0  	q= +1  %+0  	 1.515(79)


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --   1/4th.(196) <-1*sela> 	V174 - M261	=-87  %-50  	q=-22  %-13  	 1.004(79)<-----%50   %13

printNotes: i= 14-<1188 1173  15>,  	 E2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(79)
printNotes: i= 15-<1576 1602 -26>,  	Ak2 --   1/16th( 33) <      > 	V 31 - M 16	=+15  %+48  	q= -2  %-6  	 0.174(79)<-----%48   %6

