	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1513 1481  32>,  	 G2 --   1/16th( 34) <      > 	V 42 - M 23	=+19  %+45  	q= +8  %+19  	 0.238(76)<-----%45   %19

printNotes: i=  2-<2014 2252 -238>,  	Eb3 --  1/32nd.( 26) <      > 	V 23 - M 23	=  +  %+0  	q= -3  %-13  	 0.128(76)
printNotes: i=  3-<2148 2154  -6>,  	 D3 --  1/16th.( 51) <      > 	V 51 - M 23	=+28  %+55  	q=  +  %+0  	 0.290(76)<-----%55   %0

printNotes: i=  4-<2202 2252 -50>,  	Eb3 --  128th..(  7) <      > 	V  8 - M 23	=-15  %-188  	q= +1  %+12  	 0.041(76)<-----%188   %12 <<

printNotes: i=  5-<1974 1962  12>,  	 C3 --     half(273) <      > 	V275 - M341	=-66  %-24  	q= +2  %+1  	 1.591(76)<-----%24   %1

printNotes: i=  6-<2236 2252 -16>,  	Eb3 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(76)
printNotes: i=  7-<2155 2154   1>,  	 D3 --  1/16th.( 51) <      > 	V 53 - M 68	=-15  %-28  	q= +2  %+4  	 0.302(76)<-----%28   %4

printNotes: i=  8-<2227 2252 -25>,  	Eb3 --  1/32nd.( 26) <      > 	V 25 - M 34	= -9  %-36  	q= -1  %-4  	 0.139(76)<-----%36   %4

printNotes: i=  9-<2165 2154  11>,  	 D3 --   1/16th( 34) <      > 	V 42 - M 51	= -9  %-21  	q= +8  %+19  	 0.238(76)
printNotes: i= 10-<2419 2452 -33>,  	 F3 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(76)<-----%31   %0 <<

printNotes: i= 11-<2219 2252 -33>,  	Eb3 --  1/32nd.( 26) <      > 	V 26 - M 17	= +9  %+35  	q=  +  %+0  	 0.145(76)<-----%35   %0

printNotes: i= 12-<2118 2154 -36>,  	 D3 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 13-<1921 1962 -41>,  	 C3 --  1/32nd.( 26) <      > 	V 27 - M 34	= -7  %-26  	q= +1  %+4  	 0.151(76)<-----%26   %4

printNotes: i= 14-<1744 1743   1>,  	Bb2 -- 1/64th..( 15) <      > 	V 16 - M 34	=-18  %-112  	q= +1  %+6  	 0.087(76)<-----%112   %6 <<

printNotes: i= 15-<1946 1962 -16>,  	 C3 --  1/8th..(119) <      > 	V120 - M 68	=+52  %+43  	q= +1  %+1  	 0.691(76)<-----%43   %1



silence
printNotes: i= 16-<   0   40 -40>,  	Slc --   1/4th.(205) <-1*sela> 	V178 - M205	=-27  %-15  	q=-27  %-15  	 1.027(76)
printNotes: i= 17-<2076 2154 -78>,  	 D3 --  1/8th..(119) <      > 	V125 - M136	=-11  %-9  	q= +6  %+5  	 0.720(76)<-----%9   %5

printNotes: i= 18-<2237 2252 -15>,  	Eb3 --    1/4th(136) <      > 	V139 - M102	=+37  %+27  	q= +3  %+2  	 0.801(76)<-----%27   %2

printNotes: i= 19-<2462 2452  10>,  	 F3 --   1/16th( 34) <      > 	V 42 - M 68	=-26  %-62  	q= +8  %+19  	 0.238(76)<-----%62   %19

printNotes: i= 20-<2294 2252  42>,  	Eb3 --   1/16th( 34) <      > 	V 39 - M 68	=-29  %-74  	q= +5  %+13  	 0.221(76)<-----%74   %13

printNotes: i= 21-<2150 2154  -4>,  	 D3 -- 1/32nd..( 30) <      > 	V 31 - M 45	=-14  %-45  	q= +1  %+3  	 0.174(76)<-----%45   %3

printNotes: i= 22-<2253 2252   1>,  	Eb3 --  1/16th.( 51) <      > 	V 46 - M 46	=  +  %+0  	q= -5  %-11  	 0.261(76)
printNotes: i= 23-<2161 2154   7>,  	 D3 -- 1/32nd..( 30) <      > 	V 28 - M 45	=-17  %-61  	q= -2  %-7  	 0.157(76)<-----%61   %7

printNotes: i= 24-<1949 1962 -13>,  	 C3 --  1/32nd.( 26) <      > 	V 24 - M 45	=-21  %-88  	q= -2  %-8  	 0.134(76)<-----%88   %8

printNotes: i= 25-<2152 2154  -2>,  	 D3 --   1/16th( 34) <      > 	V 39 - M 46	= -7  %-18  	q= +5  %+13  	 0.221(76)<-----%18   %13

printNotes: i= 26-<1965 1962   3>,  	 C3 --  1/32nd.( 26) <      > 	V 27 - M 45	=-18  %-67  	q= +1  %+4  	 0.151(76)<-----%67   %4

printNotes: i= 27-<1776 1743  33>,  	Bb2 --   1/32nd( 17) <      > 	V 20 - M 45	=-25  %-125  	q= +3  %+15  	 0.110(76)<-----%125   %15

printNotes: i= 28-<1959 1962  -3>,  	 C3 --  1/16th.( 51) <      > 	V 46 - M 46	=  +  %+0  	q= -5  %-11  	 0.261(76)
printNotes: i= 29-<1749 1743   6>,  	Bb2 --  1/16th.( 51) <      > 	V 46 - M 45	= +1  %+2  	q= -5  %-11  	 0.261(76)
printNotes: i= 30-<1639 1608  31>,  	Ak2 --  1/32nd.( 26) <      > 	V 22 - M 45	=-23  %-105  	q= -4  %-18  	 0.122(76)<-----%105   %18

printNotes: i= 31-<1731 1743 -12>,  	Bb2 --  1/16th.( 51) <      > 	V 48 - M 46	= +2  %+4  	q= -3  %-6  	 0.273(76)
printNotes: i= 32-<1625 1608  17>,  	Ak2 -- 1/32nd..( 30) <      > 	V 30 - M 45	=-15  %-50  	q=  +  %+0  	 0.168(76)<-----%50   %0

printNotes: i= 33-<1502 1481  21>,  	 G2 -- 1/32nd..( 30) <      > 	V 28 - M 45	=-17  %-61  	q= -2  %-7  	 0.157(76)<-----%61   %7

printNotes: i= 34-<1638 1608  30>,  	Ak2 -- 1/16th..( 60) <      > 	V 62 - M 46	=+16  %+26  	q= +2  %+3  	 0.354(76)<-----%26   %3

printNotes: i= 35-<1457 1481 -24>,  	 G2 --    1/8th( 68) <      > 	V 76 - M 45	=+31  %+41  	q= +8  %+11  	 0.435(76)<-----%41   %11



silence
printNotes: i= 36-<   0   40 -40>,  	Slc --    1/8th( 68) <      > 	V 67 - M102	=-35  %-52  	q= -1  %-1  	 0.383(76)<-----%52   %1

printNotes: i= 37-<1305 1282  23>,  	 F2 --   1/32nd( 17) <      > 	V 21 - M 34	=-13  %-62  	q= +4  %+19  	 0.116(76)<-----%62   %19

printNotes: i= 38-<1749 1743   6>,  	Bb2 --   1/8th.(102) <      > 	V105 - M 68	=+37  %+35  	q= +3  %+3  	 0.604(76)<-----%35   %3

printNotes: i= 39-<1598 1608 -10>,  	Ak2 -- 1/16th..( 60) <      > 	V 57 - M 51	= +6  %+11  	q= -3  %-5  	 0.325(76)<-----%11   %5

printNotes: i= 40-<1674 1962 -288>,  	 C3 --   1/8th.(102) <      > 	V 86 - M 34	=+52  %+60  	q=-16  %-19  	 0.493(76)<-----%60   %19

printNotes: i= 41-<1638 1743 -105>,  	Bb2 --    1/8th( 68) <      > 	V 70 - M 68	= +2  %+3  	q= +2  %+3  	 0.401(76)
printNotes: i= 42-<2165 2154  11>,  	 D3 --  1/8th..(119) <      > 	V112 - M136	=-24  %-21  	q= -7  %-6  	 0.644(76)<-----%21   %6

printNotes: i= 43-<1972 1962  10>,  	 C3 --   1/8th.(102) <      > 	V104 - M136	=-32  %-31  	q= +2  %+2  	 0.598(76)<-----%31   %2

printNotes: i= 44-<1766 1743  23>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(76)<-----%143   %7 <<

printNotes: i= 45-<1967 1962   5>,  	 C3 --    1/4th(136) <      > 	V133 - M102	=+31  %+23  	q= -3  %-2  	 0.766(76)<-----%23   %2

printNotes: i= 46-<1740 1743  -3>,  	Bb2 -- 1/64th..( 15) <      > 	V 15 - M 34	=-19  %-127  	q=  +  %+0  	 0.081(76)<-----%127   %0 <<

printNotes: i= 47-<1888 1962 -74>,  	 C3 --    1/8th( 68) <      > 	V 79 - M 34	=+45  %+57  	q=+11  %+14  	 0.453(76)<-----%57   %14

printNotes: i= 48-<1578 1608 -30>,  	Ak2 -- 1/16th..( 60) <      > 	V 56 - M 34	=+22  %+39  	q= -4  %-7  	 0.319(76)<-----%39   %7



silence
printNotes: i= 49-<   0   40 -40>,  	Slc --   1/4th.(205) <-1*sela> 	V183 - M136	=+47  %+26  	q=-22  %-12  	 1.057(76)<-----%26   %12

printNotes: i= 50-<1579 1608 -29>,  	Ak2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(76)
printNotes: i= 51-<1455 1481 -26>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(76)
printNotes: i= 52-<1623 1608  15>,  	Ak2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(76)
printNotes: i= 53-<1512 1481  31>,  	 G2 --   1/32nd( 17) <      > 	V 18 - M 34	=-16  %-89  	q= +1  %+6  	 0.099(76)<-----%89   %6

printNotes: i= 54-<1639 1608  31>,  	Ak2 -- 1/16th..( 60) <      > 	V 58 - M 34	=+24  %+41  	q= -2  %-3  	 0.331(76)<-----%41   %3

printNotes: i= 55-<1485 1481   4>,  	 G2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 56-<1632 1608  24>,  	Ak2 --   1/32nd( 17) <      > 	V 19 - M 34	=-15  %-79  	q= +2  %+11  	 0.104(76)<-----%79   %11

printNotes: i= 57-<1501 1481  20>,  	 G2 --   1/16th( 34) <      > 	V 36 - M 68	=-32  %-89  	q= +2  %+6  	 0.203(76)<-----%89   %6

printNotes: i= 58-<1611 1608   3>,  	Ak2 --  1/16th.( 51) <      > 	V 51 - M 34	=+17  %+33  	q=  +  %+0  	 0.290(76)<-----%33   %0

printNotes: i= 59-<1516 1481  35>,  	 G2 --  1/32nd.( 26) <      > 	V 23 - M 34	=-11  %-48  	q= -3  %-13  	 0.128(76)<-----%48   %13

