	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 573 1268 -695>,  	 F2 --  1/16th.( 54) <      > 	V 58 - M 54	= +4  %+7  	q= +4  %+7  	 0.331(72)
printNotes: i=  2-<1312 1268  44>,  	 F2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)<-- same note
printNotes: i=  3-<1737 1741  -4>,  	Bb2 --  1/4th..(252) <      > 	V264 - M287	=-23  %-9  	q=+12  %+5  	 1.527(72)<-----%9   %5

printNotes: i=  4-<1633 1611  22>,  	Ak2 --   128th.(  7) <      > 	V  6 - M 36	=-30  %-500  	q= -1  %-17  	 0.029(72)<-----%500   %17 <<

printNotes: i=  5-<1642 1611  31>,  	Ak2 --    128th(  4) <      > 	V  3 - M 18	=-15  %-500  	q= -1  %-33  	 0.012(72)<-- same note<-----%500   %33 <<

printNotes: i=  6-<1786 1741  45>,  	Bb2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(72)
printNotes: i=  7-<1673 1611  62>,  	Ak2 --  1/32nd.( 27) <      > 	V 23 - M 72	=-49  %-213  	q= -4  %-17  	 0.128(72)<-----%213   %17

printNotes: i=  8-< 528 1477 -949>,  	 G2 -- 1/32nd..( 31) <      > 	V 31 - M 36	= -5  %-16  	q=  +  %+0  	 0.174(72)<-----%16   %0

printNotes: i=  9-<1610 1611  -1>,  	Ak2 --     half(287) <      > 	V294 - M144	=+150  %+51  	q= +7  %+2  	 1.701(72)<-----%51   %2



silence
printNotes: i= 10-<   0   40 -40>,  	Slc --  1/8th..(126) <      > 	V125 - M144	=-19  %-15  	q= -1  %-1  	 0.720(72)<-----%15   %1

printNotes: i= 11-< 881 1268 -387>,  	 F2 --    1/8th( 72) <      > 	V 73 - M 54	=+19  %+26  	q= +1  %+1  	 0.418(72)<-----%26   %1

printNotes: i= 12-< 780 1268 -488>,  	 F2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)<-- same note
printNotes: i= 13-<1734 1741  -7>,  	Bb2 --  1/4th..(252) <      > 	V264 - M252	=+12  %+5  	q=+12  %+5  	 1.527(72)
printNotes: i= 14-<1606 1611  -5>,  	Ak2 -- 1/16th..( 63) <      > 	V 61 - M 36	=+25  %+41  	q= -2  %-3  	 0.348(72)<-----%41   %3

printNotes: i= 15-<1611 1611    >,  	Ak2 --   1/8th.(108) <      > 	V108 - M108	=  +  %+0  	q=  +  %+0  	 0.621(72)<-- same note


silence
printNotes: i= 16-<   0   40 -40>,  	Slc --  1/8th..(126) <      > 	V134 - M 72	=+62  %+46  	q= +8  %+6  	 0.772(72)<-----%46   %6

printNotes: i= 17-<1589 1611 -22>,  	Ak2 --  1/16th.( 54) <      > 	V 52 - M 36	=+16  %+31  	q= -2  %-4  	 0.296(72)<-----%31   %4

printNotes: i= 18-<1462 1477 -15>,  	 G2 -- 1/64th..( 16) <      > 	V 17 - M 36	=-19  %-112  	q= +1  %+6  	 0.093(72)<-----%112   %6

printNotes: i= 19-<1606 1611  -5>,  	Ak2 --  1/32nd.( 27) <      > 	V 23 - M 36	=-13  %-57  	q= -4  %-17  	 0.128(72)<-----%57   %17

printNotes: i= 20-<1716 1741 -25>,  	Bb2 -- 1/64th..( 16) <      > 	V 15 - M 18	= -3  %-20  	q= -1  %-7  	 0.081(72)<-----%20   %7 <<

printNotes: i= 21-<1564 1611 -47>,  	Ak2 -- 1/32nd..( 31) <      > 	V 30 - M 36	= -6  %-20  	q= -1  %-3  	 0.168(72)<-----%20   %3

printNotes: i= 22-<1496 1477  19>,  	 G2 -- 1/64th..( 16) <      > 	V 14 - M 18	= -4  %-29  	q= -2  %-14  	 0.075(72)<-----%29   %14 <<

printNotes: i= 23-<1618 1611   7>,  	Ak2 --  1/16th.( 54) <      > 	V 50 - M 36	=+14  %+28  	q= -4  %-8  	 0.284(72)<-----%28   %8

printNotes: i= 24-<1696 1741 -45>,  	Bb2 --   1/4th.(216) <      > 	V212 - M108	=+104  %+49  	q= -4  %-2  	 1.225(72)<-----%49   %2

printNotes: i= 25-<1660 1611  49>,  	Ak2 --    128th(  4) <      > 	V  4 - M 36	=-32  %-800  	q=  +  %+0  	 0.017(72)<-----%800   %0 <<

printNotes: i= 26-<1448 1477 -29>,  	 G2 --   1/32nd( 18) <      > 	V 22 - M 36	=-14  %-64  	q= +4  %+18  	 0.122(72)<-----%64   %18

printNotes: i= 27-<1257 1268 -11>,  	 F2 --   1/8th.(108) <      > 	V 97 - M 72	=+25  %+26  	q=-11  %-11  	 0.557(72)<-----%26   %11



silence
printNotes: i= 28-<   0   40 -40>,  	Slc --    half.(431) <-2*sela> 	V388 - M431	=-43  %-11  	q=-43  %-11  	 2.247(72)
printNotes: i= 29-< 488 1268 -780>,  	 F2 --  1/16th.( 54) <      > 	V 52 - M 54	= -2  %-4  	q= -2  %-4  	 0.296(72)
printNotes: i= 30-<1299 1268  31>,  	 F2 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(72)<-- same note
printNotes: i= 31-<1727 1741 -14>,  	Bb2 --   1/8th.(108) <      > 	V110 - M 72	=+38  %+35  	q= +2  %+2  	 0.633(72)<-----%35   %2

