	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1206 1264 -58>,  	 F2 --  1/16th.( 51) <      > 	V 54 - M 69	=-15  %-28  	q= +3  %+6  	 0.308(75)<-----%28   %6

printNotes: i=  2-<1675 1743 -68>,  	Bb2 --  1/32nd.( 26) <      > 	V 25 - M 34	= -9  %-36  	q= -1  %-4  	 0.139(75)<-----%36   %4

printNotes: i=  3-<1606 1604   2>,  	Ak2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(75)
printNotes: i=  4-<1743 1743    >,  	Bb2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(75)
printNotes: i=  5-<1591 1604 -13>,  	Ak2 --    1/4th(137) <      > 	V139 - M137	= +2  %+1  	q= +2  %+1  	 0.801(75)
printNotes: i=  6-<1529 1472  57>,  	 G2 --  1/32nd.( 26) <      > 	V 27 - M 34	= -7  %-26  	q= +1  %+4  	 0.151(75)<-----%26   %4

printNotes: i=  7-<1748 1743   5>,  	Bb2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)
printNotes: i=  8-<1732 1604 128>,  	Ak2 --  1/8th..(120) <      > 	V124 - M 69	=+55  %+44  	q= +4  %+3  	 0.714(75)<-----%44   %3



silence
printNotes: i=  9-<   0   40 -40>,  	Slc --   1/8th.(103) <      > 	V111 - M137	=-26  %-23  	q= +8  %+7  	 0.639(75)<-----%23   %7

printNotes: i= 10-< 978 1604 -626>,  	Ak2 --    1/8th( 69) <      > 	V 78 - M 34	=+44  %+56  	q= +9  %+12  	 0.447(75)<-----%56   %12

printNotes: i= 11-<1514 1743 -229>,  	Bb2 --  1/16th.( 51) <      > 	V 53 - M 34	=+19  %+36  	q= +2  %+4  	 0.302(75)<-----%36   %4

printNotes: i= 12-<1961 1957   4>,  	 C3 --   1/4th.(206) <-1*sela> 	V173 - M206	=-33  %-19  	q=-33  %-19  	 0.998(75)
printNotes: i= 13-<2132 2148 -16>,  	 D3 --  1/32nd.( 26) <      > 	V 27 - M 46	=-19  %-70  	q= +1  %+4  	 0.151(75)<-----%70   %4

printNotes: i= 14-<1961 1957   4>,  	 C3 --  1/16th.( 51) <      > 	V 52 - M 46	= +6  %+12  	q= +1  %+2  	 0.296(75)<-----%12   %2

printNotes: i= 15-<2112 2148 -36>,  	 D3 -- 1/32nd..( 30) <      > 	V 28 - M 46	=-18  %-64  	q= -2  %-7  	 0.157(75)<-----%64   %7

printNotes: i= 16-<1957 1957    >,  	 C3 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(75)<-----%21   %7 <<

