	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1298 1275  23>,  	 F2 -- 1/32nd..( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(97)
printNotes: i=  2-<1424 1475 -51>,  	 G2 --  1/16th.( 40) <      > 	V 34 - M 27	= +7  %+21  	q= -6  %-18  	 0.192(97)
printNotes: i=  3-<1578 1601 -23>,  	Ak2 --   1/16th( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(97)
printNotes: i=  4-<1731 1746 -15>,  	Bb2 --  1/16th.( 40) <      > 	V 35 - M 40	= -5  %-14  	q= -5  %-14  	 0.197(97)
printNotes: i=  5-<1955 1957  -2>,  	 C3 --     half(214) <2*sela> 	V251 - M214	=+37  %+15  	q=+37  %+15  	 1.451(97)
printNotes: i=  6-<1754 1746   8>,  	Bb2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(97)
printNotes: i=  7-<1957 1957    >,  	 C3 --   half..(374) <      > 	V378 - M374	= +4  %+1  	q= +4  %+1  	 2.188(97)
printNotes: i=  8-<1741 1746  -5>,  	Bb2 --   1/32nd( 13) <      > 	V 13 - M 12	= +1  %+8  	q=  +  %+0  	 0.070(97)
printNotes: i=  9-<1949 1957  -8>,  	 C3 --    half.(320) <-2*sela> 	V284 - M240	=+44  %+15  	q=-36  %-13  	 1.643(97)
printNotes: i= 10-<1754 1746   8>,  	Bb2 --    1/8th( 53) <      > 	V 54 - M 53	= +1  %+2  	q= +1  %+2  	 0.308(97)
printNotes: i= 11-<1589 1601 -12>,  	Ak2 --  1/16th.( 40) <      > 	V 34 - M 27	= +7  %+21  	q= -6  %-18  	 0.192(97)
printNotes: i= 12-<1726 1746 -20>,  	Bb2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(97)
printNotes: i= 13-<1493 1475  18>,  	 G2 --  1/16th.( 40) <      > 	V 34 - M 27	= +7  %+21  	q= -6  %-18  	 0.192(97)
printNotes: i= 14-<1628 1601  27>,  	Ak2 --   1/16th( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(97)
printNotes: i= 15-<1763 1746  17>,  	Bb2 --  1/16th.( 40) <      > 	V 38 - M 40	= -2  %-5  	q= -2  %-5  	 0.215(97)
printNotes: i= 16-<1971 1957  14>,  	 C3 --    1/8th( 53) <      > 	V 58 - M 53	= +5  %+9  	q= +5  %+9  	 0.331(97)
printNotes: i= 17-<2145 2162 -17>,  	 D3 --  1/32nd.( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(97)
printNotes: i= 18-<1979 1957  22>,  	 C3 --   1/16th( 27) <      > 	V 29 - M 27	= +2  %+7  	q= +2  %+7  	 0.163(97)
printNotes: i= 19-<2145 2162 -17>,  	 D3 --  1/32nd.( 20) <      > 	V 17 - M 20	= -3  %-18  	q= -3  %-18  	 0.093(97)
printNotes: i= 20-<1974 1957  17>,  	 C3 --   1/16th( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(97)


silence
printNotes: i= 21-<   0   40 -40>,  	Slc --   1/4th.(160) <-1*sela> 	V139 - M165	=-26  %-19  	q=-21  %-15  	 0.801(97)<-----%19   %15

