	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1258 1257   1>,  	 F2 -- 1/16th..( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(142)
printNotes: i=  2-<1743 1751  -8>,  	Bb2 --   half..(255) <1*sela> 	V266 - M255	=+11  %+4  	q=+11  %+4  	 1.538(142)
printNotes: i=  3-<1983 1957  26>,  	 C3 --  1/16th.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(142)
printNotes: i=  4-<2070 2170 -100>,  	 D3 --  1/64th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(142)
printNotes: i=  5-<1955 1957  -2>,  	 C3 -- 1/16th..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(142)
printNotes: i=  6-<2175 2170   5>,  	 D3 --  1/32nd.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(142)
printNotes: i=  7-<1951 1957  -6>,  	 C3 --    whole(292) <2*sela> 	V317 - M292	=+25  %+8  	q=+25  %+8  	 1.834(142)
printNotes: i=  8-<2236 2243  -7>,  	Eb3 -- 1/32nd..( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(142)
printNotes: i=  9-<1861 1957 -96>,  	 C3 --    1/8th( 36) <      > 	V 35 - M 36	= -1  %-3  	q= -1  %-3  	 0.197(142)


silence
printNotes: i= 10-<1753   40 1713>,  	Slc --   1/64th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(142)
printNotes: i= 11-<1755 1751   4>,  	Bb2 --    whole(292) <2*sela> 	V316 - M319	= -3  %-1  	q=+24  %+8  	 1.829(142)
printNotes: i= 12-<1951 1957  -6>,  	 C3 --  1/16th.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(142)
printNotes: i= 13-<2082 2170 -88>,  	 D3 --  1/64th.(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(142)
printNotes: i= 14-<1985 1957  28>,  	 C3 --  1/16th.( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(142)
printNotes: i= 15-<2147 2170 -23>,  	 D3 --  1/32nd.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(142)
printNotes: i= 16-<1965 1957   8>,  	 C3 --  1/8th..( 64) <      > 	V 66 - M 64	= +2  %+3  	q= +2  %+3  	 0.377(142)
printNotes: i= 17-<1848 2452 -604>,  	 F3 --  1/32nd.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(142)
printNotes: i= 18-<1780 1957 -177>,  	 C3 -- 1/16th..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(142)


silence
printNotes: i= 19-<   0   40 -40>,  	Slc --     half(146) <      > 	V146 - M109	=+37  %+25  	q=  +  %+0  	 0.842(142)<-----%25   %0

printNotes: i= 20-<1453 1457  -4>,  	 G2 --   1/32nd(  9) <      > 	V 10 - M  9	= +1  %+10  	q= +1  %+10  	 0.052(142)
