	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1622 1562  60>,  	Ab2 --  1/16th.( 44) <      > 	V 46 - M 44	= +2  %+4  	q= +2  %+4  	 0.261(87)
printNotes: i=  2-<2445 2462 -17>,  	 F3 --    whole(473) <      > 	V461 - M473	=-12  %-3  	q=-12  %-3  	 2.670(87)
printNotes: i=  3-<2321 2270  51>,  	Eb3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(87)
printNotes: i=  4-<2469 2462   7>,  	 F3 --    whole(473) <-1*sela> 	V450 - M473	=-23  %-5  	q=-23  %-5  	 2.606(87)
printNotes: i=  5-<2376 2355  21>,  	 E3 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(87)
printNotes: i=  6-<2462 2462    >,  	 F3 --   1/4th.(178) <      > 	V180 - M178	= +2  %+1  	q= +2  %+1  	 1.039(87)
printNotes: i=  7-<2567 2681 -114>,  	 G3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i=  8-<2381 2462 -81>,  	 F3 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i=  9-<2287 2270  17>,  	Eb3 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(87)
printNotes: i= 10-<2396 2462 -66>,  	 F3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 11-<2182 2185  -3>,  	 D3 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 12-<2371 2462 -91>,  	 F3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 13-<1980 1972   8>,  	 C3 --  1/16th.( 44) <      > 	V 43 - M 44	= -1  %-2  	q= -1  %-2  	 0.244(87)
printNotes: i= 14-<2267 2315 -48>,  	Ek3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 15-<2183 2185  -2>,  	 D3 --   1/4th.(178) <-1*sela> 	V159 - M178	=-19  %-12  	q=-19  %-12  	 0.917(87)
printNotes: i= 16-<2252 2270 -18>,  	Eb3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)
printNotes: i= 17-<2185 2185    >,  	 D3 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 18-<2249 2270 -21>,  	Eb3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 19-<1970 1972  -2>,  	 C3 -- 1/16th..( 52) <      > 	V 49 - M 52	= -3  %-6  	q= -3  %-6  	 0.279(87)
printNotes: i= 20-<2240 2462 -222>,  	 F3 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(87)


silence
printNotes: i= 21-<  21   40 -19>,  	Slc --    half.(355) <      > 	V342 - M355	=-13  %-4  	q=-13  %-4  	 1.980(87)
printNotes: i= 22-<1441 1462 -21>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(87)
printNotes: i= 23-<1933 1972 -39>,  	 C3 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(87)
printNotes: i= 24-<2162 2185 -23>,  	 D3 --  1/16th.( 44) <      > 	V 47 - M 44	= +3  %+6  	q= +3  %+6  	 0.267(87)
printNotes: i= 25-<2363 2355   8>,  	 E3 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(87)
printNotes: i= 26-<2173 2185 -12>,  	 D3 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 27-<2227 2270 -43>,  	Eb3 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(87)
printNotes: i= 28-<1954 1972 -18>,  	 C3 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 29-<2231 2270 -39>,  	Eb3 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(87)
printNotes: i= 30-<2180 2185  -5>,  	 D3 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 31-<2299 2270  29>,  	Eb3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
