	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1838 1757  81>,  	Bb2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(80)
printNotes: i=  2-<2419 2454 -35>,  	 F3 --   1/8th.( 96) <-1*sela> 	V 80 - M 64	=+16  %+20  	q=-16  %-20  	 0.459(80)
printNotes: i=  3-<2242 2253 -11>,  	Eb3 --     half(257) <3*sela> 	V313 - M257	=+56  %+18  	q=+56  %+18  	 1.811(80)
printNotes: i=  4-<2442 2454 -12>,  	 F3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(80)
printNotes: i=  5-<2245 2253  -8>,  	Eb3 --   half..(450) <1*sela> 	V471 - M450	=+21  %+4  	q=+21  %+4  	 2.728(80)
printNotes: i=  6-<2180 2172   8>,  	 D3 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(80)
printNotes: i=  7-<2385 2454 -69>,  	 F3 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i=  8-<2257 2253   4>,  	Eb3 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(80)
printNotes: i=  9-<2423 2454 -31>,  	 F3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 10-<2089 2253 -164>,  	Eb3 --   1/8th.( 96) <-1*sela> 	V 80 - M 64	=+16  %+20  	q=-16  %-20  	 0.459(80)


silence
printNotes: i= 11-<   0   40 -40>,  	Slc -- 1/16th..( 56) <      > 	V 54 - M129	=-75  %-139  	q= -2  %-4  	 0.308(80)<-----%139   %4

printNotes: i= 12-<1728 1603 125>,  	Ak2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i= 13-<2203 2253 -50>,  	Eb3 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(80)
printNotes: i= 14-<2144 2172 -28>,  	 D3 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(80)
printNotes: i= 15-<2268 2253  15>,  	Eb3 --  1/32nd.( 24) <      > 	V 25 - M 24	= +1  %+4  	q= +1  %+4  	 0.139(80)
printNotes: i= 16-<2183 2172  11>,  	 D3 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(80)
printNotes: i= 17-<2447 2454  -7>,  	 F3 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(80)
