	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1560 1480  80>,  	 G2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(78)
printNotes: i=  2-<2291 2464 -173>,  	 F3 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(78)
printNotes: i=  3-<2236 2160  76>,  	 D3 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(78)
printNotes: i=  4-<2460 2464  -4>,  	 F3 --  1/16th.( 50) <      > 	V 42 - M 50	= -8  %-19  	q= -8  %-19  	 0.238(78)
printNotes: i=  5-<2541 2749 -208>,  	Ab3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i=  6-<2283 2243  40>,  	Eb3 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)
printNotes: i=  7-<2464 2464    >,  	 F3 --    1/8th( 66) <      > 	V 69 - M 66	= +3  %+4  	q= +3  %+4  	 0.395(78)
printNotes: i=  8-<2720 2749 -29>,  	Ab3 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(78)
printNotes: i=  9-<2264 2243  21>,  	Eb3 --    1/4th(133) <      > 	V128 - M133	= -5  %-4  	q= -5  %-4  	 0.737(78)
printNotes: i= 10-<2472 2464   8>,  	 F3 --   1/8th.( 99) <      > 	V102 - M 99	= +3  %+3  	q= +3  %+3  	 0.586(78)
printNotes: i= 11-<2722 2749 -27>,  	Ab3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 12-<2279 2243  36>,  	Eb3 --    1/4th(133) <      > 	V130 - M133	= -3  %-2  	q= -3  %-2  	 0.749(78)
printNotes: i= 13-<2460 2464  -4>,  	 F3 --    1/4th(133) <      > 	V127 - M133	= -6  %-5  	q= -6  %-5  	 0.731(78)
printNotes: i= 14-<2771 2749  22>,  	Ab3 -- 1/64th..( 15) <      > 	V 14 - M 12	= +2  %+14  	q= -1  %-7  	 0.075(78)
printNotes: i= 15-<2671 2660  11>,  	 G3 --   1/8th.( 99) <      > 	V 84 - M 99	=-15  %-18  	q=-15  %-18  	 0.482(78)
printNotes: i= 16-<2261 2915 -654>,  	Bb3 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)
printNotes: i= 17-<2390 2660 -270>,  	 G3 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 18-<2848 2915 -67>,  	Bb3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 19-<2771 2749  22>,  	Ab3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 20-<2870 2915 -45>,  	Bb3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 21-<2685 2660  25>,  	 G3 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)
printNotes: i= 22-<2901 2915 -14>,  	Bb3 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 23-<2669 2660   9>,  	 G3 --  1/16th.( 50) <      > 	V 49 - M 50	= -1  %-2  	q= -1  %-2  	 0.279(78)
printNotes: i= 24-<2840 2915 -75>,  	Bb3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(78)
printNotes: i= 25-<2538 2464  74>,  	 F3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 26-<2645 2660 -15>,  	 G3 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(78)
printNotes: i= 27-<2757 2749   8>,  	Ab3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 28-<2264 2464 -200>,  	 F3 --    1/8th( 66) <      > 	V 78 - M 66	=+12  %+15  	q=+12  %+15  	 0.447(78)
printNotes: i= 29-<2718 2749 -31>,  	Ab3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 30-<2658 2660  -2>,  	 G3 --   1/4th.(199) <-1*sela> 	V167 - M199	=-32  %-19  	q=-32  %-19  	 0.964(78)
printNotes: i= 31-<2508 2464  44>,  	 F3 -- 1/64th..( 15) <      > 	V 14 - M 12	= +2  %+14  	q= -1  %-7  	 0.075(78)
printNotes: i= 32-<2699 2749 -50>,  	Ab3 -- 1/64th..( 15) <      > 	V 14 - M 12	= +2  %+14  	q= -1  %-7  	 0.075(78)
printNotes: i= 33-<2620 2660 -40>,  	 G3 --   half..(464) <      > 	V475 - M464	=+11  %+2  	q=+11  %+2  	 2.752(78)


silence
printNotes: i= 34-<   0   40 -40>,  	Slc --    whole(531) <      > 	V515 - M663	=-148  %-29  	q=-16  %-3  	 2.984(78)<-----%29   %3

printNotes: i= 35-<1832 1730 102>,  	Bb2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 36-<2167 2243 -76>,  	Eb3 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 37-<2406 2464 -58>,  	 F3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 38-<1402 2243 -841>,  	Eb3 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)
printNotes: i= 39-<2271 2464 -193>,  	 F3 --  1/8th..(116) <      > 	V117 - M116	= +1  %+1  	q= +1  %+1  	 0.673(78)
printNotes: i= 40-<2630 2660 -30>,  	 G3 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(78)


silence
printNotes: i= 41-<   0   40 -40>,  	Slc --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(78)
printNotes: i= 42-<1785 2464 -679>,  	 F3 --    1/8th( 66) <      > 	V 79 - M 66	=+13  %+16  	q=+13  %+16  	 0.453(78)
printNotes: i= 43-<1969 2243 -274>,  	Eb3 --  1/8th..(116) <      > 	V117 - M116	= +1  %+1  	q= +1  %+1  	 0.673(78)
printNotes: i= 44-<1999 2464 -465>,  	 F3 --  1/8th..(116) <      > 	V110 - M116	= -6  %-5  	q= -6  %-5  	 0.633(78)


silence
printNotes: i= 45-<   0   40 -40>,  	Slc --   1/4th.(199) <      > 	V199 - M199	=  +  %+0  	q=  +  %+0  	 1.149(78)
printNotes: i= 46-<2244 2243   1>,  	Eb3 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 47-<2039 2464 -425>,  	 F3 --  1/16th.( 50) <      > 	V 43 - M 50	= -7  %-16  	q= -7  %-16  	 0.244(78)
printNotes: i= 48-<1756 2243 -487>,  	Eb3 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(78)
printNotes: i= 49-<2453 2464 -11>,  	 F3 --  1/16th.( 50) <      > 	V 42 - M 33	= +9  %+21  	q= -8  %-19  	 0.238(78)
printNotes: i= 50-<2312 2464 -152>,  	 F3 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)<-- same note
printNotes: i= 51-<2465 2464   1>,  	 F3 --   1/8th.( 99) <      > 	V 99 - M 99	=  +  %+0  	q=  +  %+0  	 0.569(78)<-- same note
printNotes: i= 52-<2435 2915 -480>,  	Bb3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)


silence
printNotes: i= 53-<1072   40 1032>,  	Slc --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(78)
printNotes: i= 54-<2489 2464  25>,  	 F3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 55-<2749 2749    >,  	Ab3 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 56-<2693 2660  33>,  	 G3 --    1/8th( 66) <      > 	V 65 - M 66	= -1  %-2  	q= -1  %-2  	 0.372(78)
printNotes: i= 57-<2853 2915 -62>,  	Bb3 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(78)
printNotes: i= 58-<2664 2660   4>,  	 G3 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)
printNotes: i= 59-<2483 2464  19>,  	 F3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 60-<2626 2660 -34>,  	 G3 --   1/64th(  8) <      > 	V 10 - M  8	= +2  %+20  	q= +2  %+20  	 0.052(78)
printNotes: i= 61-<2491 2464  27>,  	 F3 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 62-<2752 2749   3>,  	Ab3 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 63-<2462 2464  -2>,  	 F3 -- 1/16th..( 58) <      > 	V 56 - M 58	= -2  %-4  	q= -2  %-4  	 0.319(78)
printNotes: i= 64-<2756 2749   7>,  	Ab3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 65-<2661 2660   1>,  	 G3 --    1/4th(133) <      > 	V128 - M133	= -5  %-4  	q= -5  %-4  	 0.737(78)
printNotes: i= 66-<2536 2464  72>,  	 F3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 67-<2676 2660  16>,  	 G3 --     half(265) <      > 	V281 - M265	=+16  %+6  	q=+16  %+6  	 1.625(78)
printNotes: i= 68-<2904 2915 -11>,  	Bb3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 69-<2679 2660  19>,  	 G3 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(78)


silence
printNotes: i= 70-<   0   40 -40>,  	Slc --    whole(531) <1*sela> 	V563 - M271	=+292  %+52  	q=+32  %+6  	 3.262(78)<-----%52   %6

printNotes: i= 71-<1630 1560  70>,  	Ab2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 72-<1967 1940  27>,  	 C3 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)
printNotes: i= 73-<2452 2660 -208>,  	 G3 --     half(265) <      > 	V277 - M265	=+12  %+4  	q=+12  %+4  	 1.602(78)
printNotes: i= 74-<2666 2660   6>,  	 G3 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)<-- same note


silence
printNotes: i= 75-<   0   40 -40>,  	Slc --    1/4th(133) <1*sela> 	V159 - M 66	=+93  %+58  	q=+26  %+16  	 0.917(78)<-----%58   %16

printNotes: i= 76-<2632 2660 -28>,  	 G3 --    1/8th( 66) <      > 	V 70 - M 66	= +4  %+6  	q= +4  %+6  	 0.401(78)
printNotes: i= 77-<2665 2660   5>,  	 G3 -- 1/16th..( 58) <      > 	V 58 - M 58	=  +  %+0  	q=  +  %+0  	 0.331(78)<-- same note
printNotes: i= 78-<2735 2749 -14>,  	Ab3 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(78)
printNotes: i= 79-<2675 2660  15>,  	 G3 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)
printNotes: i= 80-<2734 2749 -15>,  	Ab3 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(78)


silence
printNotes: i= 81-<   0   40 -40>,  	Slc -- 1/64th..( 15) <      > 	V 14 - M 12	= +2  %+14  	q= -1  %-7  	 0.075(78)
printNotes: i= 82-<2450 2464 -14>,  	 F3 --    1/8th( 66) <      > 	V 66 - M 66	=  +  %+0  	q=  +  %+0  	 0.377(78)
printNotes: i= 83-<2462 2464  -2>,  	 F3 --   1/8th.( 99) <      > 	V 98 - M 99	= -1  %-1  	q= -1  %-1  	 0.563(78)<-- same note


silence
printNotes: i= 84-<   0   40 -40>,  	Slc --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(78)
printNotes: i= 85-<2475 2464  11>,  	 F3 --   1/8th.( 99) <      > 	V 91 - M 99	= -8  %-9  	q= -8  %-9  	 0.522(78)
printNotes: i= 86-<2141 2915 -774>,  	Bb3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 87-<2316 2464 -148>,  	 F3 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)
printNotes: i= 88-<2626 2749 -123>,  	Ab3 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 89-<1819 2464 -645>,  	 F3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 90-<2629 2660 -31>,  	 G3 --    1/4th(133) <      > 	V127 - M133	= -6  %-5  	q= -6  %-5  	 0.731(78)
printNotes: i= 91-<2464 2464    >,  	 F3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 92-<2598 2660 -62>,  	 G3 --   1/4th.(199) <-1*sela> 	V177 - M199	=-22  %-12  	q=-22  %-12  	 1.022(78)


silence
printNotes: i= 93-<   0   40 -40>,  	Slc --   1/8th.( 99) <      > 	V 99 - M133	=-34  %-34  	q=  +  %+0  	 0.569(78)<-----%34   %0

printNotes: i= 94-<1914 1610 304>,  	Ak2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 95-<2755 2915 -160>,  	Bb3 --  1/16th.( 50) <      > 	V 45 - M 50	= -5  %-11  	q= -5  %-11  	 0.255(78)
printNotes: i= 96-<2752 2749   3>,  	Ab3 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)
printNotes: i= 97-<2685 2660  25>,  	 G3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 98-<2902 2915 -13>,  	Bb3 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(78)
printNotes: i= 99-<2726 2749 -23>,  	Ab3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)
printNotes: i= 100-<2915 2915    >,  	Bb3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 101-<2691 2660  31>,  	 G3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 102-<2532 2749 -217>,  	Ab3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 103-<2128 2464 -336>,  	 F3 -- 1/64th..( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(78)
printNotes: i= 104-<2662 2660   2>,  	 G3 --    1/4th(133) <1*sela> 	V154 - M133	=+21  %+14  	q=+21  %+14  	 0.888(78)
printNotes: i= 105-< 969 2749 -1780>,  	Ab3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 106-<2661 2660   1>,  	 G3 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(78)
printNotes: i= 107-<2468 2464   4>,  	 F3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 108-<2660 2660    >,  	 G3 --  1/32nd.( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(78)
printNotes: i= 109-<2762 2749  13>,  	Ab3 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(78)
printNotes: i= 110-<2887 2915 -28>,  	Bb3 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(78)
printNotes: i= 111-<2768 2749  19>,  	Ab3 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)
printNotes: i= 112-<2655 2660  -5>,  	 G3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)
printNotes: i= 113-<2747 2749  -2>,  	Ab3 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(78)
printNotes: i= 114-<2941 2915  26>,  	Bb3 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(78)
printNotes: i= 115-<2700 2660  40>,  	 G3 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(78)
printNotes: i= 116-<2615 2915 -300>,  	Bb3 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 117-<2183 2660 -477>,  	 G3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i= 118-<2740 2749  -9>,  	Ab3 -- 1/64th..( 15) <      > 	V 13 - M 12	= +1  %+8  	q= -2  %-15  	 0.070(78)
printNotes: i= 119-<2668 2660   8>,  	 G3 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 120-<3273 2749 524>,  	Ab3 --   1/16th( 33) <      > 	V 38 - M 33	= +5  %+13  	q= +5  %+13  	 0.215(78)
printNotes: i= 121-<3601 2915 686>,  	Bb3 --   1/16th( 33) <      > 	V 40 - M 33	= +7  %+18  	q= +7  %+18  	 0.226(78)
printNotes: i= 122-<2750 2749   1>,  	Ab3 --    1/8th( 66) <      > 	V 76 - M 66	=+10  %+13  	q=+10  %+13  	 0.435(78)
printNotes: i= 123-<2872 2915 -43>,  	Bb3 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(78)
printNotes: i= 124-<2759 2749  10>,  	Ab3 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(78)
printNotes: i= 125-<2128 2915 -787>,  	Bb3 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(78)
printNotes: i= 126-<2918 2915   3>,  	Bb3 -- 1/32nd..( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(78)<-- same note
printNotes: i= 127-<2776 2749  27>,  	Ab3 -- 1/32nd..( 29) <      > 	V 27 - M 25	= +2  %+7  	q= -2  %-7  	 0.151(78)
printNotes: i= 128-<2666 2660   6>,  	 G3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(78)
printNotes: i= 129-<2726 2749 -23>,  	Ab3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(78)
printNotes: i= 130-<2462 2464  -2>,  	 F3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(78)
printNotes: i= 131-<2663 2660   3>,  	 G3 --    1/8th( 66) <      > 	V 75 - M 66	= +9  %+12  	q= +9  %+12  	 0.430(78)
