	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1853 1618 235>,  	Ak1 --  1/16th.( 45) <      > 	V 44 - M 45	= -1  %-2  	q= -1  %-2  	 0.250(87)
printNotes: i=  2-<2651 2668 -17>,  	 G2 --    half.(356) <      > 	V370 - M356	=+14  %+4  	q=+14  %+4  	 2.142(87)
printNotes: i=  3-<2526 2468  58>,  	 F2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(87)
printNotes: i=  4-<2654 2668 -14>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i=  5-<2774 2787 -13>,  	Ab2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(87)
printNotes: i=  6-<2663 2668  -5>,  	 G2 --    whole(475) <1*sela> 	V503 - M475	=+28  %+6  	q=+28  %+6  	 2.914(87)
printNotes: i=  7-<2527 2468  59>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i=  8-<2661 2668  -7>,  	 G2 --     half(238) <      > 	V235 - M238	= -3  %-1  	q= -3  %-1  	 1.358(87)
printNotes: i=  9-<2911 2942 -31>,  	Bb2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i= 10-<2808 2787  21>,  	Ab2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(87)
printNotes: i= 11-<2402 2942 -540>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(87)
printNotes: i= 12-<2676 2668   8>,  	 G2 --  1/16th.( 45) <      > 	V 48 - M 45	= +3  %+6  	q= +3  %+6  	 0.273(87)
printNotes: i= 13-<2774 2820 -46>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 14-<1956 2468 -512>,  	 F2 --   1/8th.( 89) <      > 	V 89 - M 89	=  +  %+0  	q=  +  %+0  	 0.511(87)


silence
printNotes: i= 15-<   0   40 -40>,  	Slc --   1/4th.(178) <      > 	V168 - M125	=+43  %+26  	q=-10  %-6  	 0.969(87)<-----%26   %6

printNotes: i= 16-<1640 1618  22>,  	Ak1 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 17-<1988 1947  41>,  	 C2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 18-<2465 2468  -3>,  	 F2 --  1/16th.( 45) <      > 	V 42 - M 45	= -3  %-7  	q= -3  %-7  	 0.238(87)
printNotes: i= 19-<2877 2942 -65>,  	Bb2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(87)
printNotes: i= 20-<2820 2820    >,  	Ak2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 21-<2949 2942   7>,  	Bb2 --  1/16th.( 45) <      > 	V 40 - M 45	= -5  %-12  	q= -5  %-12  	 0.226(87)
printNotes: i= 22-<2805 2820 -15>,  	Ak2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
printNotes: i= 23-<2939 2942  -3>,  	Bb2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(87)
printNotes: i= 24-<3114 3168 -54>,  	 C3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 25-<2817 2787  30>,  	Ab2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(87)
printNotes: i= 26-<3075 3168 -93>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(87)
printNotes: i= 27-<2801 2787  14>,  	Ab2 --  1/16th.( 45) <      > 	V 42 - M 45	= -3  %-7  	q= -3  %-7  	 0.238(87)
printNotes: i= 28-<2685 2668  17>,  	 G2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(87)
printNotes: i= 29-<3093 2942 151>,  	Bb2 --     half(238) <3*sela> 	V290 - M238	=+52  %+18  	q=+52  %+18  	 1.678(87)
printNotes: i= 30-<4041 2870 1171>,  	 A2 --  1/16th.( 45) <      > 	V 39 - M 45	= -6  %-15  	q= -6  %-15  	 0.221(87)
printNotes: i= 31-<4165 2942 1223>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 32-<3890 2668 1222>,  	 G2 --    1/4th(119) <      > 	V124 - M119	= +5  %+4  	q= +5  %+4  	 0.714(87)
printNotes: i= 33-<2655 2942 -287>,  	Bb2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(87)
printNotes: i= 34-<4012 2787 1225>,  	Ab2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(87)
