	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1513 1481  32>,  	 G2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(79)
printNotes: i=  2-<2083 2154 -71>,  	 D3 --  1/16th.( 49) <      > 	V 41 - M 33	= +8  %+20  	q= -8  %-20  	 0.232(79)
printNotes: i=  3-<2135 2154 -19>,  	 D3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(79)<-- same note
printNotes: i=  4-<2202 2252 -50>,  	Eb3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)
printNotes: i=  5-<1974 1962  12>,  	 C3 --     half(263) <      > 	V275 - M263	=+12  %+4  	q=+12  %+4  	 1.591(79)
printNotes: i=  6-<2236 2252 -16>,  	Eb3 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i=  7-<2155 2154   1>,  	 D3 -- 1/16th..( 57) <      > 	V 53 - M 49	= +4  %+8  	q= -4  %-8  	 0.302(79)
printNotes: i=  8-<2227 2252 -25>,  	Eb3 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(79)
printNotes: i=  9-<2165 2154  11>,  	 D3 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(79)
printNotes: i= 10-<2414 2452 -38>,  	 F3 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 11-<2160 2154   6>,  	 D3 -- 1/16th..( 57) <      > 	V 57 - M 57	=  +  %+0  	q=  +  %+0  	 0.325(79)
printNotes: i= 12-<1921 1962 -41>,  	 C3 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(79)
printNotes: i= 13-<1744 1743   1>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(79)
