	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1144 1064  80>,  	Eb2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i=  2-<1226 1264 -38>,  	 F2 --   1/16th( 33) <      > 	V 41 - M 33	= +8  %+20  	q= +8  %+20  	 0.232(77)
printNotes: i=  3-<1675 1743 -68>,  	Bb2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(77)
printNotes: i=  4-<1606 1604   2>,  	Ak2 --   1/16th( 33) <      > 	V 37 - M 33	= +4  %+11  	q= +4  %+11  	 0.209(77)
printNotes: i=  5-<1743 1743    >,  	Bb2 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(77)
printNotes: i=  6-<1591 1604 -13>,  	Ak2 --    1/4th(133) <      > 	V139 - M133	= +6  %+4  	q= +6  %+4  	 0.801(77)
printNotes: i=  7-<1529 1472  57>,  	 G2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(77)
printNotes: i=  8-<1748 1743   5>,  	Bb2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(77)
printNotes: i=  9-<1622 1604  18>,  	Ak2 -- 1/16th..( 58) <      > 	V 57 - M 58	= -1  %-2  	q= -1  %-2  	 0.325(77)
printNotes: i= 10-<1919 1957 -38>,  	 C3 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(77)
printNotes: i= 11-<1670 1604  66>,  	Ak2 --  1/32nd.( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(77)
printNotes: i= 12-<1932 1957 -25>,  	 C3 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)


silence
printNotes: i= 13-<   0   40 -40>,  	Slc --  1/8th..(117) <      > 	V111 - M133	=-22  %-20  	q= -6  %-5  	 0.639(77)<-----%20   %5

printNotes: i= 14-<1290 1264  26>,  	 F2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(77)
printNotes: i= 15-< 773 1604 -831>,  	Ak2 --  1/16th.( 50) <      > 	V 47 - M 50	= -3  %-6  	q= -3  %-6  	 0.267(77)
printNotes: i= 16-<1514 1743 -229>,  	Bb2 --  1/16th.( 50) <      > 	V 53 - M 50	= +3  %+6  	q= +3  %+6  	 0.302(77)
printNotes: i= 17-<1961 1957   4>,  	 C3 --   1/4th.(200) <-1*sela> 	V173 - M200	=-27  %-16  	q=-27  %-16  	 0.998(77)
printNotes: i= 18-<2132 2148 -16>,  	 D3 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(77)
printNotes: i= 19-<1961 1957   4>,  	 C3 --  1/16th.( 50) <      > 	V 52 - M 50	= +2  %+4  	q= +2  %+4  	 0.296(77)
printNotes: i= 20-<2112 2148 -36>,  	 D3 -- 1/32nd..( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(77)
printNotes: i= 21-<1957 1957    >,  	 C3 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 22-<2098 2148 -50>,  	 D3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 23-<1966 1957   9>,  	 C3 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 24-<2044 2148 -104>,  	 D3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(77)
printNotes: i= 25-<1955 1957  -2>,  	 C3 -- 1/32nd..( 29) <      > 	V 30 - M 29	= +1  %+3  	q= +1  %+3  	 0.168(77)
printNotes: i= 26-<1738 1743  -5>,  	Bb2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 27-<1886 1957 -71>,  	 C3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(77)
printNotes: i= 28-<1769 1743  26>,  	Bb2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 29-<1952 1957  -5>,  	 C3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 30-<1753 1743  10>,  	Bb2 --    1/4th(133) <1*sela> 	V163 - M133	=+30  %+18  	q=+30  %+18  	 0.940(77)
printNotes: i= 31-<1954 1957  -3>,  	 C3 --    1/8th( 67) <      > 	V 81 - M 67	=+14  %+17  	q=+14  %+17  	 0.464(77)
printNotes: i= 32-<1737 1743  -6>,  	Bb2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(77)
printNotes: i= 33-<1685 1957 -272>,  	 C3 --    1/8th( 67) <      > 	V 82 - M 67	=+15  %+18  	q=+15  %+18  	 0.470(77)


silence
printNotes: i= 34-<   0   40 -40>,  	Slc --   1/4th.(200) <-1*sela> 	V173 - M201	=-28  %-16  	q=-27  %-16  	 0.998(77)
printNotes: i= 35-<1605 1472 133>,  	 G2 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(77)
printNotes: i= 36-<2075 2148 -73>,  	 D3 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 37-<1220 1957 -737>,  	 C3 --   1/8th.(100) <      > 	V 95 - M100	= -5  %-5  	q= -5  %-5  	 0.546(77)
printNotes: i= 38-<1949 1957  -8>,  	 C3 --    1/8th( 67) <      > 	V 67 - M 67	=  +  %+0  	q=  +  %+0  	 0.383(77)<-- same note
printNotes: i= 39-<2246 2257 -11>,  	Eb3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 40-<2144 2148  -4>,  	 D3 --  1/4th..(234) <      > 	V218 - M200	=+18  %+8  	q=-16  %-7  	 1.260(77)
printNotes: i= 41-<1979 1957  22>,  	 C3 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 42-<2078 2148 -70>,  	 D3 --  1/64th.( 13) <      > 	V 10 - M 13	= -3  %-30  	q= -3  %-30  	 0.052(77)
printNotes: i= 43-<1980 1957  23>,  	 C3 --  1/32nd.( 25) <      > 	V 21 - M 25	= -4  %-19  	q= -4  %-19  	 0.116(77)
printNotes: i= 44-<2126 2148 -22>,  	 D3 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 45-<1987 1957  30>,  	 C3 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(77)
printNotes: i= 46-<2127 2148 -21>,  	 D3 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 47-<1975 1957  18>,  	 C3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 48-<1964 1957   7>,  	 C3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)<-- same note
printNotes: i= 49-<2156 2148   8>,  	 D3 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(77)
printNotes: i= 50-<1970 1957  13>,  	 C3 --   1/8th.(100) <      > 	V103 - M100	= +3  %+3  	q= +3  %+3  	 0.592(77)
printNotes: i= 51-<1740 1743  -3>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 52-<1943 1957 -14>,  	 C3 -- 1/64th..( 15) <      > 	V 15 - M 17	= -2  %-13  	q=  +  %+0  	 0.081(77)
printNotes: i= 53-<1748 1743   5>,  	Bb2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(77)
printNotes: i= 54-<1881 1957 -76>,  	 C3 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 55-<1750 1743   7>,  	Bb2 --   1/16th( 33) <      > 	V 31 - M 29	= +2  %+6  	q= -2  %-6  	 0.174(77)
printNotes: i= 56-<1968 1957  11>,  	 C3 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 57-<1751 1743   8>,  	Bb2 --  1/8th..(117) <      > 	V118 - M117	= +1  %+1  	q= +1  %+1  	 0.679(77)
printNotes: i= 58-<1642 1604  38>,  	Ak2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 59-<1733 1743 -10>,  	Bb2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(77)
printNotes: i= 60-<1626 1604  22>,  	Ak2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(77)
