	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1614 1821 -207>,  	 G2 --  1/16th.( 51) <      > 	V 44 - M 34	=+10  %+23  	q= -7  %-16  	 0.250(76)<-----%23   %16

printNotes: i=  2-<2275 2315 -40>,  	 C3 --    1/8th( 68) <      > 	V 78 - M 34	=+44  %+56  	q=+10  %+13  	 0.447(76)<-----%56   %13

printNotes: i=  3-<2096 2095   1>,  	Bb2 --     half(270) <      > 	V274 - M270	= +4  %+1  	q= +4  %+1  	 1.585(76)
printNotes: i=  4-<2003 2011  -8>,  	 A2 --   1/64th(  8) <      > 	V  8 - M 34	=-26  %-325  	q=  +  %+0  	 0.041(76)<-----%325   %0 <<

printNotes: i=  5-<2054 2095 -41>,  	Bb2 --   half..(473) <      > 	V476 - M372	=+104  %+22  	q= +3  %+1  	 2.757(76)<-----%22   %1



silence
printNotes: i=  6-<   0   40 -40>,  	Slc --    1/8th( 68) <      > 	V 70 - M135	=-65  %-93  	q= +2  %+3  	 0.401(76)<-----%93   %3

printNotes: i=  7-<1699 1609  90>,  	 F2 --  1/64th.( 13) <      > 	V 11 - M 17	= -6  %-55  	q= -2  %-18  	 0.058(76)<-----%55   %18 <<

printNotes: i=  8-<2058 2095 -37>,  	Bb2 --  1/32nd.( 25) <      > 	V 25 - M 34	= -9  %-36  	q=  +  %+0  	 0.139(76)<-----%36   %0

printNotes: i=  9-<2003 2011  -8>,  	 A2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 10-<2096 2095   1>,  	Bb2 --  1/16th.( 51) <      > 	V 51 - M 51	=  +  %+0  	q=  +  %+0  	 0.290(76)
printNotes: i= 11-<2205 2315 -110>,  	 C3 --  1/16th.( 51) <      > 	V 47 - M 68	=-21  %-45  	q= -4  %-9  	 0.267(76)<-----%45   %9

printNotes: i= 12-< 422 2507 -2085>,  	 D3 --  1/64th.( 13) <      > 	V 11 - M 11	=  +  %+0  	q= -2  %-18  	 0.058(76)
printNotes: i= 13-<2126 2095  31>,  	Bb2 --   1/32nd( 17) <      > 	V 20 - M 11	= +9  %+45  	q= +3  %+15  	 0.110(76)<-----%45   %15

printNotes: i= 14-<2081 2315 -234>,  	 C3 --   1/16th( 34) <      > 	V 39 - M 22	=+17  %+44  	q= +5  %+13  	 0.221(76)<-----%44   %13

printNotes: i= 15-<2115 2095  20>,  	Bb2 -- 1/32nd..( 30) <      > 	V 29 - M 23	= +6  %+21  	q= -1  %-3  	 0.163(76)<-----%21   %3

printNotes: i= 16-<2310 2315  -5>,  	 C3 --  1/16th.( 51) <      > 	V 49 - M 34	=+15  %+31  	q= -2  %-4  	 0.279(76)<-----%31   %4

printNotes: i= 17-<2553 2507  46>,  	 D3 --  1/64th.( 13) <      > 	V 14 - M 17	= -3  %-21  	q= +1  %+7  	 0.075(76)<-----%21   %7 <<

printNotes: i= 18-<1196 2095 -899>,  	Bb2 --    1/8th( 68) <      > 	V 65 - M 68	= -3  %-5  	q= -3  %-5  	 0.372(76)
printNotes: i= 19-<2306 2315  -9>,  	 C3 --    1/8th( 68) <      > 	V 69 - M 34	=+35  %+51  	q= +1  %+1  	 0.395(76)<-----%51   %1

printNotes: i= 20-<2401 2507 -106>,  	 D3 -- 1/64th..( 15) <      > 	V 15 - M 34	=-19  %-127  	q=  +  %+0  	 0.081(76)<-----%127   %0 <<

printNotes: i= 21-<2073 2095 -22>,  	Bb2 --   1/4th.(203) <      > 	V214 - M270	=-56  %-26  	q=+11  %+5  	 1.236(76)<-----%26   %5

printNotes: i= 22-<1379 2507 -1128>,  	 D3 --  1/64th.( 13) <      > 	V 11 - M 17	= -6  %-55  	q= -2  %-18  	 0.058(76)<-----%55   %18 <<

printNotes: i= 23-<2308 2315  -7>,  	 C3 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(76)
printNotes: i= 24-<2434 2507 -73>,  	 D3 --  1/64th.( 13) <      > 	V  9 - M 17	= -8  %-89  	q= -4  %-44  	 0.046(76)<-----%89   %44 <<

printNotes: i= 25-<2109 2095  14>,  	Bb2 --  1/16th.( 51) <      > 	V 48 - M 34	=+14  %+29  	q= -3  %-6  	 0.273(76)<-----%29   %6

printNotes: i= 26-<2245 2315 -70>,  	 C3 --  1/64th.( 13) <      > 	V 11 - M 34	=-23  %-209  	q= -2  %-18  	 0.058(76)<-----%209   %18 <<

printNotes: i= 27-<1963 2011 -48>,  	 A2 --     half(270) <1*sela> 	V294 - M203	=+91  %+31  	q=+24  %+8  	 1.701(76)<-----%31   %8



silence
printNotes: i= 28-<   0   40 -40>,  	Slc --  1/64th.( 13) <      > 	V 14 - M 68	=-54  %-386  	q= +1  %+7  	 0.075(76)<-----%386   %7 <<

printNotes: i= 29-<1823 1821   2>,  	 G2 --    1/8th( 68) <      > 	V 80 - M 68	=+12  %+15  	q=+12  %+15  	 0.459(76)
printNotes: i= 30-<1988 2011 -23>,  	 A2 -- 1/32nd..( 30) <      > 	V 31 - M 34	= -3  %-10  	q= +1  %+3  	 0.174(76)<-----%10   %3

printNotes: i= 31-<1640 2095 -455>,  	Bb2 -- 1/32nd..( 30) <      > 	V 29 - M 17	=+12  %+41  	q= -1  %-3  	 0.163(76)<-----%41   %3

printNotes: i= 32-< 844 2315 -1471>,  	 C3 --    128th(  4) <      > 	V  5 - M 17	=-12  %-240  	q= +1  %+20  	 0.023(76)<-----%240   %20 <<

printNotes: i= 33-<2011 2011    >,  	 A2 --  1/32nd.( 25) <      > 	V 26 - M 34	= -8  %-31  	q= +1  %+4  	 0.145(76)<-----%31   %4

printNotes: i= 34-<2002 2095 -93>,  	Bb2 --  1/16th.( 51) <      > 	V 46 - M 34	=+12  %+26  	q= -5  %-11  	 0.261(76)<-----%26   %11

printNotes: i= 35-< 855 2315 -1460>,  	 C3 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(76)<-----%31   %0 <<

printNotes: i= 36-<2061 2011  50>,  	 A2 --   1/16th( 34) <      > 	V 39 - M 34	= +5  %+13  	q= +5  %+13  	 0.221(76)
printNotes: i= 37-<2021 2095 -74>,  	Bb2 -- 1/16th..( 59) <      > 	V 58 - M 17	=+41  %+71  	q= -1  %-2  	 0.331(76)<-----%71   %2

printNotes: i= 38-<1334 2315 -981>,  	 C3 --  1/64th.( 13) <      > 	V 10 - M 17	= -7  %-70  	q= -3  %-30  	 0.052(76)<-----%70   %30 <<

printNotes: i= 39-<2016 2011   5>,  	 A2 --    1/4th(135) <      > 	V132 - M135	= -3  %-2  	q= -3  %-2  	 0.760(76)
printNotes: i= 40-<2352 2315  37>,  	 C3 --  1/64th.( 13) <      > 	V 14 - M  8	= +6  %+43  	q= +1  %+7  	 0.075(76)<-----%43   %7 <<

printNotes: i= 41-<2099 2095   4>,  	Bb2 --  1/32nd.( 25) <      > 	V 26 - M 17	= +9  %+35  	q= +1  %+4  	 0.145(76)<-----%35   %4

printNotes: i= 42-<1313 2315 -1002>,  	 C3 --    128th(  4) <      > 	V  5 - M  8	= -3  %-60  	q= +1  %+20  	 0.023(76)<-----%60   %20 <<

printNotes: i= 43-<2016 2011   5>,  	 A2 --  1/32nd.( 25) <      > 	V 25 - M 17	= +8  %+32  	q=  +  %+0  	 0.139(76)<-----%32   %0

printNotes: i= 44-<2099 2095   4>,  	Bb2 --  1/64th.( 13) <      > 	V 13 - M 17	= -4  %-31  	q=  +  %+0  	 0.070(76)<-----%31   %0 <<

printNotes: i= 45-<1648 1821 -173>,  	 G2 --    1/4th(135) <      > 	V135 - M135	=  +  %+0  	q=  +  %+0  	 0.778(76)


silence
printNotes: i= 46-< 231   40 191>,  	Slc --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(76)
printNotes: i= 47-<1990 2011 -21>,  	 A2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(76)
printNotes: i= 48-<1452 1821 -369>,  	 G2 -- 1/16th..( 59) <      > 	V 60 - M 51	= +9  %+15  	q= +1  %+2  	 0.342(76)<-----%15   %2

printNotes: i= 49-<2050 2095 -45>,  	Bb2 -- 1/32nd..( 30) <      > 	V 29 - M 45	=-16  %-55  	q= -1  %-3  	 0.163(76)<-----%55   %3

printNotes: i= 50-<1989 2011 -22>,  	 A2 --   1/16th( 34) <      > 	V 36 - M 23	=+13  %+36  	q= +2  %+6  	 0.203(76)<-----%36   %6

printNotes: i= 51-<2041 2095 -54>,  	Bb2 --  1/64th.( 13) <      > 	V 11 - M 23	=-12  %-109  	q= -2  %-18  	 0.058(76)<-----%109   %18 <<

printNotes: i= 52-<1836 1821  15>,  	 G2 --   1/16th( 34) <      > 	V 33 - M 22	=+11  %+33  	q= -1  %-3  	 0.186(76)<-----%33   %3

printNotes: i= 53-<1923 2011 -88>,  	 A2 --  1/64th.( 13) <      > 	V 10 - M 23	=-13  %-130  	q= -3  %-30  	 0.052(76)<-----%130   %30 <<

printNotes: i= 54-<1852 1609 243>,  	 F2 --    128th(  4) <      > 	V  3 - M 34	=-31  %-1033  	q= -1  %-33  	 0.012(76)<-----%1033   %33 <<



silence
printNotes: i= 55-<   0   40 -40>,  	Slc --   1/4th.(203) <-1*sela> 	V173 - M101	=+72  %+42  	q=-30  %-17  	 0.998(76)<-----%42   %17

printNotes: i= 56-<1961 2095 -134>,  	Bb2 --   1/8th.(101) <      > 	V 91 - M101	=-10  %-11  	q=-10  %-11  	 0.522(76)
printNotes: i= 57-<2000 2011 -11>,  	 A2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(76)
printNotes: i= 58-<2079 2095 -16>,  	Bb2 -- 1/32nd..( 30) <      > 	V 28 - M 45	=-17  %-61  	q= -2  %-7  	 0.157(76)<-----%61   %7

