	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1795 2101 -306>,  	Bb2 --  1/16th.( 46) <      > 	V 47 - M 30	=+17  %+36  	q= +1  %+2  	 0.267(85)<-----%36   %2

printNotes: i=  2-<2493 2585 -92>,  	Eb3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i=  3-<2479 2510 -31>,  	 D3 --   1/16th( 30) <      > 	V 30 - M 15	=+15  %+50  	q=  +  %+0  	 0.168(85)<-----%50   %0

printNotes: i=  4-<1854 2585 -731>,  	Eb3 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(85)
printNotes: i=  5-<2263 2322 -59>,  	 C3 --     half(244) <3*sela> 	V292 - M244	=+48  %+16  	q=+48  %+16  	 1.689(85)
printNotes: i=  6-<2600 2585  15>,  	Eb3 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(85)
printNotes: i=  7-<2522 2510  12>,  	 D3 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(85)
printNotes: i=  8-<2769 2822 -53>,  	 F3 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(85)<-----%25   %8 <<

printNotes: i=  9-<2586 2585   1>,  	Eb3 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

printNotes: i= 10-<2528 2510  18>,  	 D3 -- 1/32nd..( 27) <      > 	V 27 - M 30	= -3  %-11  	q=  +  %+0  	 0.151(85)<-----%11   %0

printNotes: i= 11-<2464 2322 142>,  	 C3 --    128th(  4) <      > 	V  1 - M 30	=-29  %-2900  	q= -3  %-300  	 0.000(85)<-----%2900   %300 <<

printNotes: i= 12-<   0 2101 -2101>,  	Bb2 --  1/16th.( 46) <      > 	V 43 - M 30	=+13  %+30  	q= -3  %-7  	 0.244(85)<-----%30   %7

printNotes: i= 13-<2212 2322 -110>,  	 C3 --    1/8th( 61) <      > 	V 60 - M 61	= -1  %-2  	q= -1  %-2  	 0.342(85)


silence
printNotes: i= 14-<  64   40  24>,  	Slc --     half(244) <      > 	V235 - M183	=+52  %+22  	q= -9  %-4  	 1.358(85)<-----%22   %4

printNotes: i= 15-<2412 2510 -98>,  	 D3 --    1/4th(122) <1*sela> 	V137 - M122	=+15  %+11  	q=+15  %+11  	 0.789(85)
printNotes: i= 16-<2832 2822  10>,  	 F3 --  1/64th.( 11) <      > 	V 12 - M 30	=-18  %-150  	q= +1  %+8  	 0.064(85)<-----%150   %8 <<

printNotes: i= 17-<2572 2585 -13>,  	Eb3 --    1/8th( 61) <      > 	V 66 - M 61	= +5  %+8  	q= +5  %+8  	 0.377(85)
printNotes: i= 18-<2783 2822 -39>,  	 F3 --  1/16th.( 46) <      > 	V 41 - M 61	=-20  %-49  	q= -5  %-12  	 0.232(85)<-----%49   %12

printNotes: i= 19-<2645 2585  60>,  	Eb3 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(85)
printNotes: i= 20-<2525 2510  15>,  	 D3 --   1/16th( 30) <      > 	V 36 - M 61	=-25  %-69  	q= +6  %+17  	 0.203(85)<-----%69   %17

printNotes: i= 21-<2583 2585  -2>,  	Eb3 --  1/16th.( 46) <      > 	V 38 - M 61	=-23  %-61  	q= -8  %-21  	 0.215(85)<-----%61   %21

printNotes: i= 22-<2538 2510  28>,  	 D3 -- 1/32nd..( 27) <      > 	V 26 - M 61	=-35  %-135  	q= -1  %-4  	 0.145(85)<-----%135   %4

printNotes: i= 23-< 787 2322 -1535>,  	 C3 --   1/16th( 30) <      > 	V 30 - M 41	=-11  %-37  	q=  +  %+0  	 0.168(85)<-----%37   %0

printNotes: i= 24-<2333 2510 -177>,  	 D3 --  1/16th.( 46) <      > 	V 40 - M 41	= -1  %-2  	q= -6  %-15  	 0.226(85)
printNotes: i= 25-<2180 2322 -142>,  	 C3 --   1/16th( 30) <      > 	V 35 - M 41	= -6  %-17  	q= +5  %+14  	 0.197(85)
printNotes: i= 26-<1989 2101 -112>,  	Bb2 --  1/32nd.( 23) <      > 	V 20 - M 41	=-21  %-105  	q= -3  %-15  	 0.110(85)<-----%105   %15

printNotes: i= 27-<2318 2322  -4>,  	 C3 --  1/16th.( 46) <      > 	V 44 - M 41	= +3  %+7  	q= -2  %-5  	 0.250(85)
printNotes: i= 28-<1918 2101 -183>,  	Bb2 --  1/8th..(107) <      > 	V102 - M 41	=+61  %+60  	q= -5  %-5  	 0.586(85)<-----%60   %5

printNotes: i= 29-<1975 1947  28>,  	Ak2 --  1/32nd.( 23) <      > 	V 24 - M 41	=-17  %-71  	q= +1  %+4  	 0.134(85)<-----%71   %4

printNotes: i= 30-<1741 2101 -360>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 41	=-29  %-242  	q= +1  %+8  	 0.064(85)<-----%242   %8 <<

printNotes: i= 31-<   0 1947 -1947>,  	Ak2 --  1/64th.( 11) <      > 	V  9 - M 41	=-32  %-356  	q= -2  %-22  	 0.046(85)<-----%356   %22 <<

printNotes: i= 32-<1671 1810 -139>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 41	=-19  %-86  	q= -1  %-5  	 0.122(85)<-----%86   %5

printNotes: i= 33-<1986 1947  39>,  	Ak2 --    1/8th( 61) <      > 	V 61 - M 41	=+20  %+33  	q=  +  %+0  	 0.348(85)<-----%33   %0

printNotes: i= 34-<1823 1810  13>,  	 G2 --  1/16th.( 46) <      > 	V 43 - M 41	= +2  %+5  	q= -3  %-7  	 0.244(85)
