	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1511 1619 -108>,  	 F2 --  1/16th.( 44) <      > 	V 44 - M 15	=+29  %+66  	q=  +  %+0  	 0.250(88)<-----%66   %0

printNotes: i=  2-<2047 2119 -72>,  	Bb2 --   1/16th( 29) <      > 	V 28 - M 15	=+13  %+46  	q= -1  %-4  	 0.157(88)<-----%46   %4

printNotes: i=  3-<1936 1975 -39>,  	Ak2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i=  4-<2120 2119   1>,  	Bb2 --  1/16th.( 44) <      > 	V 45 - M 15	=+30  %+67  	q= +1  %+2  	 0.255(88)<-----%67   %2

printNotes: i=  5-<2287 2334 -47>,  	 C3 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i=  6-<1952 1975 -23>,  	Ak2 --    1/8th( 58) <      > 	V 61 - M 39	=+22  %+36  	q= +3  %+5  	 0.348(88)<-----%36   %5

printNotes: i=  7-<2121 2119   2>,  	Bb2 --    1/4th(117) <1*sela> 	V135 - M136	= -1  %-1  	q=+18  %+13  	 0.778(88)
printNotes: i=  8-<1968 1975  -7>,  	Ak2 --    1/8th( 58) <      > 	V 65 - M 29	=+36  %+55  	q= +7  %+11  	 0.372(88)<-----%55   %11

printNotes: i=  9-<1834 1845 -11>,  	 G2 --  1/16th.( 44) <      > 	V 42 - M 29	=+13  %+31  	q= -2  %-5  	 0.238(88)<-----%31   %5

printNotes: i= 10-<2111 2119  -8>,  	Bb2 --   1/4th.(175) <-1*sela> 	V149 - M117	=+32  %+21  	q=-26  %-17  	 0.859(88)<-----%21   %17

printNotes: i= 11-<1956 1975 -19>,  	Ak2 --   1/8th.( 88) <      > 	V 83 - M 88	= -5  %-6  	q= -5  %-6  	 0.476(88)
printNotes: i= 12-<1862 1845  17>,  	 G2 --  1/16th.( 44) <      > 	V 46 - M 29	=+17  %+37  	q= +2  %+4  	 0.261(88)<-----%37   %4

printNotes: i= 13-<2106 2119 -13>,  	Bb2 --    1/4th(117) <      > 	V119 - M 58	=+61  %+51  	q= +2  %+2  	 0.685(88)<-----%51   %2

printNotes: i= 14-<2327 2334  -7>,  	 C3 --   1/8th.( 88) <      > 	V 78 - M117	=-39  %-50  	q=-10  %-13  	 0.447(88)<-----%50   %13

printNotes: i= 15-<2419 2543 -124>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<



silence
printNotes: i= 16-<2329   40 2289>,  	Slc --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(88)<-----%36   %0 <<

printNotes: i= 17-<2329 2334  -5>,  	 C3 --  1/32nd.( 22) <      > 	V 21 - M 29	= -8  %-38  	q= -1  %-5  	 0.116(88)<-----%38   %5

printNotes: i= 18-<2139 2119  20>,  	Bb2 --   1/32nd( 15) <      > 	V 18 - M 29	=-11  %-61  	q= +3  %+17  	 0.099(88)<-----%61   %17

printNotes: i= 19-<2334 2334    >,  	 C3 --   1/16th( 29) <      > 	V 33 - M 15	=+18  %+55  	q= +4  %+12  	 0.186(88)<-----%55   %12

printNotes: i= 20-<2437 2543 -106>,  	 D3 --   1/64th(  7) <      > 	V  9 - M 15	= -6  %-67  	q= +2  %+22  	 0.046(88)<-----%67   %22 <<

printNotes: i= 21-<2145 2119  26>,  	Bb2 --   1/16th( 29) <      > 	V 35 - M 15	=+20  %+57  	q= +6  %+17  	 0.197(88)<-----%57   %17

printNotes: i= 22-<2388 2334  54>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 23-<2119 2119    >,  	Bb2 --   1/8th.( 88) <      > 	V 94 - M 88	= +6  %+6  	q= +6  %+6  	 0.540(88)
printNotes: i= 24-<2044 1975  69>,  	Ak2 -- 1/64th..( 13) <      > 	V 13 - M 29	=-16  %-123  	q=  +  %+0  	 0.070(88)<-----%123   %0 <<

printNotes: i= 25-<2320 2334 -14>,  	 C3 --   1/8th.( 88) <      > 	V 91 - M 88	= +3  %+3  	q= +3  %+3  	 0.522(88)
printNotes: i= 26-<2137 2119  18>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(88)<-----%164   %0 <<

printNotes: i= 27-<2335 2334   1>,  	 C3 --    whole(467) <2*sela> 	V505 - M409	=+96  %+19  	q=+38  %+8  	 2.926(88)<-----%19   %8



silence
printNotes: i= 28-<   0   40 -40>,  	Slc --  1/8th..(102) <      > 	V107 - M117	=-10  %-9  	q= +5  %+5  	 0.615(88)<-----%9   %5

printNotes: i= 29-<1839 1845  -6>,  	 G2 --   1/16th( 29) <      > 	V 36 - M 29	= +7  %+19  	q= +7  %+19  	 0.203(88)
printNotes: i= 30-<2323 2334 -11>,  	 C3 --   1/4th.(175) <      > 	V166 - M175	= -9  %-5  	q= -9  %-5  	 0.958(88)
printNotes: i= 31-<2563 2543  20>,  	 D3 --  1/16th.( 44) <      > 	V 45 - M 29	=+16  %+36  	q= +1  %+2  	 0.255(88)<-----%36   %2

printNotes: i= 32-<2333 2334  -1>,  	 C3 --  1/16th.( 44) <      > 	V 42 - M 29	=+13  %+31  	q= -2  %-5  	 0.238(88)<-----%31   %5

printNotes: i= 33-<1969 2543 -574>,  	 D3 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 34-<2097 2119 -22>,  	Bb2 --   1/8th.( 88) <      > 	V 86 - M 58	=+28  %+33  	q= -2  %-2  	 0.493(88)<-----%33   %2

printNotes: i= 35-<2357 2334  23>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 36-<1984 1975   9>,  	Ak2 -- 1/16th..( 51) <      > 	V 54 - M 44	=+10  %+19  	q= +3  %+6  	 0.308(88)<-----%19   %6

printNotes: i= 37-<1815 1845 -30>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 38-<1961 1975 -14>,  	Ak2 --  1/4th..(204) <      > 	V199 - M234	=-35  %-18  	q= -5  %-3  	 1.149(88)<-----%18   %3

printNotes: i= 39-<2109 2119 -10>,  	Bb2 --    1/8th( 58) <      > 	V 58 - M 29	=+29  %+50  	q=  +  %+0  	 0.331(88)<-----%50   %0

printNotes: i= 40-<1982 1975   7>,  	Ak2 --    1/4th(117) <      > 	V111 - M 88	=+23  %+21  	q= -6  %-5  	 0.639(88)<-----%21   %5

printNotes: i= 41-< 553 2119 -1566>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 42-<1968 1975  -7>,  	Ak2 --  1/8th..(102) <      > 	V104 - M 73	=+31  %+30  	q= +2  %+2  	 0.598(88)<-----%30   %2

printNotes: i= 43-<2157 2119  38>,  	Bb2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(88)<-----%53   %16

printNotes: i= 44-<1983 1975   8>,  	Ak2 --    1/8th( 58) <      > 	V 63 - M 58	= +5  %+8  	q= +5  %+8  	 0.360(88)
printNotes: i= 45-<2146 2119  27>,  	Bb2 --   1/32nd( 15) <      > 	V 17 - M 29	=-12  %-71  	q= +2  %+12  	 0.093(88)<-----%71   %12

printNotes: i= 46-<1957 1975 -18>,  	Ak2 -- 1/16th..( 51) <      > 	V 54 - M 58	= -4  %-7  	q= +3  %+6  	 0.308(88)
printNotes: i= 47-<2119 2119    >,  	Bb2 --   1/16th( 29) <      > 	V 33 - M 58	=-25  %-76  	q= +4  %+12  	 0.186(88)<-----%76   %12

printNotes: i= 48-<1989 1975  14>,  	Ak2 --   1/16th( 29) <      > 	V 35 - M 58	=-23  %-66  	q= +6  %+17  	 0.197(88)<-----%66   %17

printNotes: i= 49-<2006 2119 -113>,  	Bb2 --    half.(350) <-2*sela> 	V317 - M234	=+83  %+26  	q=-33  %-10  	 1.834(88)<-----%26   %10



silence
printNotes: i= 50-<   0   40 -40>,  	Slc -- 1/32nd..( 26) <      > 	V 27 - M234	=-207  %-767  	q= +1  %+4  	 0.151(88)<-----%767   %4

printNotes: i= 51-<1479 1619 -140>,  	 F2 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 52-<1939 1975 -36>,  	Ak2 -- 1/32nd..( 26) <      > 	V 25 - M 29	= -4  %-16  	q= -1  %-4  	 0.139(88)<-----%16   %4

printNotes: i= 53-<1836 1845  -9>,  	 G2 --  1/8th..(102) <      > 	V101 - M 88	=+13  %+13  	q= -1  %-1  	 0.580(88)<-----%13   %1

printNotes: i= 54-< 393 1975 -1582>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 55-<1834 1845 -11>,  	 G2 --  1/8th..(102) <      > 	V 99 - M 58	=+41  %+41  	q= -3  %-3  	 0.569(88)<-----%41   %3

printNotes: i= 56-<2016 1975  41>,  	Ak2 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 57-<1836 1845  -9>,  	 G2 --  1/8th..(102) <      > 	V 95 - M102	= -7  %-7  	q= -7  %-7  	 0.546(88)
printNotes: i= 58-<1958 1975 -17>,  	Ak2 --   1/8th.( 88) <      > 	V 87 - M 88	= -1  %-1  	q= -1  %-1  	 0.499(88)
printNotes: i= 59-<1849 1845   4>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 60-<1897 1975 -78>,  	Ak2 --     half(234) <      > 	V246 - M234	=+12  %+5  	q=+12  %+5  	 1.422(88)


silence
printNotes: i= 61-<   0   40 -40>,  	Slc --     half(234) <      > 	V244 - M248	= -4  %-2  	q=+10  %+4  	 1.411(88)
printNotes: i= 62-<1652 1619  33>,  	 F2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(88)
printNotes: i= 63-<2218 2334 -116>,  	 C3 --     half(234) <2*sela> 	V278 - M234	=+44  %+16  	q=+44  %+16  	 1.608(88)
printNotes: i= 64-<2105 2119 -14>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 65-<2310 2334 -24>,  	 C3 --    128th(  4) <      > 	V  3 - M 15	=-12  %-400  	q= -1  %-33  	 0.012(88)<-----%400   %33 <<

printNotes: i= 66-<2433 2543 -110>,  	 D3 --    128th(  4) <      > 	V  4 - M 15	=-11  %-275  	q=  +  %+0  	 0.017(88)<-----%275   %0 <<

printNotes: i= 67-<2346 2334  12>,  	 C3 --  1/16th.( 44) <      > 	V 46 - M 29	=+17  %+37  	q= +2  %+4  	 0.261(88)<-----%37   %4

printNotes: i= 68-<1818 2543 -725>,  	 D3 --  1/16th.( 44) <      > 	V 42 - M 29	=+13  %+31  	q= -2  %-5  	 0.238(88)<-----%31   %5

printNotes: i= 69-<1559 2334 -775>,  	 C3 --  1/16th.( 44) <      > 	V 45 - M 29	=+16  %+36  	q= +1  %+2  	 0.255(88)<-----%36   %2

printNotes: i= 70-<2522 2543 -21>,  	 D3 --  1/64th.( 11) <      > 	V  8 - M 15	= -7  %-88  	q= -3  %-38  	 0.041(88)<-----%88   %38 <<

printNotes: i= 71-<2126 2119   7>,  	Bb2 --   1/8th.( 88) <      > 	V 77 - M 29	=+48  %+62  	q=-11  %-14  	 0.441(88)<-----%62   %14

printNotes: i= 72-<2342 2334   8>,  	 C3 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 73-<1996 1975  21>,  	Ak2 -- 1/16th..( 51) <      > 	V 52 - M 44	= +8  %+15  	q= +1  %+2  	 0.296(88)<-----%15   %2

printNotes: i= 74-<1852 1845   7>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 29	=-19  %-190  	q= -1  %-10  	 0.052(88)<-----%190   %10 <<

printNotes: i= 75-<1789 1975 -186>,  	Ak2 --     half(234) <      > 	V243 - M117	=+126  %+52  	q= +9  %+4  	 1.405(88)<-----%52   %4



silence
printNotes: i= 76-<   0   40 -40>,  	Slc --   1/16th( 29) <      > 	V 32 - M 58	=-26  %-81  	q= +3  %+9  	 0.180(88)<-----%81   %9

printNotes: i= 77-<1920 1975 -55>,  	Ak2 -- 1/16th..( 51) <      > 	V 50 - M 58	= -8  %-16  	q= -1  %-2  	 0.284(88)<-----%16   %2

printNotes: i= 78-<2102 2119 -17>,  	Bb2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(88)<-----%26   %4

printNotes: i= 79-<1983 1975   8>,  	Ak2 -- 1/32nd..( 26) <      > 	V 24 - M 29	= -5  %-21  	q= -2  %-8  	 0.134(88)<-----%21   %8

printNotes: i= 80-<2124 2119   5>,  	Bb2 -- 1/32nd..( 26) <      > 	V 26 - M 15	=+11  %+42  	q=  +  %+0  	 0.145(88)<-----%42   %0

printNotes: i= 81-<2341 2334   7>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 82-<2011 1975  36>,  	Ak2 -- 1/16th..( 51) <      > 	V 49 - M 58	= -9  %-18  	q= -2  %-4  	 0.279(88)<-----%18   %4

printNotes: i= 83-<2129 2119  10>,  	Bb2 --  1/32nd.( 22) <      > 	V 23 - M 39	=-16  %-70  	q= +1  %+4  	 0.128(88)<-----%70   %4

printNotes: i= 84-<1970 1975  -5>,  	Ak2 --   1/16th( 29) <      > 	V 33 - M 39	= -6  %-18  	q= +4  %+12  	 0.186(88)<-----%18   %12

printNotes: i= 85-<2114 2119  -5>,  	Bb2 --    half.(350) <-2*sela> 	V313 - M273	=+40  %+13  	q=-37  %-12  	 1.811(88)
printNotes: i= 86-<2057 1975  82>,  	Ak2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(88)
printNotes: i= 87-< 760 1845 -1085>,  	 G2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(88)
printNotes: i= 88-<1971 1975  -4>,  	Ak2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 89-<2124 2119   5>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(88)
printNotes: i= 90-<1835 1845 -10>,  	 G2 --    1/8th( 58) <      > 	V 62 - M 58	= +4  %+6  	q= +4  %+6  	 0.354(88)
printNotes: i= 91-<1950 1975 -25>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 29	=-15  %-107  	q= +1  %+7  	 0.075(88)<-----%107   %7 <<

printNotes: i= 92-<1834 1845 -11>,  	 G2 --   1/16th( 29) <      > 	V 34 - M 44	=-10  %-29  	q= +5  %+15  	 0.192(88)<-----%29   %15

printNotes: i= 93-<1999 1975  24>,  	Ak2 --  1/8th..(102) <      > 	V 98 - M 58	=+40  %+41  	q= -4  %-4  	 0.563(88)<-----%41   %4



silence
printNotes: i= 94-<   0   40 -40>,  	Slc --    1/8th( 58) <      > 	V 72 - M 88	=-16  %-22  	q=+14  %+19  	 0.412(88)
printNotes: i= 95-<1894 1975 -81>,  	Ak2 --  1/16th.( 44) <      > 	V 41 - M 39	= +2  %+5  	q= -3  %-7  	 0.232(88)
printNotes: i= 96-<2094 2119 -25>,  	Bb2 -- 1/32nd..( 26) <      > 	V 24 - M 39	=-15  %-62  	q= -2  %-8  	 0.134(88)<-----%62   %8

printNotes: i= 97-<1981 1975   6>,  	Ak2 -- 1/32nd..( 26) <      > 	V 24 - M 39	=-15  %-62  	q= -2  %-8  	 0.134(88)<-----%62   %8

printNotes: i= 98-<2116 2119  -3>,  	Bb2 --   1/4th.(175) <-1*sela> 	V160 - M175	=-15  %-9  	q=-15  %-9  	 0.923(88)
printNotes: i= 99-<1154 1845 -691>,  	 G2 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 100-<1651 1975 -324>,  	Ak2 --  1/16th.( 44) <      > 	V 41 - M 29	=+12  %+29  	q= -3  %-7  	 0.232(88)<-----%29   %7

printNotes: i= 101-<1820 1845 -25>,  	 G2 -- 1/32nd..( 26) <      > 	V 27 - M 29	= -2  %-7  	q= +1  %+4  	 0.151(88)
printNotes: i= 102-<1957 1975 -18>,  	Ak2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 103-<1837 1845  -8>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(88)
printNotes: i= 104-<1959 1975 -16>,  	Ak2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(88)
printNotes: i= 105-<1825 1845 -20>,  	 G2 --  1/8th..(102) <      > 	V100 - M117	=-17  %-17  	q= -2  %-2  	 0.575(88)<-----%17   %2

printNotes: i= 106-<1950 1975 -25>,  	Ak2 --  1/8th..(102) <      > 	V104 - M117	=-13  %-12  	q= +2  %+2  	 0.598(88)<-----%12   %2

printNotes: i= 107-<2124 2119   5>,  	Bb2 --   1/8th.( 88) <      > 	V 92 - M117	=-25  %-27  	q= +4  %+4  	 0.528(88)<-----%27   %4

printNotes: i= 108-<2336 2334   2>,  	 C3 --   1/8th.( 88) <      > 	V 89 - M117	=-28  %-31  	q= +1  %+1  	 0.511(88)<-----%31   %1

printNotes: i= 109-<2527 2543 -16>,  	 D3 --   1/8th.( 88) <      > 	V 94 - M117	=-23  %-24  	q= +6  %+6  	 0.540(88)<-----%24   %6

printNotes: i= 110-<2676 2740 -64>,  	 E3 --   1/8th.( 88) <      > 	V 90 - M117	=-27  %-30  	q= +2  %+2  	 0.517(88)<-----%30   %2

printNotes: i= 111-<2808 2811  -3>,  	 F3 --   1/4th.(175) <-1*sela> 	V153 - M146	= +7  %+5  	q=-22  %-14  	 0.882(88)
printNotes: i= 112-<2746 2740   6>,  	 E3 --   1/32nd( 15) <      > 	V 16 - M 29	=-13  %-81  	q= +1  %+6  	 0.087(88)<-----%81   %6 <<

printNotes: i= 113-<2814 2811   3>,  	 F3 --     half(234) <      > 	V247 - M 88	=+159  %+64  	q=+13  %+5  	 1.428(88)<-----%64   %5



silence
printNotes: i= 114-<   0   40 -40>,  	Slc -- 1/32nd..( 26) <      > 	V 24 - M 88	=-64  %-267  	q= -2  %-8  	 0.134(88)<-----%267   %8

printNotes: i= 115-<2247 2334 -87>,  	 C3 --  1/16th.( 44) <      > 	V 42 - M 29	=+13  %+31  	q= -2  %-5  	 0.238(88)<-----%31   %5

