	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1502 1616 -114>,  	 F2 --  1/16th.( 47) <      > 	V 50 - M 21	=+29  %+58  	q= +3  %+6  	 0.284(83)<-----%58   %6

printNotes: i=  2-<2015 2108 -93>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 21	= +3  %+12  	q= +1  %+4  	 0.134(83)<-----%12   %4

printNotes: i=  3-<1934 1964 -30>,  	Ak2 --  1/16th.( 47) <      > 	V 42 - M 42	=  +  %+0  	q= -5  %-12  	 0.238(83)
printNotes: i=  4-<2111 2108   3>,  	Bb2 -- 1/16th..( 55) <      > 	V 56 - M 21	=+35  %+62  	q= +1  %+2  	 0.319(83)<-----%62   %2

printNotes: i=  5-<2200 2331 -131>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M 21	=-12  %-133  	q= -3  %-33  	 0.046(83)<-----%133   %33 <<

printNotes: i=  6-<1916 1964 -48>,  	Ak2 --    1/8th( 63) <      > 	V 61 - M 63	= -2  %-3  	q= -2  %-3  	 0.348(83)
printNotes: i=  7-<2095 2108 -13>,  	Bb2 --    1/4th(125) <      > 	V138 - M125	=+13  %+9  	q=+13  %+9  	 0.795(83)
printNotes: i=  8-<1948 1964 -16>,  	Ak2 --    1/8th( 63) <      > 	V 62 - M 94	=-32  %-52  	q= -1  %-2  	 0.354(83)<-----%52   %2

printNotes: i=  9-<1848 1829  19>,  	 G2 --  1/16th.( 47) <      > 	V 42 - M 31	=+11  %+26  	q= -5  %-12  	 0.238(83)<-----%26   %12

printNotes: i= 10-<2096 2108 -12>,  	Bb2 --   1/4th.(188) <      > 	V192 - M125	=+67  %+35  	q= +4  %+2  	 1.109(83)<-----%35   %2

printNotes: i= 11-<2307 2331 -24>,  	 C3 --   1/8th.( 94) <      > 	V 81 - M 63	=+18  %+22  	q=-13  %-16  	 0.464(83)<-----%22   %16

printNotes: i= 12-<2405 2536 -131>,  	 D3 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 13-<2303 2331 -28>,  	 C3 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 14-<2120 2108  12>,  	Bb2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 15-<2325 2331  -6>,  	 C3 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(83)<-----%22   %18

printNotes: i= 16-<2117 2108   9>,  	Bb2 --  1/16th.( 47) <      > 	V 39 - M 21	=+18  %+46  	q= -8  %-21  	 0.221(83)<-----%46   %21

printNotes: i= 17-<2323 2331  -8>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 21	= -8  %-62  	q= +1  %+8  	 0.070(83)<-----%62   %8 <<

printNotes: i= 18-<2108 2108    >,  	Bb2 --    1/4th(125) <1*sela> 	V153 - M177	=-24  %-16  	q=+28  %+18  	 0.882(83)
printNotes: i= 19-<2013 1964  49>,  	Ak2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 20-<2307 2331 -24>,  	 C3 --   1/8th.( 94) <      > 	V 87 - M 63	=+24  %+28  	q= -7  %-8  	 0.499(83)<-----%28   %8

printNotes: i= 21-<2142 2108  34>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 22-<2335 2331   4>,  	 C3 --  1/4th..(219) <      > 	V226 - M188	=+38  %+17  	q= +7  %+3  	 1.306(83)<-----%17   %3



silence
printNotes: i= 23-<   0   40 -40>,  	Slc --  1/4th..(219) <      > 	V216 - M219	= -3  %-1  	q= -3  %-1  	 1.248(83)
printNotes: i= 24-<1737 1616 121>,  	 F2 --  1/16th.( 47) <      > 	V 44 - M 42	= +2  %+5  	q= -3  %-7  	 0.250(83)
printNotes: i= 25-<2288 2331 -43>,  	 C3 --    1/4th(125) <      > 	V133 - M146	=-13  %-10  	q= +8  %+6  	 0.766(83)<-----%10   %6

printNotes: i= 26-<2340 2331   9>,  	 C3 --    128th(  4) <      > 	V  3 - M 16	=-13  %-433  	q= -1  %-33  	 0.012(83)<-- same note<-----%433   %33 <<

printNotes: i= 27-<2397 2536 -139>,  	 D3 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(83)<-----%129   %0 <<

printNotes: i= 28-<2327 2331  -4>,  	 C3 --  1/32nd.( 23) <      > 	V 20 - M 16	= +4  %+20  	q= -3  %-15  	 0.110(83)<-----%20   %15

printNotes: i= 29-<2410 2536 -126>,  	 D3 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 30-<2324 2331  -7>,  	 C3 --    1/8th( 63) <      > 	V 63 - M 31	=+32  %+51  	q=  +  %+0  	 0.360(83)<-----%51   %0

printNotes: i= 31-<2506 2536 -30>,  	 D3 --  1/64th.( 12) <      > 	V  9 - M 31	=-22  %-244  	q= -3  %-33  	 0.046(83)<-----%244   %33 <<

printNotes: i= 32-<2329 2331  -2>,  	 C3 --    1/8th( 63) <      > 	V 60 - M 31	=+29  %+48  	q= -3  %-5  	 0.342(83)<-----%48   %5

printNotes: i= 33-<2518 2536 -18>,  	 D3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(83)<-----%182   %9 <<

printNotes: i= 34-<2331 2331    >,  	 C3 --    1/8th( 63) <      > 	V 64 - M 31	=+33  %+52  	q= +1  %+2  	 0.366(83)<-----%52   %2

printNotes: i= 35-<2530 2536  -6>,  	 D3 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 36-<2325 2331  -6>,  	 C3 --    1/8th( 63) <      > 	V 60 - M 31	=+29  %+48  	q= -3  %-5  	 0.342(83)<-----%48   %5

printNotes: i= 37-<2507 2536 -29>,  	 D3 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 38-<2331 2331    >,  	 C3 -- 1/16th..( 55) <      > 	V 53 - M 63	=-10  %-19  	q= -2  %-4  	 0.302(83)<-----%19   %4

printNotes: i= 39-<2532 2536  -4>,  	 D3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(83)<-----%182   %9 <<

printNotes: i= 40-<2332 2331   1>,  	 C3 --  1/16th.( 47) <      > 	V 50 - M 31	=+19  %+38  	q= +3  %+6  	 0.284(83)<-----%38   %6

printNotes: i= 41-<2116 2108   8>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 42-<2344 2331  13>,  	 C3 --  1/16th.( 47) <      > 	V 42 - M 31	=+11  %+26  	q= -5  %-12  	 0.238(83)<-----%26   %12

printNotes: i= 43-<2073 2108 -35>,  	Bb2 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(83)<-----%22   %18

printNotes: i= 44-<2358 2331  27>,  	 C3 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 45-<2115 2108   7>,  	Bb2 --    1/4th(125) <      > 	V131 - M125	= +6  %+5  	q= +6  %+5  	 0.755(83)
printNotes: i= 46-<2329 2331  -2>,  	 C3 --   1/8th.( 94) <      > 	V 84 - M 63	=+21  %+25  	q=-10  %-12  	 0.482(83)<-----%25   %12

printNotes: i= 47-<2167 2108  59>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 31	=-18  %-138  	q= +1  %+8  	 0.070(83)<-----%138   %8 <<

printNotes: i= 48-<2339 2331   8>,  	 C3 --     half(250) <      > 	V265 - M188	=+77  %+29  	q=+15  %+6  	 1.533(83)<-----%29   %6



silence
printNotes: i= 49-<   0   40 -40>,  	Slc --    1/4th(125) <      > 	V124 - M188	=-64  %-52  	q= -1  %-1  	 0.714(83)<-----%52   %1

printNotes: i= 50-<1807 1616 191>,  	 F2 --   128th.(  6) <      > 	V  6 - M 31	=-25  %-417  	q=  +  %+0  	 0.029(83)<-----%417   %0 <<

printNotes: i= 51-<2099 2108  -9>,  	Bb2 --  1/8th..(109) <      > 	V110 - M 94	=+16  %+15  	q= +1  %+1  	 0.633(83)<-----%15   %1

printNotes: i= 52-<2325 2331  -6>,  	 C3 -- 1/32nd..( 27) <      > 	V 27 - M 21	= +6  %+22  	q=  +  %+0  	 0.151(83)<-----%22   %0

printNotes: i= 53-<2450 2474 -24>,  	Dk3 --   1/16th( 31) <      > 	V 34 - M 21	=+13  %+38  	q= +3  %+9  	 0.192(83)<-----%38   %9

printNotes: i= 54-<2336 2331   5>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 21	= -5  %-31  	q=  +  %+0  	 0.087(83)<-----%31   %0 <<

printNotes: i= 55-<2494 2474  20>,  	Dk3 --  1/16th.( 47) <      > 	V 45 - M 25	=+20  %+44  	q= -2  %-4  	 0.255(83)<-----%44   %4

printNotes: i= 56-<2574 2690 -116>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 25	=-14  %-127  	q= -1  %-9  	 0.058(83)<-----%127   %9 <<

printNotes: i= 57-<2357 2331  26>,  	 C3 --  1/16th.( 47) <      > 	V 39 - M 50	=-11  %-28  	q= -8  %-21  	 0.221(83)<-----%28   %21

printNotes: i= 58-<2490 2474  16>,  	Dk3 -- 1/16th..( 55) <      > 	V 54 - M 25	=+29  %+54  	q= -1  %-2  	 0.308(83)<-----%54   %2

printNotes: i= 59-<2595 2690 -95>,  	 E3 --  1/64th.( 12) <      > 	V 12 - M 25	=-13  %-108  	q=  +  %+0  	 0.064(83)<-----%108   %0 <<

printNotes: i= 60-<1714 2331 -617>,  	 C3 -- 1/16th..( 55) <      > 	V 51 - M 50	= +1  %+2  	q= -4  %-8  	 0.290(83)
printNotes: i= 61-<2483 2474   9>,  	Dk3 --    1/8th( 63) <      > 	V 67 - M 25	=+42  %+63  	q= +4  %+6  	 0.383(83)<-----%63   %6

printNotes: i= 62-<2621 2690 -69>,  	 E3 --   1/64th(  8) <      > 	V 10 - M 25	=-15  %-150  	q= +2  %+20  	 0.052(83)<-----%150   %20 <<

printNotes: i= 63-<2357 2331  26>,  	 C3 --    1/8th( 63) <      > 	V 70 - M 63	= +7  %+10  	q= +7  %+10  	 0.401(83)
printNotes: i= 64-<2458 2474 -16>,  	Dk3 -- 1/16th..( 55) <      > 	V 52 - M 63	=-11  %-21  	q= -3  %-6  	 0.296(83)<-----%21   %6

printNotes: i= 65-<2459 2600 -141>,  	Eb3 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<



silence
printNotes: i= 66-<   0   40 -40>,  	Slc --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 67-<2451 2474 -23>,  	Dk3 --  1/16th.( 47) <      > 	V 44 - M 31	=+13  %+30  	q= -3  %-7  	 0.250(83)<-----%30   %7

printNotes: i= 68-<2333 2331   2>,  	 C3 --    1/8th( 63) <      > 	V 69 - M 63	= +6  %+9  	q= +6  %+9  	 0.395(83)
printNotes: i= 69-<2131 2108  23>,  	Bb2 --   1/8th.( 94) <      > 	V 87 - M 63	=+24  %+28  	q= -7  %-8  	 0.499(83)<-----%28   %8

printNotes: i= 70-<1972 1964   8>,  	Ak2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 71-<1854 1829  25>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 31	=-17  %-121  	q=  +  %+0  	 0.075(83)<-----%121   %0 <<

printNotes: i= 72-<1961 1964  -3>,  	Ak2 --  1/16th.( 47) <      > 	V 43 - M 31	=+12  %+28  	q= -4  %-9  	 0.244(83)<-----%28   %9

printNotes: i= 73-<2041 2108 -67>,  	Bb2 --     half(250) <1*sela> 	V268 - M250	=+18  %+7  	q=+18  %+7  	 1.550(83)


silence
printNotes: i= 74-<   0   40 -40>,  	Slc --   1/4th.(188) <      > 	V189 - M188	= +1  %+1  	q= +1  %+1  	 1.091(83)
printNotes: i= 75-<1631 1616  15>,  	 F2 --  1/16th.( 47) <      > 	V 48 - M 42	= +6  %+12  	q= +1  %+2  	 0.273(83)<-----%12   %2

printNotes: i= 76-<2090 2108 -18>,  	Bb2 --    1/4th(125) <1*sela> 	V143 - M146	= -3  %-2  	q=+18  %+13  	 0.824(83)
printNotes: i= 77-<2097 2108 -11>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)<-- same note
printNotes: i= 78-<2192 2331 -139>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i= 79-<2133 2108  25>,  	Bb2 --  1/32nd.( 23) <      > 	V 21 - M 16	= +5  %+24  	q= -2  %-10  	 0.116(83)<-----%24   %10

printNotes: i= 80-<2326 2331  -5>,  	 C3 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(83)<-----%129   %0 <<

printNotes: i= 81-<2148 2108  40>,  	Bb2 --  1/32nd.( 23) <      > 	V 21 - M 31	=-10  %-48  	q= -2  %-10  	 0.116(83)<-----%48   %10

printNotes: i= 82-<2272 2331 -59>,  	 C3 --  128th..(  7) <      > 	V  7 - M 31	=-24  %-343  	q=  +  %+0  	 0.035(83)<-----%343   %0 <<

printNotes: i= 83-<2114 2108   6>,  	Bb2 --  1/16th.( 47) <      > 	V 48 - M 31	=+17  %+35  	q= +1  %+2  	 0.273(83)<-----%35   %2

printNotes: i= 84-<2317 2331 -14>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(83)<-----%182   %9 <<

printNotes: i= 85-<2110 2108   2>,  	Bb2 --    1/8th( 63) <      > 	V 78 - M 63	=+15  %+19  	q=+15  %+19  	 0.447(83)
printNotes: i= 86-<2283 2331 -48>,  	 C3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(83)<-----%182   %9 <<

printNotes: i= 87-<2105 2108  -3>,  	Bb2 --   1/8th.( 94) <      > 	V 80 - M 31	=+49  %+61  	q=-14  %-18  	 0.459(83)<-----%61   %18

printNotes: i= 88-<2207 2331 -124>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 31	=-21  %-210  	q= +2  %+20  	 0.052(83)<-----%210   %20 <<

printNotes: i= 89-<2113 2108   5>,  	Bb2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 90-<1956 1964  -8>,  	Ak2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 91-<2120 2108  12>,  	Bb2 --   1/16th( 31) <      > 	V 35 - M 16	=+19  %+54  	q= +4  %+11  	 0.197(83)<-----%54   %11

printNotes: i= 92-<2220 2331 -111>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

printNotes: i= 93-<1980 1964  16>,  	Ak2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 94-<2128 2108  20>,  	Bb2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(83)<-----%55   %15

printNotes: i= 95-<1971 1964   7>,  	Ak2 --  1/16th.( 47) <      > 	V 49 - M 63	=-14  %-29  	q= +2  %+4  	 0.279(83)<-----%29   %4

printNotes: i= 96-<1849 1829  20>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 97-<1783 2108 -325>,  	Bb2 --   1/4th.(188) <-1*sela> 	V168 - M 63	=+105  %+62  	q=-20  %-12  	 0.969(83)<-----%62   %12



silence
printNotes: i= 98-<   0   40 -40>,  	Slc --    1/8th( 63) <      > 	V 60 - M125	=-65  %-108  	q= -3  %-5  	 0.342(83)<-----%108   %5

printNotes: i= 99-<1662 1616  46>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 100-<2084 2108 -24>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 101-<2008 1964  44>,  	Ak2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 102-<2104 2108  -4>,  	Bb2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 103-<2251 2331 -80>,  	 C3 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(83)<-----%220   %20 <<

printNotes: i= 104-<2097 2108 -11>,  	Bb2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 105-<1971 1964   7>,  	Ak2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 106-<2119 2108  11>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 107-<2282 2331 -49>,  	 C3 --    128th(  4) <      > 	V  5 - M 16	=-11  %-220  	q= +1  %+20  	 0.023(83)<-----%220   %20 <<

