	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2158 2333 -175>,  	 C3 --    1/8th( 61) <      > 	V 63 - M 61	= +2  %+3  	q= +2  %+3  	 0.360(84)
printNotes: i=  2-<2809 2813  -4>,  	 F3 --    whole(491) <-1*sela> 	V474 - M460	=+14  %+3  	q=-17  %-4  	 2.746(84)
printNotes: i=  3-<2712 2700  12>,  	 E3 --  128th..(  7) <      > 	V  7 - M 31	=-24  %-343  	q=  +  %+0  	 0.035(84)<-----%343   %0 <<

printNotes: i=  4-<2811 2813  -2>,  	 F3 --   half..(429) <      > 	V437 - M337	=+100  %+23  	q= +8  %+2  	 2.531(84)<-----%23   %2

printNotes: i=  5-<2736 2700  36>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(84)<-----%182   %9 <<

printNotes: i=  6-<2816 2813   3>,  	 F3 --    1/4th(123) <1*sela> 	V144 - M215	=-71  %-49  	q=+21  %+15  	 0.830(84)<-----%49   %15

printNotes: i=  7-<3008 3029 -21>,  	 G3 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8



silence
printNotes: i=  8-<   0   40 -40>,  	Slc --    128th(  4) <      > 	V  4 - M  8	= -4  %-100  	q=  +  %+0  	 0.017(84)<-----%100   %0 <<

printNotes: i=  9-<4044 2813 1231>,  	 F3 --   1/16th( 31) <      > 	V 32 - M 15	=+17  %+53  	q= +1  %+3  	 0.180(84)<-----%53   %3

printNotes: i= 10-<3027 3029  -2>,  	 G3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
printNotes: i= 11-<3888 2622 1266>,  	Eb3 --  1/16th.( 46) <      > 	V 46 - M 31	=+15  %+33  	q=  +  %+0  	 0.261(84)<-----%33   %0

printNotes: i= 12-<3997 2813 1184>,  	 F3 --   1/32nd( 15) <      > 	V 18 - M 31	=-13  %-72  	q= +3  %+17  	 0.099(84)<-----%72   %17

