	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 963 2324 -1361>,  	 C3 --    1/8th( 59) <      > 	V 70 - M 30	=+40  %+57  	q=+11  %+16  	 0.401(88)<-----%57   %16

printNotes: i=  2-<2755 2808 -53>,  	 F3 --  1/32nd.( 22) <      > 	V 19 - M 30	=-11  %-58  	q= -3  %-16  	 0.104(88)<-----%58   %16

printNotes: i=  3-<2819 2808  11>,  	 F3 --   1/4th.(177) <      > 	V166 - M177	=-11  %-7  	q=-11  %-7  	 0.958(88)<-- same note
printNotes: i=  4-<2721 2706  15>,  	 E3 --  1/64th.( 11) <      > 	V 10 - M 30	=-20  %-200  	q= -1  %-10  	 0.052(88)<-----%200   %10 <<

printNotes: i=  5-<2778 2808 -30>,  	 F3 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(88)<-----%25   %8 <<

printNotes: i=  6-<2686 2706 -20>,  	 E3 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(88)
printNotes: i=  7-<2760 2808 -48>,  	 F3 --   1/64th(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(88)<-----%114   %0 <<

printNotes: i=  8-<1354 2706 -1352>,  	 E3 --   1/16th( 30) <      > 	V 36 - M 15	=+21  %+58  	q= +6  %+17  	 0.203(88)<-----%58   %17

printNotes: i=  9-<2611 2808 -197>,  	 F3 --  1/8th..(103) <      > 	V 98 - M118	=-20  %-20  	q= -5  %-5  	 0.563(88)<-----%20   %5

printNotes: i= 10-<2351 2440 -89>,  	Dk3 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(88)
printNotes: i= 11-<2997 3088 -91>,  	Ab3 --  1/16th.( 44) <      > 	V 37 - M 47	=-10  %-27  	q= -7  %-19  	 0.209(88)<-----%27   %19

printNotes: i= 12-<3015 3026 -11>,  	 G3 --   1/16th( 30) <      > 	V 36 - M 47	=-11  %-31  	q= +6  %+17  	 0.203(88)<-----%31   %17

printNotes: i= 13-<3077 3088 -11>,  	Ab3 -- 1/64th..( 13) <      > 	V 13 - M 47	=-34  %-262  	q=  +  %+0  	 0.070(88)<-----%262   %0 <<

printNotes: i= 14-<3025 3026  -1>,  	 G3 --   1/16th( 30) <      > 	V 31 - M 47	=-16  %-52  	q= +1  %+3  	 0.174(88)<-----%52   %3

printNotes: i= 15-<3086 3088  -2>,  	Ab3 --   1/32nd( 15) <      > 	V 18 - M 47	=-29  %-161  	q= +3  %+17  	 0.099(88)<-----%161   %17

printNotes: i= 16-<3048 3026  22>,  	 G3 --  1/16th.( 44) <      > 	V 39 - M 30	= +9  %+23  	q= -5  %-13  	 0.221(88)<-----%23   %13

printNotes: i= 17-<2837 2808  29>,  	 F3 --    1/8th( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(88)


silence
printNotes: i= 18-< 397   40 357>,  	Slc --     half(236) <      > 	V234 - M118	=+116  %+50  	q= -2  %-1  	 1.353(88)<-----%50   %1

printNotes: i= 19-<2779 2808 -29>,  	 F3 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(88)
printNotes: i= 20-<2801 2808  -7>,  	 F3 --  1/64th.( 11) <      > 	V  8 - M 30	=-22  %-275  	q= -3  %-38  	 0.041(88)<-- same note<-----%275   %38 <<

printNotes: i= 21-<1962 2706 -744>,  	 E3 --   1/16th( 30) <      > 	V 29 - M 15	=+14  %+48  	q= -1  %-3  	 0.163(88)<-----%48   %3

printNotes: i= 22-<2807 2808  -1>,  	 F3 --    1/8th( 59) <      > 	V 63 - M 59	= +4  %+6  	q= +4  %+6  	 0.360(88)
printNotes: i= 23-<2500 3026 -526>,  	 G3 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(88)
printNotes: i= 24-<2688 2808 -120>,  	 F3 --  1/16th.( 44) <      > 	V 45 - M 59	=-14  %-31  	q= +1  %+2  	 0.255(88)<-----%31   %2

printNotes: i= 25-<2733 2706  27>,  	 E3 --   1/16th( 30) <      > 	V 35 - M 59	=-24  %-69  	q= +5  %+14  	 0.197(88)<-----%69   %14

printNotes: i= 26-< 238 2440 -2202>,  	Dk3 --  1/16th.( 44) <      > 	V 40 - M 59	=-19  %-48  	q= -4  %-10  	 0.226(88)<-----%48   %10

printNotes: i= 27-<2332 2324   8>,  	 C3 --   1/16th( 30) <      > 	V 35 - M 59	=-24  %-69  	q= +5  %+14  	 0.197(88)<-----%69   %14

printNotes: i= 28-<2786 2808 -22>,  	 F3 --    1/8th( 59) <      > 	V 62 - M 59	= +3  %+5  	q= +3  %+5  	 0.354(88)
printNotes: i= 29-<2691 2706 -15>,  	 E3 --  1/16th.( 44) <      > 	V 40 - M 39	= +1  %+2  	q= -4  %-10  	 0.226(88)
printNotes: i= 30-<2781 2808 -27>,  	 F3 --   1/16th( 30) <      > 	V 31 - M 39	= -8  %-26  	q= +1  %+3  	 0.174(88)<-----%26   %3

printNotes: i= 31-<2708 2706   2>,  	 E3 --     half(236) <      > 	V229 - M217	=+12  %+5  	q= -7  %-3  	 1.324(88)


silence
printNotes: i= 32-<   0   40 -40>,  	Slc --    1/4th(118) <      > 	V120 - M118	= +2  %+2  	q= +2  %+2  	 0.691(88)
