	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1199 1118  81>,  	 C2 --  1/32nd.( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(71)
printNotes: i=  2-<1596 1600  -4>,  	 F2 --   half..(509) <1*sela> 	V541 - M582	=-41  %-8  	q=+32  %+6  	 3.135(71)
printNotes: i=  3-<1539 1499  40>,  	 E2 --  1/64th.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(71)
printNotes: i=  4-<1698 1699  -1>,  	F#2 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(71)
printNotes: i=  5-<1604 1600   4>,  	 F2 --    half.(436) <      > 	V424 - M436	=-12  %-3  	q=-12  %-3  	 2.456(71)
printNotes: i=  6-<1526 1499  27>,  	 E2 -- 1/64th..( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(71)
printNotes: i=  7-<1658 1699 -41>,  	F#2 --  1/64th.( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(71)
printNotes: i=  8-<1610 1600  10>,  	 F2 --   1/16th( 36) <      > 	V 39 - M 36	= +3  %+8  	q= +3  %+8  	 0.221(71)
printNotes: i=  9-<1668 1699 -31>,  	F#2 --    128th(  5) <      > 	V  6 - M  5	= +1  %+17  	q= +1  %+17  	 0.029(71)


silence
printNotes: i= 10-<   0   40 -40>,  	Slc --     half(291) <1*sela> 	V313 - M291	=+22  %+7  	q=+22  %+7  	 1.811(71)
printNotes: i= 11-<1007  918  89>,  	Bb1 --   1/32nd( 18) <      > 	V 20 - M 18	= +2  %+10  	q= +2  %+10  	 0.110(71)
printNotes: i= 12-<1576 1600 -24>,  	 F2 --  1/16th.( 55) <      > 	V 47 - M 55	= -8  %-17  	q= -8  %-17  	 0.267(71)
printNotes: i= 13-<1445 1399  46>,  	Eb2 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 14-<1575 1600 -25>,  	 F2 --   1/16th( 36) <      > 	V 43 - M 36	= +7  %+16  	q= +7  %+16  	 0.244(71)
printNotes: i= 15-<1516 1499  17>,  	 E2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 16-<1798 1799  -1>,  	 G2 --     half(291) <3*sela> 	V351 - M291	=+60  %+17  	q=+60  %+17  	 2.032(71)
printNotes: i= 17-<1644 1600  44>,  	 F2 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 18-<1793 1799  -6>,  	 G2 --    half.(436) <-2*sela> 	V383 - M436	=-53  %-14  	q=-53  %-14  	 2.218(71)
printNotes: i= 19-<1715 1699  16>,  	F#2 --  1/64th.( 14) <      > 	V 10 - M 14	= -4  %-40  	q= -4  %-40  	 0.052(71)
printNotes: i= 20-<1813 1799  14>,  	 G2 -- 1/16th..( 64) <      > 	V 66 - M 64	= +2  %+3  	q= +2  %+3  	 0.377(71)
printNotes: i= 21-<1322 1992 -670>,  	 A2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 22-<1738 1799 -61>,  	 G2 -- 1/32nd..( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(71)


silence
printNotes: i= 23-<   0   40 -40>,  	Slc --    1/4th(145) <1*sela> 	V176 - M145	=+31  %+18  	q=+31  %+18  	 1.016(71)
printNotes: i= 24-<1138 1018 120>,  	 B1 -- 1/32nd..( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(71)
printNotes: i= 25-<1761 1799 -38>,  	 G2 --   1/4th.(218) <-1*sela> 	V186 - M218	=-32  %-17  	q=-32  %-17  	 1.074(71)
printNotes: i= 26-<1807 1799   8>,  	 G2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)<-- same note
