	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1504 1519 -15>,  	 E2 -- 1/16th..( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(100)
printNotes: i=  2-<2040 2119 -79>,  	Bb2 --   1/16th( 26) <      > 	V 29 - M 26	= +3  %+10  	q= +3  %+10  	 0.163(100)
printNotes: i=  3-<1936 1975 -39>,  	Ak2 --  1/16th.( 39) <      > 	V 35 - M 39	= -4  %-11  	q= -4  %-11  	 0.197(100)
printNotes: i=  4-<2120 2119   1>,  	Bb2 -- 1/16th..( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(100)
printNotes: i=  5-<2287 2334 -47>,  	 C3 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(100)
printNotes: i=  6-<1981 1975   6>,  	Ak2 -- 1/16th..( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(100)
printNotes: i=  7-<1864 1845  19>,  	 G2 --  1/32nd.( 19) <      > 	V 16 - M 19	= -3  %-19  	q= -3  %-19  	 0.087(100)
printNotes: i=  8-<2119 2119    >,  	Bb2 --   1/4th.(155) <-1*sela> 	V137 - M155	=-18  %-13  	q=-18  %-13  	 0.789(100)
printNotes: i=  9-<1968 1975  -7>,  	Ak2 --   1/8th.( 77) <      > 	V 65 - M 77	=-12  %-18  	q=-12  %-18  	 0.372(100)
printNotes: i= 10-<1834 1845 -11>,  	 G2 -- 1/16th..( 45) <      > 	V 42 - M 39	= +3  %+7  	q= -3  %-7  	 0.238(100)
printNotes: i= 11-<2111 2119  -8>,  	Bb2 --   1/4th.(155) <      > 	V149 - M155	= -6  %-4  	q= -6  %-4  	 0.859(100)
printNotes: i= 12-<1957 1975 -18>,  	Ak2 --   1/8th.( 77) <      > 	V 82 - M 77	= +5  %+6  	q= +5  %+6  	 0.470(100)
printNotes: i= 13-<1863 1845  18>,  	 G2 -- 1/16th..( 45) <      > 	V 47 - M 45	= +2  %+4  	q= +2  %+4  	 0.267(100)
printNotes: i= 14-<2116 2119  -3>,  	Bb2 --    1/4th(103) <      > 	V103 - M103	=  +  %+0  	q=  +  %+0  	 0.592(100)
printNotes: i= 15-<2018 1975  43>,  	Ak2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(100)
printNotes: i= 16-<2325 2334  -9>,  	 C3 --   1/8th.( 77) <      > 	V 82 - M 77	= +5  %+6  	q= +5  %+6  	 0.470(100)
printNotes: i= 17-<2424 2543 -119>,  	 D3 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(100)
printNotes: i= 18-<2329 2334  -5>,  	 C3 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(100)
printNotes: i= 19-<2139 2119  20>,  	Bb2 --  1/32nd.( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(100)
printNotes: i= 20-<2334 2334    >,  	 C3 --  1/16th.( 39) <      > 	V 33 - M 39	= -6  %-18  	q= -6  %-18  	 0.186(100)
printNotes: i= 21-<2437 2543 -106>,  	 D3 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(100)
printNotes: i= 22-<2152 2119  33>,  	Bb2 --  1/16th.( 39) <      > 	V 37 - M 39	= -2  %-5  	q= -2  %-5  	 0.209(100)
printNotes: i= 23-<2430 2543 -113>,  	 D3 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 24-<2122 2119   3>,  	Bb2 --  1/8th..( 90) <      > 	V 96 - M 90	= +6  %+6  	q= +6  %+6  	 0.551(100)
printNotes: i= 25-<2044 1975  69>,  	Ak2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(100)
printNotes: i= 26-<2320 2334 -14>,  	 C3 --  1/8th..( 90) <      > 	V 91 - M 90	= +1  %+1  	q= +1  %+1  	 0.522(100)
printNotes: i= 27-<2137 2119  18>,  	Bb2 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 28-<2335 2334   1>,  	 C3 --    whole(413) <7*sela> 	V505 - M413	=+92  %+18  	q=+92  %+18  	 2.926(100)


silence
printNotes: i= 29-<   0   40 -40>,  	Slc --    1/4th(103) <      > 	V107 - M108	= -1  %-1  	q= +4  %+4  	 0.615(100)
printNotes: i= 30-<1839 1845  -6>,  	 G2 --  1/16th.( 39) <      > 	V 36 - M 39	= -3  %-8  	q= -3  %-8  	 0.203(100)
printNotes: i= 31-<2323 2334 -11>,  	 C3 --   1/4th.(155) <      > 	V166 - M155	=+11  %+7  	q=+11  %+7  	 0.958(100)
printNotes: i= 32-<2539 2543  -4>,  	 D3 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(100)
printNotes: i= 33-<2651 2680 -29>,  	Ek3 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 34-<2357 2334  23>,  	 C3 --    1/8th( 52) <      > 	V 50 - M 52	= -2  %-4  	q= -2  %-4  	 0.284(100)
printNotes: i= 35-<1855 2680 -825>,  	Ek3 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(100)
printNotes: i= 36-<2075 2119 -44>,  	Bb2 --  1/8th..( 90) <      > 	V 88 - M 90	= -2  %-2  	q= -2  %-2  	 0.505(100)
printNotes: i= 37-<2394 2543 -149>,  	 D3 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 38-<1991 1975  16>,  	Ak2 --    1/8th( 52) <      > 	V 56 - M 52	= +4  %+7  	q= +4  %+7  	 0.319(100)
printNotes: i= 39-<1815 1845 -30>,  	 G2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(100)
printNotes: i= 40-<1963 1975 -12>,  	Ak2 --  1/4th..(181) <      > 	V177 - M181	= -4  %-2  	q= -4  %-2  	 1.022(100)
printNotes: i= 41-<1860 1845  15>,  	 G2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(100)
printNotes: i= 42-<1973 1975  -2>,  	Ak2 --  1/32nd.( 19) <      > 	V 18 - M 19	= -1  %-6  	q= -1  %-6  	 0.099(100)
printNotes: i= 43-<2100 2119 -19>,  	Bb2 --   1/16th( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(100)
printNotes: i= 44-<2204 2219 -15>,  	 B2 -- 1/64th..( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(100)
printNotes: i= 45-<2054 2036  18>,  	 A2 -- 1/32nd..( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(100)
printNotes: i= 46-<1980 1975   5>,  	Ak2 --    1/4th(103) <      > 	V105 - M103	= +2  %+2  	q= +2  %+2  	 0.604(100)
printNotes: i= 47-< 553 2119 -1566>,  	Bb2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(100)
printNotes: i= 48-<1970 1975  -5>,  	Ak2 --    1/4th(103) <      > 	V107 - M103	= +4  %+4  	q= +4  %+4  	 0.615(100)
printNotes: i= 49-<2199 2219 -20>,  	 B2 --   1/32nd( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(100)
printNotes: i= 50-<1991 1975  16>,  	Ak2 --   1/8th.( 77) <      > 	V 70 - M 77	= -7  %-10  	q= -7  %-10  	 0.401(100)
printNotes: i= 51-<2189 2219 -30>,  	 B2 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 52-<1961 1975 -14>,  	Ak2 --    1/8th( 52) <      > 	V 56 - M 52	= +4  %+7  	q= +4  %+7  	 0.319(100)
printNotes: i= 53-<2119 2119    >,  	Bb2 --  1/16th.( 39) <      > 	V 33 - M 39	= -6  %-18  	q= -6  %-18  	 0.186(100)
printNotes: i= 54-<1989 1975  14>,  	Ak2 --  1/16th.( 39) <      > 	V 35 - M 39	= -4  %-11  	q= -4  %-11  	 0.197(100)
