	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1918 1611 307>,  	 F2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(78)
printNotes: i=  2-<2783 2813 -30>,  	 F3 --    whole(529) <-1*sela> 	V506 - M529	=-23  %-5  	q=-23  %-5  	 2.932(78)
printNotes: i=  3-<2712 2700  12>,  	 E3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(78)
printNotes: i=  4-<2811 2813  -2>,  	 F3 --   half..(463) <-1*sela> 	V437 - M463	=-26  %-6  	q=-26  %-6  	 2.531(78)
printNotes: i=  5-<2736 2700  36>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
printNotes: i=  6-<2816 2813   3>,  	 F3 --    1/4th(132) <      > 	V144 - M132	=+12  %+8  	q=+12  %+8  	 0.830(78)
printNotes: i=  7-<3008 3029 -21>,  	 G3 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(78)


silence
printNotes: i=  8-<   0   40 -40>,  	Slc --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(78)
printNotes: i=  9-<4044 2813 1231>,  	 F3 --   1/16th( 33) <      > 	V 32 - M 33	= -1  %-3  	q= -1  %-3  	 0.180(78)
printNotes: i= 10-<2967 3029 -62>,  	 G3 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(78)
printNotes: i= 11-<3893 2700 1193>,  	 E3 --  1/16th.( 50) <      > 	V 49 - M 50	= -1  %-2  	q= -1  %-2  	 0.279(78)
printNotes: i= 12-<4021 2813 1208>,  	 F3 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(78)
printNotes: i= 13-<3825 2622 1203>,  	Eb3 --   1/16th( 33) <      > 	V 33 - M 33	=  +  %+0  	q=  +  %+0  	 0.186(78)
printNotes: i= 14-<1960 2534 -574>,  	 D3 --    1/8th( 66) <      > 	V 62 - M 66	= -4  %-6  	q= -4  %-6  	 0.354(78)
printNotes: i= 15-<2647 2700 -53>,  	 E3 --  1/64th.( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(78)
printNotes: i= 16-<2378 2333  45>,  	 C3 --   1/8th.( 99) <      > 	V 88 - M 99	=-11  %-12  	q=-11  %-12  	 0.505(78)
printNotes: i= 17-<2666 2700 -34>,  	 E3 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(78)
