	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<2144 1975 169>,  	 A2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i=  2-<2514 2706 -192>,  	 E3 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)


silence
printNotes: i=  3-<   0   40 -40>,  	Slc --  1/16th.( 42) <      > 	V 41 - M 42	= -1  %-2  	q= -1  %-2  	 0.232(92)
printNotes: i=  4-<2745 2808 -63>,  	 F3 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i=  5-<2819 2808  11>,  	 F3 --   1/4th.(169) <      > 	V166 - M169	= -3  %-2  	q= -3  %-2  	 0.958(92)<-- same note
printNotes: i=  6-<2723 2706  17>,  	 E3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(92)
printNotes: i=  7-<2780 2808 -28>,  	 F3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(92)
printNotes: i=  8-<1908 2706 -798>,  	 E3 --    1/8th( 56) <      > 	V 61 - M 56	= +5  %+8  	q= +5  %+8  	 0.348(92)
printNotes: i=  9-<2722 2808 -86>,  	 F3 --  1/8th..( 98) <      > 	V 94 - M 98	= -4  %-4  	q= -4  %-4  	 0.540(92)
printNotes: i= 10-<2149 2606 -457>,  	Eb3 --  1/16th.( 42) <      > 	V 40 - M 42	= -2  %-5  	q= -2  %-5  	 0.226(92)
printNotes: i= 11-<3014 3088 -74>,  	Ab3 --   1/16th( 28) <      > 	V 34 - M 28	= +6  %+18  	q= +6  %+18  	 0.192(92)
printNotes: i= 12-<3015 3026 -11>,  	 G3 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(92)
printNotes: i= 13-<3077 3088 -11>,  	Ab3 -- 1/64th..( 12) <      > 	V 13 - M 11	= +2  %+15  	q= +1  %+8  	 0.070(92)
printNotes: i= 14-<3025 3026  -1>,  	 G3 --   1/16th( 28) <      > 	V 31 - M 28	= +3  %+10  	q= +3  %+10  	 0.174(92)
printNotes: i= 15-<3086 3088  -2>,  	Ab3 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 16-<3034 3026   8>,  	 G3 -- 1/32nd..( 25) <      > 	V 23 - M 21	= +2  %+9  	q= -2  %-9  	 0.128(92)
printNotes: i= 17-<3093 3088   5>,  	Ab3 -- 1/64th..( 12) <      > 	V 12 - M 11	= +1  %+8  	q=  +  %+0  	 0.064(92)
printNotes: i= 18-<2993 3026 -33>,  	 G3 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(92)
printNotes: i= 19-<2826 2808  18>,  	 F3 --    1/8th( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(92)
printNotes: i= 20-<2960 3026 -66>,  	 G3 --   128th.(  5) <      > 	V  5 - M  4	= +1  %+20  	q=  +  %+0  	 0.023(92)


silence
printNotes: i= 21-<  92   40  52>,  	Slc --   1/4th.(169) <      > 	V171 - M174	= -3  %-2  	q= +2  %+1  	 0.987(92)
printNotes: i= 22-<1903 1819  84>,  	 G2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 23-<2183 2324 -141>,  	 C3 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(92)


silence
printNotes: i= 24-<   0   40 -40>,  	Slc -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(92)
printNotes: i= 25-<2784 2808 -24>,  	 F3 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(92)
printNotes: i= 26-<1116 2706 -1590>,  	 E3 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 27-<2490 2808 -318>,  	 F3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(92)
printNotes: i= 28-<2657 2706 -49>,  	 E3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 29-<2807 2808  -1>,  	 F3 --    1/8th( 56) <      > 	V 63 - M 56	= +7  %+11  	q= +7  %+11  	 0.360(92)
printNotes: i= 30-<2500 3026 -526>,  	 G3 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 31-<2688 2808 -120>,  	 F3 --  1/16th.( 42) <      > 	V 45 - M 42	= +3  %+7  	q= +3  %+7  	 0.255(92)
printNotes: i= 32-<2705 2706  -1>,  	 E3 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(92)
printNotes: i= 33-<2780 2808 -28>,  	 F3 -- 1/64th..( 12) <      > 	V 13 - M 11	= +2  %+15  	q= +1  %+8  	 0.070(92)
printNotes: i= 34-< 238 2440 -2202>,  	Dk3 --  1/16th.( 42) <      > 	V 40 - M 42	= -2  %-5  	q= -2  %-5  	 0.226(92)
printNotes: i= 35-<2332 2324   8>,  	 C3 --  1/16th.( 42) <      > 	V 35 - M 28	= +7  %+20  	q= -7  %-20  	 0.197(92)
printNotes: i= 36-<2786 2808 -22>,  	 F3 --    1/8th( 56) <      > 	V 62 - M 56	= +6  %+10  	q= +6  %+10  	 0.354(92)
printNotes: i= 37-<2694 2706 -12>,  	 E3 --  1/16th.( 42) <      > 	V 42 - M 42	=  +  %+0  	q=  +  %+0  	 0.238(92)
printNotes: i= 38-<2783 2808 -25>,  	 F3 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 39-<2708 2706   2>,  	 E3 --     half(225) <      > 	V229 - M225	= +4  %+2  	q= +4  %+2  	 1.324(92)


silence
printNotes: i= 40-<   0   40 -40>,  	Slc --    1/4th(113) <      > 	V120 - M450	=-330  %-275  	q= +7  %+6  	 0.691(92)<-----%275   %6

printNotes: i= 41-<1827 1597 230>,  	 F2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 42-<2275 2324 -49>,  	 C3 --   1/4th.(169) <      > 	V169 - M169	=  +  %+0  	q=  +  %+0  	 0.975(92)
printNotes: i= 43-<2552 2606 -54>,  	Eb3 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(92)
printNotes: i= 44-<2427 2440 -13>,  	Dk3 --  1/8th..( 98) <      > 	V104 - M 98	= +6  %+6  	q= +6  %+6  	 0.598(92)
printNotes: i= 45-<2220 2324 -104>,  	 C3 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 46-<1908 2808 -900>,  	 F3 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(92)
printNotes: i= 47-<2691 2706 -15>,  	 E3 --   1/8th.( 84) <      > 	V 85 - M 84	= +1  %+1  	q= +1  %+1  	 0.488(92)
printNotes: i= 48-<2800 2808  -8>,  	 F3 --    1/8th( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(92)
printNotes: i= 49-<2975 3026 -51>,  	 G3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(92)
printNotes: i= 50-<2330 2808 -478>,  	 F3 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 51-<1803 2706 -903>,  	 E3 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 52-<1505 2808 -1303>,  	 F3 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 53-<2706 2706    >,  	 E3 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
