	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1535 2196 -661>,  	Ek2 -- 1/16th..( 55) <      > 	V 54 - M 31	=+23  %+43  	q= -1  %-2  	 0.308(82)<-----%43   %2

printNotes: i=  2-<2356 2355   1>,  	 F2 --    1/4th(125) <      > 	V129 - M125	= +4  %+3  	q= +4  %+3  	 0.743(82)
printNotes: i=  3-< 890 2196 -1306>,  	Ek2 --    1/8th( 63) <      > 	V 71 - M 31	=+40  %+56  	q= +8  %+11  	 0.406(82)<-----%56   %11

printNotes: i=  4-<2541 2558 -17>,  	 G2 --     half(251) <      > 	V251 - M251	=  +  %+0  	q=  +  %+0  	 1.451(82)
printNotes: i=  5-<2560 2558   2>,  	 G2 --   128th.(  6) <      > 	V  6 - M125	=-119  %-1983  	q=  +  %+0  	 0.029(82)<-- same note<-----%1983   %0 <<

printNotes: i=  6-<2553 2558  -5>,  	 G2 --  1/16th.( 47) <      > 	V 44 - M 50	= -6  %-14  	q= -3  %-7  	 0.250(82)<-- same note<-----%14   %7

printNotes: i=  7-<1521 2355 -834>,  	 F2 -- 1/16th..( 55) <      > 	V 52 - M 50	= +2  %+4  	q= -3  %-6  	 0.296(82)
printNotes: i=  8-<2549 2558  -9>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 50	=-26  %-108  	q=  +  %+0  	 0.134(82)<-----%108   %0

printNotes: i=  9-<2342 2355 -13>,  	 F2 --  1/16th.( 47) <      > 	V 43 - M 50	= -7  %-16  	q= -4  %-9  	 0.244(82)<-----%16   %9

printNotes: i= 10-<2541 2558 -17>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 50	=-23  %-85  	q=  +  %+0  	 0.151(82)<-----%85   %0

printNotes: i= 11-<2341 2355 -14>,  	 F2 --  1/16th.( 47) <      > 	V 46 - M 16	=+30  %+65  	q= -1  %-2  	 0.261(82)<-----%65   %2

printNotes: i= 12-<2551 2558  -7>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 16	=+17  %+52  	q= +2  %+6  	 0.186(82)<-----%52   %6

printNotes: i= 13-<2349 2355  -6>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(82)<-----%33   %0 <<

printNotes: i= 14-<2384 2558 -174>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(82)
printNotes: i= 15-<2356 2355   1>,  	 F2 -- 1/16th..( 55) <      > 	V 52 - M 31	=+21  %+40  	q= -3  %-6  	 0.296(82)<-----%40   %6

printNotes: i= 16-<2186 2196 -10>,  	Ek2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(82)<-----%45   %9 <<

printNotes: i= 17-<2344 2355 -11>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(82)<-----%33   %0 <<

printNotes: i= 18-<2146 2196 -50>,  	Ek2 --    1/8th( 63) <      > 	V 66 - M 31	=+35  %+53  	q= +3  %+5  	 0.377(82)<-----%53   %5

printNotes: i= 19-< 612 2070 -1458>,  	 D2 --  1/32nd.( 24) <      > 	V 20 - M 31	=-11  %-55  	q= -4  %-20  	 0.110(82)<-----%55   %20

printNotes: i= 20-<   0 2196 -2196>,  	Ek2 --  1/64th.( 12) <      > 	V 11 - M 31	=-20  %-182  	q= -1  %-9  	 0.058(82)<-----%182   %9 <<

printNotes: i= 21-<2172 2355 -183>,  	 F2 --   1/4th.(188) <      > 	V186 - M157	=+29  %+16  	q= -2  %-1  	 1.074(82)<-----%16   %1

printNotes: i= 22-<2405 2558 -153>,  	 G2 --  1/8th..(110) <      > 	V107 - M 31	=+76  %+71  	q= -3  %-3  	 0.615(82)<-----%71   %3



silence
printNotes: i= 23-<   0   40 -40>,  	Slc --   half..(439) <-1*sela> 	V415 - M439	=-24  %-6  	q=-24  %-6  	 2.403(82)
printNotes: i= 24-<2352 2558 -206>,  	 G2 --  1/32nd.( 24) <      > 	V 23 - M 31	= -8  %-35  	q= -1  %-4  	 0.128(82)<-----%35   %4

printNotes: i= 25-<2339 2355 -16>,  	 F2 --  1/16th.( 47) <      > 	V 48 - M 31	=+17  %+35  	q= +1  %+2  	 0.273(82)<-----%35   %2

printNotes: i= 26-<2550 2558  -8>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 47	=-15  %-47  	q= +1  %+3  	 0.180(82)<-----%47   %3

printNotes: i= 27-<2369 2355  14>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(82)<-----%82   %6

printNotes: i= 28-<2541 2558 -17>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 47	=-15  %-47  	q= +1  %+3  	 0.180(82)<-----%47   %3

printNotes: i= 29-<2362 2355   7>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(82)
printNotes: i= 30-<2564 2558   6>,  	 G2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(82)<-----%60   %20 <<

printNotes: i= 31-<2366 2355  11>,  	 F2 --  1/16th.( 47) <      > 	V 41 - M 16	=+25  %+61  	q= -6  %-15  	 0.232(82)<-----%61   %15

printNotes: i= 32-<1832 2558 -726>,  	 G2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(82)<-----%129   %0 <<

printNotes: i= 33-<2360 2355   5>,  	 F2 --    128th(  4) <      > 	V  1 - M 31	=-30  %-3000  	q= -3  %-300  	 0.000(82)<-----%3000   %300 <<

printNotes: i= 34-<2204 2196   8>,  	Ek2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(82)<-----%23   %8 <<

printNotes: i= 35-<2348 2355  -7>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(82)<-----%60   %20 <<

printNotes: i= 36-<2198 2196   2>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 31	=-12  %-63  	q= +3  %+16  	 0.104(82)<-----%63   %16

printNotes: i= 37-<1588 2070 -482>,  	 D2 --    1/8th( 63) <      > 	V 61 - M 31	=+30  %+49  	q= -2  %-3  	 0.348(82)<-----%49   %3

printNotes: i= 38-<   0 2196 -2196>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(82)<-----%158   %0 <<

printNotes: i= 39-<2317 2355 -38>,  	 F2 --    1/4th(125) <      > 	V127 - M125	= +2  %+2  	q= +2  %+2  	 0.731(82)
printNotes: i= 40-<2069 2196 -127>,  	Ek2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(82)
printNotes: i= 41-<2549 2558  -9>,  	 G2 --   1/8th.( 94) <      > 	V 87 - M 94	= -7  %-8  	q= -7  %-8  	 0.499(82)
printNotes: i= 42-<1895 2355 -460>,  	 F2 --  1/16th.( 47) <      > 	V 45 - M 31	=+14  %+31  	q= -2  %-4  	 0.255(82)<-----%31   %4

printNotes: i= 43-<2003 2747 -744>,  	 A2 --  1/32nd.( 24) <      > 	V 25 - M 31	= -6  %-24  	q= +1  %+4  	 0.139(82)<-----%24   %4

printNotes: i= 44-<2542 2558 -16>,  	 G2 --  1/16th.( 47) <      > 	V 42 - M 42	=  +  %+0  	q= -5  %-12  	 0.238(82)
printNotes: i= 45-<2736 2747 -11>,  	 A2 --   1/16th( 31) <      > 	V 35 - M 42	= -7  %-20  	q= +4  %+11  	 0.197(82)<-----%20   %11

printNotes: i= 46-<2536 2558 -22>,  	 G2 --   1/8th.( 94) <      > 	V 83 - M 42	=+41  %+49  	q=-11  %-13  	 0.476(82)<-----%49   %13

printNotes: i= 47-<2361 2355   6>,  	 F2 --  1/8th..(110) <      > 	V108 - M125	=-17  %-16  	q= -2  %-2  	 0.621(82)<-----%16   %2

printNotes: i= 48-<1015 2196 -1181>,  	Ek2 --    1/8th( 63) <      > 	V 60 - M 63	= -3  %-5  	q= -3  %-5  	 0.342(82)
printNotes: i= 49-<2263 2196  67>,  	Ek2 --   1/64th(  8) <      > 	V 10 - M 31	=-21  %-210  	q= +2  %+20  	 0.052(82)<-- same note<-----%210   %20 <<

printNotes: i= 50-<2553 2558  -5>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(82)
printNotes: i= 51-<2343 2355 -12>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i= 52-<2534 2558 -24>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 31	= +3  %+9  	q= +3  %+9  	 0.192(82)
printNotes: i= 53-<2409 2355  54>,  	 F2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(82)<-----%33   %0 <<

printNotes: i= 54-<2519 2558 -39>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(82)
printNotes: i= 55-<2321 2355 -34>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(82)
printNotes: i= 56-<2526 2558 -32>,  	 G2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(82)<-----%129   %0 <<

printNotes: i= 57-<2359 2355   4>,  	 F2 --  1/32nd.( 24) <      > 	V 23 - M 31	= -8  %-35  	q= -1  %-4  	 0.128(82)<-----%35   %4

printNotes: i= 58-<2170 2196 -26>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(82)
printNotes: i= 59-<2282 2355 -73>,  	 F2 --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(82)<-----%300   %0 <<

printNotes: i= 60-<2187 2196  -9>,  	Ek2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(82)<-----%11   %4

printNotes: i= 61-<2092 2070  22>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(82)<-----%158   %0 <<

printNotes: i= 62-<2197 2196   1>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(82)<-----%19   %4

printNotes: i= 63-<2355 2355    >,  	 F2 --    1/4th(125) <      > 	V125 - M125	=  +  %+0  	q=  +  %+0  	 0.720(82)
printNotes: i= 64-<2189 2196  -7>,  	Ek2 --  1/8th..(110) <      > 	V114 - M 94	=+20  %+18  	q= +4  %+4  	 0.656(82)<-----%18   %4

printNotes: i= 65-<2336 2355 -19>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(82)<-----%15   %0

printNotes: i= 66-<2429 2558 -129>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(82)<-----%33   %0

printNotes: i= 67-<2830 2747  83>,  	 A2 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(82)<-----%78   %33 <<

printNotes: i= 68-<2453 2558 -105>,  	 G2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(82)<-----%15   %0

printNotes: i= 69-<2278 2355 -77>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(82)<-----%11   %4

printNotes: i= 70-<2226 2196  30>,  	Ek2 --  1/32nd.( 24) <      > 	V 21 - M 31	=-10  %-48  	q= -3  %-14  	 0.116(82)<-----%48   %14

printNotes: i= 71-<2058 2070 -12>,  	 D2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(82)<-----%72   %11

printNotes: i= 72-<2205 2196   9>,  	Ek2 --    1/8th( 63) <      > 	V 74 - M 63	=+11  %+15  	q=+11  %+15  	 0.424(82)
printNotes: i= 73-<2365 2355  10>,  	 F2 --   1/4th.(188) <-1*sela> 	V169 - M188	=-19  %-11  	q=-19  %-11  	 0.975(82)
printNotes: i= 74-<2066 2070  -4>,  	 D2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(82)<-----%72   %11

printNotes: i= 75-<2351 2196 155>,  	Ek2 --    1/8th( 63) <      > 	V 74 - M 31	=+43  %+58  	q=+11  %+15  	 0.424(82)<-----%58   %15



silence
printNotes: i= 76-<   0   40 -40>,  	Slc --    whole(502) <3*sela> 	V562 - M251	=+311  %+55  	q=+60  %+11  	 3.257(82)<-----%55   %11

printNotes: i= 77-<1738 2196 -458>,  	Ek2 --  1/32nd.( 24) <      > 	V 25 - M 31	= -6  %-24  	q= +1  %+4  	 0.139(82)<-----%24   %4

printNotes: i= 78-<2074 2355 -281>,  	 F2 --    1/4th(125) <      > 	V134 - M125	= +9  %+7  	q= +9  %+7  	 0.772(82)
printNotes: i= 79-<2524 2558 -34>,  	 G2 --    1/4th(125) <      > 	V125 - M125	=  +  %+0  	q=  +  %+0  	 0.720(82)
printNotes: i= 80-<2558 2558    >,  	 G2 --   1/8th.( 94) <      > 	V100 - M125	=-25  %-25  	q= +6  %+6  	 0.575(82)<-- same note<-----%25   %6



silence
printNotes: i= 81-<   0   40 -40>,  	Slc -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(82)<-----%38   %4

printNotes: i= 82-<2092 2070  22>,  	 D2 --  1/32nd.( 24) <      > 	V 25 - M 16	= +9  %+36  	q= +1  %+4  	 0.139(82)<-----%36   %4

printNotes: i= 83-<2532 2558 -26>,  	 G2 --   1/16th( 31) <      > 	V 30 - M 16	=+14  %+47  	q= -1  %-3  	 0.168(82)<-----%47   %3

printNotes: i= 84-<2369 2355  14>,  	 F2 --  1/16th.( 47) <      > 	V 45 - M 47	= -2  %-4  	q= -2  %-4  	 0.255(82)
printNotes: i= 85-<2543 2558 -15>,  	 G2 --   1/16th( 31) <      > 	V 33 - M 31	= +2  %+6  	q= +2  %+6  	 0.186(82)
printNotes: i= 86-<2353 2355  -2>,  	 F2 --  1/32nd.( 24) <      > 	V 24 - M 16	= +8  %+33  	q=  +  %+0  	 0.134(82)<-----%33   %0

printNotes: i= 87-<2559 2558   1>,  	 G2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(82)
printNotes: i= 88-<2359 2355   4>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(82)<-----%23   %8 <<

printNotes: i= 89-<2579 2558  21>,  	 G2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(82)<-----%23   %8 <<

printNotes: i= 90-<2372 2355  17>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(82)
printNotes: i= 91-<2548 2558 -10>,  	 G2 --   1/64th(  8) <      > 	V  8 - M 16	= -8  %-100  	q=  +  %+0  	 0.041(82)<-----%100   %0 <<

printNotes: i= 92-<2311 2355 -44>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(82)<-----%15   %0

printNotes: i= 93-<2195 2196  -1>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(82)
