	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1781 1859 -78>,  	 C2 -- 1/16th..( 54) <      > 	V 52 - M 31	=+21  %+40  	q= -2  %-4  	 0.296(83)<-----%40   %4

printNotes: i=  2-<2467 2545 -78>,  	 G2 --  1/16th.( 47) <      > 	V 47 - M 62	=-15  %-32  	q=  +  %+0  	 0.267(83)<-----%32   %0

printNotes: i=  3-<2353 2350   3>,  	 F2 --   1/4th.(187) <      > 	V189 - M187	= +2  %+1  	q= +2  %+1  	 1.091(83)
printNotes: i=  4-<2542 2545  -3>,  	 G2 --   1/4th.(187) <-1*sela> 	V167 - M125	=+42  %+25  	q=-20  %-12  	 0.964(83)<-----%25   %12

printNotes: i=  5-<2376 2350  26>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i=  6-<2445 2545 -100>,  	 G2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i=  7-<2173 2189 -16>,  	Ek2 --  1/8th..(109) <      > 	V108 - M125	=-17  %-16  	q= -1  %-1  	 0.621(83)<-----%16   %1

printNotes: i=  8-<2057 2059  -2>,  	 D2 --  1/4th..(218) <      > 	V232 - M249	=-17  %-7  	q=+14  %+6  	 1.341(83)
printNotes: i=  9-<2095 2059  36>,  	 D2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 10-<2347 2350  -3>,  	 F2 --  1/8th..(109) <      > 	V109 - M125	=-16  %-15  	q=  +  %+0  	 0.627(83)<-----%15   %0

printNotes: i= 11-<2184 2189  -5>,  	Ek2 --    1/8th( 62) <      > 	V 58 - M 62	= -4  %-7  	q= -4  %-7  	 0.331(83)
