	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1764 1645 119>,  	Bb1 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(85)
printNotes: i=  2-<2167 2193 -26>,  	Ek2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(85)
printNotes: i=  3-<2759 2756   3>,  	 A2 --    whole(485) <3*sela> 	V543 - M485	=+58  %+11  	q=+58  %+11  	 3.146(85)
printNotes: i=  4-<2599 2559  40>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i=  5-<2991 3041 -50>,  	 C3 --  1/64th.( 11) <      > 	V  9 - M  8	= +1  %+11  	q= -2  %-22  	 0.046(85)
printNotes: i=  6-<2760 2756   4>,  	 A2 --    half.(364) <1*sela> 	V384 - M364	=+20  %+5  	q=+20  %+5  	 2.223(85)
printNotes: i=  7-<2748 2756  -8>,  	 A2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(85)<-- same note
printNotes: i=  8-<2617 2559  58>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i=  9-<2796 2841 -45>,  	Bb2 --  1/64th.( 11) <      > 	V  9 - M 11	= -2  %-22  	q= -2  %-22  	 0.046(85)
printNotes: i= 10-<2768 2756  12>,  	 A2 --     half(243) <      > 	V255 - M243	=+12  %+5  	q=+12  %+5  	 1.474(85)
printNotes: i= 11-<2435 2841 -406>,  	Bb2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(85)
printNotes: i= 12-<   0 2756 -2756>,  	 A2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(85)
printNotes: i= 13-<2465 2559 -94>,  	 G2 --  1/8th..(106) <      > 	V101 - M106	= -5  %-5  	q= -5  %-5  	 0.580(85)
printNotes: i= 14-<2857 2841  16>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(85)
printNotes: i= 15-<2759 2756   3>,  	 A2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(85)
printNotes: i= 16-<2569 2559  10>,  	 G2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
printNotes: i= 17-<2383 2359  24>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(85)
printNotes: i= 18-<2076 2559 -483>,  	 G2 --    1/4th(121) <1*sela> 	V145 - M121	=+24  %+17  	q=+24  %+17  	 0.836(85)


silence
printNotes: i= 19-<   0   40 -40>,  	Slc --    1/4th(121) <1*sela> 	V149 - M218	=-69  %-46  	q=+28  %+19  	 0.859(85)<-----%46   %19

printNotes: i= 20-<1475 1361 114>,  	 G1 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(85)
printNotes: i= 21-<2136 2193 -57>,  	Ek2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(85)
printNotes: i= 22-<2380 2359  21>,  	 F2 --    1/4th(121) <      > 	V123 - M121	= +2  %+2  	q= +2  %+2  	 0.708(85)
printNotes: i= 23-<2756 2841 -85>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(85)
printNotes: i= 24-<2607 2559  48>,  	 G2 --  1/16th.( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(85)
printNotes: i= 25-<1851 2359 -508>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(85)
printNotes: i= 26-<2110 2193 -83>,  	Ek2 --  1/32nd.( 23) <      > 	V 23 - M 23	=  +  %+0  	q=  +  %+0  	 0.128(85)
printNotes: i= 27-<2061 2559 -498>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(85)
printNotes: i= 28-<2357 2359  -2>,  	 F2 --   1/4th.(182) <-1*sela> 	V158 - M182	=-24  %-15  	q=-24  %-15  	 0.911(85)
printNotes: i= 29-<2506 2559 -53>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(85)
printNotes: i= 30-<2226 2193  33>,  	Ek2 --    1/8th( 61) <      > 	V 58 - M 61	= -3  %-5  	q= -3  %-5  	 0.331(85)
printNotes: i= 31-<2548 2559 -11>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(85)
printNotes: i= 32-<2374 2359  15>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(85)
printNotes: i= 33-<1811 2559 -748>,  	 G2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(85)
printNotes: i= 34-<2076 2193 -117>,  	Ek2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(85)
printNotes: i= 35-<2023 2359 -336>,  	 F2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(85)
printNotes: i= 36-<1926 2063 -137>,  	 D2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 37-<2322 2359 -37>,  	 F2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(85)
printNotes: i= 38-<2206 2193  13>,  	Ek2 --  1/8th..(106) <      > 	V106 - M106	=  +  %+0  	q=  +  %+0  	 0.610(85)
printNotes: i= 39-<2384 2359  25>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 40-<2080 2063  17>,  	 D2 --   1/8th.( 91) <      > 	V 79 - M 91	=-12  %-15  	q=-12  %-15  	 0.453(85)
printNotes: i= 41-<2330 2359 -29>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(85)
printNotes: i= 42-<2231 2193  38>,  	Ek2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(85)
printNotes: i= 43-<2326 2359 -33>,  	 F2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(85)
printNotes: i= 44-<2085 2063  22>,  	 D2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(85)
printNotes: i= 45-<1854 1826  28>,  	 C2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i= 46-<1881 2193 -312>,  	Ek2 --  128th..(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(85)
printNotes: i= 47-<1912 2063 -151>,  	 D2 --     half(243) <      > 	V254 - M243	=+11  %+4  	q=+11  %+4  	 1.469(85)


silence
printNotes: i= 48-<   0   40 -40>,  	Slc --    1/4th(121) <1*sela> 	V146 - M127	=+19  %+13  	q=+25  %+17  	 0.842(85)
printNotes: i= 49-<1392 1361  31>,  	 G1 --  1/64th.( 11) <      > 	V 12 - M 13	= -1  %-8  	q= +1  %+8  	 0.064(85)
printNotes: i= 50-<1808 1826 -18>,  	 C2 --  1/16th.( 45) <      > 	V 46 - M 45	= +1  %+2  	q= +1  %+2  	 0.261(85)
printNotes: i= 51-<1997 2063 -66>,  	 D2 --  1/16th.( 45) <      > 	V 38 - M 30	= +8  %+21  	q= -7  %-18  	 0.215(85)
printNotes: i= 52-<2370 2359  11>,  	 F2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(85)
printNotes: i= 53-<2072 2063   9>,  	 D2 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(85)
printNotes: i= 54-<1892 1826  66>,  	 C2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(85)
printNotes: i= 55-<2054 2063  -9>,  	 D2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(85)
printNotes: i= 56-<2175 2193 -18>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(85)
printNotes: i= 57-<2369 2359  10>,  	 F2 --  128th..(  7) <      > 	V  7 - M  6	= +1  %+14  	q=  +  %+0  	 0.035(85)
printNotes: i= 58-<2180 2193 -13>,  	Ek2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(85)
printNotes: i= 59-<1591 2359 -768>,  	 F2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(85)
printNotes: i= 60-<1905 2063 -158>,  	 D2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i= 61-<2203 2193  10>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(85)
printNotes: i= 62-<2354 2359  -5>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(85)
printNotes: i= 63-<2476 2559 -83>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(85)
printNotes: i= 64-<2354 2359  -5>,  	 F2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(85)
printNotes: i= 65-<2171 2193 -22>,  	Ek2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(85)
printNotes: i= 66-<2376 2359  17>,  	 F2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(85)
