	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1116 2066 -950>,  	 D2 -- 1/16th..( 51) <      > 	V 50 - M 51	= -1  %-2  	q= -1  %-2  	 0.284(89)
printNotes: i=  2-<2664 2746 -82>,  	 A2 --    half.(350) <1*sela> 	V369 - M350	=+19  %+5  	q=+19  %+5  	 2.136(89)


silence
printNotes: i=  3-<   0   40 -40>,  	Slc --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)
printNotes: i=  4-<2742 2746  -4>,  	 A2 --     half(233) <      > 	V232 - M233	= -1  %-0  	q= -1  %-0  	 1.341(89)


silence
printNotes: i=  5-< 513   40 473>,  	Slc --   128th.(  5) <      > 	V  5 - M  4	= +1  %+20  	q=  +  %+0  	 0.023(89)
printNotes: i=  6-<2012 2066 -54>,  	 D2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(89)
printNotes: i=  7-<2494 2746 -252>,  	 A2 --  1/16th.( 44) <      > 	V 45 - M 44	= +1  %+2  	q= +1  %+2  	 0.255(89)
printNotes: i=  8-< 924 2556 -1632>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(89)
printNotes: i=  9-<2736 2746 -10>,  	 A2 --     half(233) <      > 	V227 - M233	= -6  %-3  	q= -6  %-3  	 1.312(89)
printNotes: i= 10-<2181 2746 -565>,  	 A2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(89)<-- same note
printNotes: i= 11-< 940 2556 -1616>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 12-<2722 2746 -24>,  	 A2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(89)
printNotes: i= 13-<2776 2815 -39>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(89)
printNotes: i= 14-<2753 2746   7>,  	 A2 --    128th(  4) <      > 	V  2 - M  4	= -2  %-100  	q= -2  %-100  	 0.006(89)
printNotes: i= 15-<2746 2746    >,  	 A2 --    128th(  4) <      > 	V  1 - M  4	= -3  %-300  	q= -3  %-300  	 0.000(89)<-- same note
printNotes: i= 16-<2746 2746    >,  	 A2 --    128th(  4) <      > 	V  1 - M  4	= -3  %-300  	q= -3  %-300  	 0.000(89)<-- same note
printNotes: i= 17-<2733 2746 -13>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)<-- same note
printNotes: i= 18-<2760 2746  14>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)<-- same note
printNotes: i= 19-<2770 2746  24>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(89)<-- same note
printNotes: i= 20-<3004 3008  -4>,  	 C3 --   1/4th.(175) <      > 	V180 - M175	= +5  %+3  	q= +5  %+3  	 1.039(89)
printNotes: i= 21-<2830 2815  15>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(89)
printNotes: i= 22-<2969 3008 -39>,  	 C3 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(89)
printNotes: i= 23-<2822 2815   7>,  	Bb2 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(89)
printNotes: i= 24-<2722 2746 -24>,  	 A2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 25-<2851 2815  36>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  5	= +1  %+17  	q=  +  %+0  	 0.029(89)
printNotes: i= 26-<2734 2746 -12>,  	 A2 --  1/32nd.( 22) <      > 	V 23 - M 22	= +1  %+4  	q= +1  %+4  	 0.128(89)
printNotes: i= 27-<2543 2556 -13>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 28-<2655 2746 -91>,  	 A2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(89)
printNotes: i= 29-<2553 2556  -3>,  	 G2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(89)
printNotes: i= 30-<2741 2746  -5>,  	 A2 --    1/8th( 58) <      > 	V 60 - M 58	= +2  %+3  	q= +2  %+3  	 0.342(89)
printNotes: i= 31-<2076 2815 -739>,  	Bb2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(89)
printNotes: i= 32-<2762 2746  16>,  	 A2 --  1/16th.( 44) <      > 	V 37 - M 29	= +8  %+22  	q= -7  %-19  	 0.209(89)


silence
printNotes: i= 33-<   0   40 -40>,  	Slc --    half.(350) <-2*sela> 	V317 - M298	=+19  %+6  	q=-33  %-10  	 1.834(89)
printNotes: i= 34-<1876 1666 210>,  	Bb1 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 35-<2631 2746 -115>,  	 A2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 36-<2621 2556  65>,  	 G2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(89)
printNotes: i= 37-<2772 2815 -43>,  	Bb2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(89)
printNotes: i= 38-<2764 2746  18>,  	 A2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
