	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1977 1864 113>,  	 C2 --   1/16th( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(98)
printNotes: i=  2-<2560 2572 -12>,  	 G2 --    1/4th(106) <      > 	V116 - M106	=+10  %+9  	q=+10  %+9  	 0.668(98)
printNotes: i=  3-<2355 2364  -9>,  	 F2 --  1/16th.( 40) <      > 	V 41 - M 40	= +1  %+2  	q= +1  %+2  	 0.232(98)
printNotes: i=  4-<2569 2572  -3>,  	 G2 --  1/16th.( 40) <      > 	V 35 - M 40	= -5  %-14  	q= -5  %-14  	 0.197(98)
printNotes: i=  5-<2364 2364    >,  	 F2 --  1/4th..(185) <      > 	V192 - M185	= +7  %+4  	q= +7  %+4  	 1.109(98)
printNotes: i=  6-<2206 2206    >,  	Ek2 --   1/16th( 26) <      > 	V 32 - M 26	= +6  %+19  	q= +6  %+19  	 0.180(98)
printNotes: i=  7-<2074 2081  -7>,  	 D2 --  1/16th.( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(98)
printNotes: i=  8-<1859 1864  -5>,  	 C2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(98)


silence
printNotes: i=  9-<   0   40 -40>,  	Slc --   1/16th( 26) <      > 	V 29 - M 26	= +3  %+10  	q= +3  %+10  	 0.163(98)
printNotes: i= 10-<2378 2364  14>,  	 F2 --  1/8th..( 93) <      > 	V 99 - M106	= -7  %-7  	q= +6  %+6  	 0.569(98)
printNotes: i= 11-<2224 2206  18>,  	Ek2 -- 1/16th..( 46) <      > 	V 46 - M 46	=  +  %+0  	q=  +  %+0  	 0.261(98)
printNotes: i= 12-<2368 2364   4>,  	 F2 --   1/16th( 26) <      > 	V 30 - M 26	= +4  %+13  	q= +4  %+13  	 0.168(98)
printNotes: i= 13-<2209 2206   3>,  	Ek2 --   1/8th.( 79) <      > 	V 69 - M 79	=-10  %-14  	q=-10  %-14  	 0.395(98)
printNotes: i= 14-<2112 2081  31>,  	 D2 --  1/32nd.( 20) <      > 	V 17 - M 20	= -3  %-18  	q= -3  %-18  	 0.093(98)
printNotes: i= 15-<2186 2206 -20>,  	Ek2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(98)
printNotes: i= 16-<1809 2081 -272>,  	 D2 --    1/8th( 53) <      > 	V 63 - M 53	=+10  %+16  	q=+10  %+16  	 0.360(98)
printNotes: i= 17-<1695 2206 -511>,  	Ek2 --    1/8th( 53) <      > 	V 65 - M 53	=+12  %+18  	q=+12  %+18  	 0.372(98)
printNotes: i= 18-<2079 2081  -2>,  	 D2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(98)
printNotes: i= 19-<2205 2206  -1>,  	Ek2 --  1/32nd.( 20) <      > 	V 19 - M 20	= -1  %-5  	q= -1  %-5  	 0.104(98)
printNotes: i= 20-<2081 2081    >,  	 D2 --   1/16th( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(98)
printNotes: i= 21-<2319 2364 -45>,  	 F2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(98)
printNotes: i= 22-<2112 2081  31>,  	 D2 --  1/16th.( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(98)
printNotes: i= 23-<2132 2081  51>,  	 D2 --  1/32nd.( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(98)<-- same note
