	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-< 513 1766 -1253>,  	 C2 -- 1/16th..( 53) <      > 	V 56 - M 60	= -4  %-7  	q= +3  %+5  	 0.319(86)
printNotes: i=  2-<1654 1977 -323>,  	 D2 --     half(241) <      > 	V245 - M241	= +4  %+2  	q= +4  %+2  	 1.416(86)
printNotes: i=  3-<1955 1977 -22>,  	 D2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i=  4-<1982 1977   5>,  	 D2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i=  5-< 619 1766 -1147>,  	 C2 --   1/8th.( 90) <      > 	V 87 - M 60	=+27  %+31  	q= -3  %-3  	 0.499(86)<-----%31   %3

printNotes: i=  6-<1976 1977  -1>,  	 D2 --    1/4th(121) <      > 	V116 - M121	= -5  %-4  	q= -5  %-4  	 0.668(86)
printNotes: i=  7-<1946 2359 -413>,  	F#2 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i=  8-<1952 1977 -25>,  	 D2 --   1/8th.( 90) <      > 	V 89 - M 60	=+29  %+33  	q= -1  %-1  	 0.511(86)<-----%33   %1



silence
printNotes: i=  9-<   0   40 -40>,  	Slc --   1/4th.(181) <      > 	V183 - M241	=-58  %-32  	q= +2  %+1  	 1.057(86)<-----%32   %1

printNotes: i= 10-<1795 1977 -182>,  	 D2 --   1/8th.( 90) <      > 	V 77 - M 30	=+47  %+61  	q=-13  %-17  	 0.441(86)<-----%61   %17

printNotes: i= 11-<1972 1977  -5>,  	 D2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(86)<-- same note
printNotes: i= 12-<1972 1977  -5>,  	 D2 --   1/8th.( 90) <      > 	V 90 - M 90	=  +  %+0  	q=  +  %+0  	 0.517(86)<-- same note
printNotes: i= 13-<1133 1766 -633>,  	 C2 --  1/8th..(106) <      > 	V 98 - M 90	= +8  %+8  	q= -8  %-8  	 0.563(86)
printNotes: i= 14-<1391 1977 -586>,  	 D2 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)
printNotes: i= 15-<1987 1977  10>,  	 D2 --  1/16th.( 45) <      > 	V 41 - M 60	=-19  %-46  	q= -4  %-10  	 0.232(86)<-- same note<-----%46   %10

printNotes: i= 16-<2007 1977  30>,  	 D2 --  128th..(  7) <      > 	V  7 - M 60	=-53  %-757  	q=  +  %+0  	 0.035(86)<-- same note<-----%757   %0 <<

printNotes: i= 17-<2061 2124 -63>,  	Ek2 -- 1/16th..( 53) <      > 	V 54 - M 60	= -6  %-11  	q= +1  %+2  	 0.308(86)<-----%11   %2

printNotes: i= 18-<2257 2259  -2>,  	 F2 --   half..(422) <      > 	V423 - M362	=+61  %+14  	q= +1  %+0  	 2.450(86)<-----%14   %0



silence
printNotes: i= 19-<   0   40 -40>,  	Slc --   1/8th.( 90) <      > 	V 79 - M 60	=+19  %+24  	q=-11  %-14  	 0.453(86)<-----%24   %14

printNotes: i= 20-<2069 2259 -190>,  	 F2 --  1/16th.( 45) <      > 	V 39 - M 30	= +9  %+23  	q= -6  %-15  	 0.221(86)<-----%23   %15

printNotes: i= 21-<2140 2124  16>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 30	=-10  %-50  	q= -3  %-15  	 0.110(86)<-----%50   %15

printNotes: i= 22-<2215 2259 -44>,  	 F2 --   1/16th( 30) <      > 	V 34 - M 30	= +4  %+12  	q= +4  %+12  	 0.192(86)
printNotes: i= 23-<2465 2481 -16>,  	 G2 --   1/16th( 30) <      > 	V 29 - M 15	=+14  %+48  	q= -1  %-3  	 0.163(86)<-----%48   %3

printNotes: i= 24-<2639 2659 -20>,  	 A2 --  1/64th.( 11) <      > 	V 12 - M 15	= -3  %-25  	q= +1  %+8  	 0.064(86)<-----%25   %8 <<

printNotes: i= 25-<2478 2481  -3>,  	 G2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 26-<2329 2259  70>,  	 F2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 27-<2112 2124 -12>,  	Ek2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 28-<1997 1977  20>,  	 D2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(86)<-----%114   %7 <<

printNotes: i= 29-<2117 2124  -7>,  	Ek2 --     half(241) <3*sela> 	V287 - M241	=+46  %+16  	q=+46  %+16  	 1.660(86)


silence
printNotes: i= 30-<   0   40 -40>,  	Slc -- 1/16th..( 53) <      > 	V 50 - M121	=-71  %-142  	q= -3  %-6  	 0.284(86)<-----%142   %6

