	voice Midi Diff								present		 Best		Sec

printNotes: i=  1-<1620 1789 -169>,  	 C2 --    1/8th( 63) <      > 	V 62 - M 31	=+31  %+50  	q= -1  %-2  	 0.354(83)<-----%50   %2

printNotes: i=  2-<2254 2262  -8>,  	 F2 --    whole(500) <6*sela> 	V596 - M594	= +2  %+0  	q=+96  %+16  	 3.454(83)
printNotes: i=  3-<2132 2126   6>,  	Ek2 --  1/64th.( 12) <      > 	V 12 - M 31	=-19  %-158  	q=  +  %+0  	 0.064(83)<-----%158   %0 <<

printNotes: i=  4-<2268 2262   6>,  	 F2 --    whole(500) <-1*sela> 	V470 - M500	=-30  %-6  	q=-30  %-6  	 2.723(83)
printNotes: i=  5-<2138 2126  12>,  	Ek2 --  1/32nd.( 23) <      > 	V 23 - M 31	= -8  %-35  	q=  +  %+0  	 0.128(83)<-----%35   %0

printNotes: i=  6-<2281 2262  19>,  	 F2 --   1/4th.(188) <-1*sela> 	V164 - M188	=-24  %-15  	q=-24  %-15  	 0.946(83)
printNotes: i=  7-<2022 1989  33>,  	 D2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(83)<-----%24   %8

printNotes: i=  8-<2148 2126  22>,  	Ek2 --  1/8th..(109) <      > 	V102 - M125	=-23  %-23  	q= -7  %-7  	 0.586(83)<-----%23   %7

printNotes: i=  9-<1623 1989 -366>,  	 D2 --    1/8th( 63) <      > 	V 72 - M 31	=+41  %+57  	q= +9  %+12  	 0.412(83)<-----%57   %12



silence
printNotes: i= 10-<   0   40 -40>,  	Slc --    half.(375) <-3*sela> 	V319 - M219	=+100  %+31  	q=-56  %-18  	 1.846(83)<-----%31   %18

printNotes: i= 11-<1967 1989 -22>,  	 D2 --    1/4th(125) <      > 	V133 - M125	= +8  %+6  	q= +8  %+6  	 0.766(83)
printNotes: i= 12-<2163 2126  37>,  	Ek2 --   1/16th( 31) <      > 	V 29 - M 16	=+13  %+45  	q= -2  %-7  	 0.163(83)<-----%45   %7

printNotes: i= 13-<2298 2262  36>,  	 F2 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

printNotes: i= 14-<2126 2126    >,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 15-<2283 2262  21>,  	 F2 --   1/16th( 31) <      > 	V 32 - M 16	=+16  %+50  	q= +1  %+3  	 0.180(83)<-----%50   %3

printNotes: i= 16-<1648 2484 -836>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 17-<2274 2262  12>,  	 F2 --     half(250) <2*sela> 	V290 - M250	=+40  %+14  	q=+40  %+14  	 1.678(83)
printNotes: i= 18-<2128 2126   2>,  	Ek2 --  1/16th.( 47) <      > 	V 47 - M 63	=-16  %-34  	q=  +  %+0  	 0.267(83)<-----%34   %0

printNotes: i= 19-<1943 1989 -46>,  	 D2 --  1/16th.( 47) <      > 	V 44 - M 63	=-19  %-43  	q= -3  %-7  	 0.250(83)<-----%43   %7

printNotes: i= 20-<2288 2262  26>,  	 F2 --  1/16th.( 47) <      > 	V 43 - M 16	=+27  %+63  	q= -4  %-9  	 0.244(83)<-----%63   %9

printNotes: i= 21-<2131 2126   5>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 22-<2347 2262  85>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 23-<2111 2126 -15>,  	Ek2 --   1/16th( 31) <      > 	V 32 - M 16	=+16  %+50  	q= +1  %+3  	 0.180(83)<-----%50   %3

printNotes: i= 24-<2303 2262  41>,  	 F2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 25-<1994 1989   5>,  	 D2 --   1/16th( 31) <      > 	V 35 - M 16	=+19  %+54  	q= +4  %+11  	 0.197(83)<-----%54   %11

printNotes: i= 26-<2184 2126  58>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 27-<1992 1989   3>,  	 D2 --    1/8th( 63) <      > 	V 65 - M 47	=+18  %+28  	q= +2  %+3  	 0.372(83)<-----%28   %3

printNotes: i= 28-<2118 2126  -8>,  	Ek2 --  1/16th.( 47) <      > 	V 46 - M 42	= +4  %+9  	q= -1  %-2  	 0.261(83)<-----%9   %2

printNotes: i= 29-<2283 2262  21>,  	 F2 --  1/16th.( 47) <      > 	V 45 - M 42	= +3  %+7  	q= -2  %-4  	 0.255(83)
printNotes: i= 30-<2127 2126   1>,  	Ek2 --    1/8th( 63) <      > 	V 76 - M 73	= +3  %+4  	q=+13  %+17  	 0.435(83)
printNotes: i= 31-<1758 1989 -231>,  	 D2 --   1/8th.( 94) <      > 	V 96 - M 31	=+65  %+68  	q= +2  %+2  	 0.551(83)<-----%68   %2



silence
printNotes: i= 32-<   0   40 -40>,  	Slc --     half(250) <2*sela> 	V283 - M250	=+33  %+12  	q=+33  %+12  	 1.637(83)
printNotes: i= 33-<1954 1989 -35>,  	 D2 --     half(250) <      > 	V235 - M250	=-15  %-6  	q=-15  %-6  	 1.358(83)
printNotes: i= 34-<2120 2126  -6>,  	Ek2 --  1/32nd.( 23) <      > 	V 23 - M 16	= +7  %+30  	q=  +  %+0  	 0.128(83)<-----%30   %0

printNotes: i= 35-<2351 2262  89>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i= 36-<2144 2126  18>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 31	=-17  %-121  	q=  +  %+0  	 0.075(83)<-----%121   %0 <<

printNotes: i= 37-<2317 2262  55>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 16	=+12  %+43  	q= +1  %+4  	 0.157(83)<-----%43   %4

printNotes: i= 38-<2343 2484 -141>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 39-<2130 2262 -132>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 40-<2442 2484 -42>,  	 G2 --   1/16th( 31) <      > 	V 34 - M 16	=+18  %+53  	q= +3  %+9  	 0.192(83)<-----%53   %9

printNotes: i= 41-<1761 2662 -901>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 42-<2486 2484   2>,  	 G2 --    1/4th(125) <1*sela> 	V153 - M156	= -3  %-2  	q=+28  %+18  	 0.882(83)
printNotes: i= 43-<2682 2662  20>,  	 A2 --    1/4th(125) <      > 	V134 - M125	= +9  %+7  	q= +9  %+7  	 0.772(83)
printNotes: i= 44-<2488 2484   4>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 45-<2257 2662 -405>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 46-<2470 2484 -14>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 47-<2030 2484 -454>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)<-- same note
printNotes: i= 48-<2122 2262 -140>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 49-<2149 2484 -335>,  	 G2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(83)<-----%129   %0 <<

printNotes: i= 50-<2144 2262 -118>,  	 F2 -- 1/32nd..( 27) <      > 	V 28 - M 31	= -3  %-11  	q= +1  %+4  	 0.157(83)<-----%11   %4

printNotes: i= 51-<2111 2126 -15>,  	Ek2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 52-<1985 2262 -277>,  	 F2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(83)<-----%129   %0 <<

printNotes: i= 53-<2135 2126   9>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 54-<2266 2262   4>,  	 F2 --     half(250) <1*sela> 	V274 - M250	=+24  %+9  	q=+24  %+9  	 1.585(83)
printNotes: i= 55-<2045 2126 -81>,  	Ek2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 56-<2497 2484  13>,  	 G2 --   1/8th.( 94) <      > 	V 86 - M 47	=+39  %+45  	q= -8  %-9  	 0.493(83)<-----%45   %9

printNotes: i= 57-<2297 2262  35>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 16	= -5  %-45  	q= -1  %-9  	 0.058(83)<-----%45   %9 <<

printNotes: i= 58-<2453 2484 -31>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 59-<2229 2262 -33>,  	 F2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 60-<2128 2126   2>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 16	= +4  %+20  	q= -3  %-15  	 0.110(83)<-----%20   %15

printNotes: i= 61-<2282 2262  20>,  	 F2 --  128th..(  7) <      > 	V  7 - M 16	= -9  %-129  	q=  +  %+0  	 0.035(83)<-----%129   %0 <<

printNotes: i= 62-<2160 2126  34>,  	Ek2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 63-<1994 1989   5>,  	 D2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 64-<2201 2126  75>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 65-<2018 1989  29>,  	 D2 -- 1/32nd..( 27) <      > 	V 28 - M 47	=-19  %-68  	q= +1  %+4  	 0.157(83)<-----%68   %4

printNotes: i= 66-<2140 2126  14>,  	Ek2 --    1/8th( 63) <      > 	V 76 - M 63	=+13  %+17  	q=+13  %+17  	 0.435(83)
printNotes: i= 67-<1725 1989 -264>,  	 D2 --   1/8th.( 94) <      > 	V 87 - M 63	=+24  %+28  	q= -7  %-8  	 0.499(83)<-----%28   %8



silence
printNotes: i= 68-<   0   40 -40>,  	Slc --   1/4th.(188) <      > 	V184 - M188	= -4  %-2  	q= -4  %-2  	 1.062(83)
printNotes: i= 69-<1759 1789 -30>,  	 C2 --   1/16th( 31) <      > 	V 38 - M 31	= +7  %+18  	q= +7  %+18  	 0.215(83)
printNotes: i= 70-<2257 2262  -5>,  	 F2 --     half(250) <1*sela> 	V273 - M250	=+23  %+8  	q=+23  %+8  	 1.579(83)
printNotes: i= 71-<1989 1989    >,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 31	=-15  %-94  	q=  +  %+0  	 0.087(83)<-----%94   %0 <<

printNotes: i= 72-<2142 2126  16>,  	Ek2 --    1/8th( 63) <      > 	V 60 - M 63	= -3  %-5  	q= -3  %-5  	 0.342(83)
printNotes: i= 73-<2006 1989  17>,  	 D2 --    1/4th(125) <      > 	V126 - M 63	=+63  %+50  	q= +1  %+1  	 0.726(83)<-----%50   %1



silence
printNotes: i= 74-<   0   40 -40>,  	Slc --  1/64th.( 12) <      > 	V 12 - M 63	=-51  %-425  	q=  +  %+0  	 0.064(83)<-----%425   %0 <<

printNotes: i= 75-<1701 1789 -88>,  	 C2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 76-<2235 2262 -27>,  	 F2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 77-<2129 2126   3>,  	Ek2 --   1/16th( 31) <      > 	V 37 - M 63	=-26  %-70  	q= +6  %+16  	 0.209(83)<-----%70   %16

printNotes: i= 78-<2269 2262   7>,  	 F2 -- 1/16th..( 55) <      > 	V 57 - M 63	= -6  %-11  	q= +2  %+4  	 0.325(83)<-----%11   %4

printNotes: i= 79-<2143 2126  17>,  	Ek2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(83)<-----%15   %0

printNotes: i= 80-<1989 1989    >,  	 D2 --  1/32nd.( 23) <      > 	V 20 - M 31	=-11  %-55  	q= -3  %-15  	 0.110(83)<-----%55   %15

printNotes: i= 81-<2127 2126   1>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 82-<2284 2262  22>,  	 F2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 83-<2141 2126  15>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 84-<2274 2262  12>,  	 F2 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 85-<2422 2484 -62>,  	 G2 --   128th.(  6) <      > 	V  6 - M 16	=-10  %-167  	q=  +  %+0  	 0.029(83)<-----%167   %0 <<

printNotes: i= 86-<2294 2262  32>,  	 F2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 87-<2137 2126  11>,  	Ek2 --   1/32nd( 16) <      > 	V 19 - M 31	=-12  %-63  	q= +3  %+16  	 0.104(83)<-----%63   %16

printNotes: i= 88-<2315 2262  53>,  	 F2 --   1/16th( 31) <      > 	V 29 - M 16	=+13  %+45  	q= -2  %-7  	 0.163(83)<-----%45   %7

printNotes: i= 89-<1805 2484 -679>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 16	= -4  %-33  	q=  +  %+0  	 0.064(83)<-----%33   %0 <<

printNotes: i= 90-<2135 2126   9>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 21	= +4  %+16  	q= -2  %-8  	 0.139(83)<-----%16   %8

printNotes: i= 91-<2396 2262 134>,  	 F2 --   1/32nd( 16) <      > 	V 19 - M 21	= -2  %-11  	q= +3  %+16  	 0.104(83)
printNotes: i= 92-<2122 2126  -4>,  	Ek2 --   1/16th( 31) <      > 	V 29 - M 42	=-13  %-45  	q= -2  %-7  	 0.163(83)<-----%45   %7

printNotes: i= 93-<2262 2262    >,  	 F2 --   1/8th.( 94) <      > 	V101 - M104	= -3  %-3  	q= +7  %+7  	 0.580(83)
printNotes: i= 94-<2446 2484 -38>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 95-<2256 2262  -6>,  	 F2 --    1/4th(125) <      > 	V130 - M125	= +5  %+4  	q= +5  %+4  	 0.749(83)
printNotes: i= 96-<2443 2484 -41>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 97-<2296 2262  34>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(83)
printNotes: i= 98-<2435 2484 -49>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 99-<2106 2126 -20>,  	Ek2 --  1/16th.( 47) <      > 	V 42 - M 63	=-21  %-50  	q= -5  %-12  	 0.238(83)<-----%50   %12

printNotes: i= 100-<1984 1989  -5>,  	 D2 --    1/8th( 63) <      > 	V 66 - M 63	= +3  %+5  	q= +3  %+5  	 0.377(83)
printNotes: i= 101-<2314 2262  52>,  	 F2 --   1/16th( 31) <      > 	V 35 - M 31	= +4  %+11  	q= +4  %+11  	 0.197(83)
printNotes: i= 102-<2137 2126  11>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 103-<2293 2262  31>,  	 F2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(83)
printNotes: i= 104-<2133 2126   7>,  	Ek2 -- 1/32nd..( 27) <      > 	V 25 - M 16	= +9  %+36  	q= -2  %-8  	 0.139(83)<-----%36   %8

printNotes: i= 105-<2306 2262  44>,  	 F2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(83)
printNotes: i= 106-<2121 2126  -5>,  	Ek2 --   1/16th( 31) <      > 	V 33 - M 16	=+17  %+52  	q= +2  %+6  	 0.186(83)<-----%52   %6

printNotes: i= 107-<2276 2262  14>,  	 F2 --  1/64th.( 12) <      > 	V 13 - M 16	= -3  %-23  	q= +1  %+8  	 0.070(83)<-----%23   %8 <<

printNotes: i= 108-<1988 1989  -1>,  	 D2 --   1/16th( 31) <      > 	V 36 - M 16	=+20  %+56  	q= +5  %+14  	 0.203(83)<-----%56   %14

printNotes: i= 109-<2190 2126  64>,  	Ek2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 110-<1992 1989   3>,  	 D2 --    1/8th( 63) <      > 	V 71 - M 47	=+24  %+34  	q= +8  %+11  	 0.406(83)<-----%34   %11

printNotes: i= 111-<2105 2126 -21>,  	Ek2 --  1/16th.( 47) <      > 	V 48 - M 31	=+17  %+35  	q= +1  %+2  	 0.273(83)<-----%35   %2

printNotes: i= 112-<2242 2262 -20>,  	 F2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 113-<2105 2126 -21>,  	Ek2 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(83)<-----%22   %18

printNotes: i= 114-<2274 2262  12>,  	 F2 --    1/4th(125) <1*sela> 	V155 - M250	=-95  %-61  	q=+30  %+19  	 0.894(83)<-----%61   %19

printNotes: i= 115-<2133 2126   7>,  	Ek2 --   1/8th.( 94) <      > 	V 95 - M125	=-30  %-32  	q= +1  %+1  	 0.546(83)<-----%32   %1

printNotes: i= 116-<1630 1989 -359>,  	 D2 --   1/8th.( 94) <      > 	V 86 - M 31	=+55  %+64  	q= -8  %-9  	 0.493(83)<-----%64   %9



silence
printNotes: i= 117-<   0   40 -40>,  	Slc --   2whole(1001) <2*sela> 	V1042 - M938	=+104  %+10  	q=+41  %+4  	 6.043(83)<-----%10   %4

printNotes: i= 118-<1705 1789 -84>,  	 C2 --  1/32nd.( 23) <      > 	V 24 - M 31	= -7  %-29  	q= +1  %+4  	 0.134(83)<-----%29   %4

printNotes: i= 119-<2035 2262 -227>,  	 F2 --    1/4th(125) <      > 	V137 - M 94	=+43  %+31  	q=+12  %+9  	 0.789(83)<-----%31   %9

printNotes: i= 120-<2232 2262 -30>,  	 F2 --   1/4th.(188) <      > 	V188 - M188	=  +  %+0  	q=  +  %+0  	 1.086(83)<-- same note
printNotes: i= 121-<2229 2262 -33>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 122-<2267 2262   5>,  	 F2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)<-- same note
printNotes: i= 123-<1904 2126 -222>,  	Ek2 --  1/16th.( 47) <      > 	V 39 - M 31	= +8  %+21  	q= -8  %-21  	 0.221(83)
printNotes: i= 124-<1717 1989 -272>,  	 D2 --  1/16th.( 47) <      > 	V 47 - M 31	=+16  %+34  	q=  +  %+0  	 0.267(83)<-----%34   %0

printNotes: i= 125-<2134 2262 -128>,  	 F2 --   1/4th.(188) <-1*sela> 	V165 - M 63	=+102  %+62  	q=-23  %-14  	 0.952(83)<-----%62   %14

